Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.899971870668783369e-01,1.650000674115719712e-01,4.494272157760846510e-06,-5.342816228973863541e-07
9.899971870668783369e-01,1.650000674115719712e-01,4.494272157760846510e-06,-5.342816228973863541e-07,9.900184837328539489e-01,1.650025434968317439e-01,4.494370556323666571e-06,-5.342982793875391899e-07
1.980015670799732286e+00,3.300026109084037151e-01,8.988642714084513080e-06,-1.068579902284925544e-06,9.900196339346607477e-01,1.650032761457589925e-01,4.494374003591168374e-06,-5.342962910109217542e-07
2.970035304734393033e+00,4.950058870541627076e-01,1.348301671767568145e-05,-1.602876193295847298e-06,9.900273408021185162e-01,1.650045899341162636e-01,4.494410555644590350e-06,-5.343005782910454893e-07
3.960062645536511550e+00,6.600104769882789713e-01,1.797742727332027180e-05,-2.137176771586892787e-06,9.900355246027312539e-01,1.650058441136270648e-01,4.494445652088787388e-06,-5.343046837228717416e-07
4.950098170139242804e+00,8.250163211019060361e-01,2.247187292540905919e-05,-2.671481455309764529e-06,9.900429932315528703e-01,1.650072174973600259e-01,4.494482203210088569e-06,-5.343091528713553584e-07
5.940141163370795674e+00,9.900235385992660619e-01,2.696635512861914776e-05,-3.205790608181119887e-06,9.900509387816267548e-01,1.650084716683931640e-01,4.494515843278646625e-06,-5.343128943839575873e-07
6.930192102152422429e+00,1.155032010267659226e+00,3.146087097189779439e-05,-3.740103502565077475e-06,9.900588844533206867e-01,1.650098450428605368e-01,4.494553848042807779e-06,-5.343175455120171472e-07
7.920250986605743115e+00,1.320041855310519763e+00,3.595542481994060217e-05,-4.274421048077094622e-06,9.900663533426508067e-01,1.650110992043651859e-01,4.494588942426891941e-06,-5.343218328255451089e-07
8.910317339948393922e+00,1.485052954514884949e+00,4.045001376236749411e-05,-4.808742880902639731e-06,9.900747760340937731e-01,1.650123533620548866e-01,4.494624035802912028e-06,-5.343257563237638962e-07
9.900392115982487695e+00,1.650065307876939835e+00,4.494463779817040614e-05,-5.343068637226403627e-06,9.900827219309036309e-01,1.650137267227773652e-01,4.494656218642211626e-06,-5.343304073615432964e-07
1.089047483791339133e+01,1.815079034599717200e+00,4.943929401681261776e-05,-5.877399044587946923e-06,9.900897142883930968e-01,1.650151000801536316e-01,4.494697131723829678e-06,-5.343343309838363169e-07
1.188056455220178442e+01,1.980094134679870832e+00,5.393399114853644744e-05,-6.411733375571783240e-06,9.900976603593427683e-01,1.650163542246423365e-01,4.494729312991083559e-06,-5.343382543902197920e-07
1.287066221256112719e+01,2.145110488904513169e+00,5.842872046152753100e-05,-6.946071629962003032e-06,9.901065603280034821e-01,1.650176083632142188e-01,4.494767314710727086e-06,-5.343429055593765435e-07
1.386076877288913067e+01,2.310128097267727387e+00,6.292348777623825808e-05,-7.480414535521379576e-06,9.901135529322893092e-01,1.650188624971904439e-01,4.494805315605109801e-06,-5.343475567358355659e-07
1.485088232582141998e+01,2.475146959764917831e+00,6.741829309184336789e-05,-8.014762092257215142e-06,9.901214992744140631e-01,1.650203550469537817e-01,4.494837495415521223e-06,-5.343507526268183490e-07
1.584100382509583405e+01,2.640167314811871613e+00,7.191313058725888911e-05,-8.549112844884033491e-06,9.901294456992442150e-01,1.650216091699228116e-01,4.494869674923236951e-06,-5.343561313520884311e-07
1.683113327079507826e+01,2.805188923981794424e+00,7.640800026218212606e-05,-9.083468976236121922e-06,9.901364385590163408e-01,1.650228632944195084e-01,4.494907674112589777e-06,-5.343593272553421805e-07
1.782126970935409460e+01,2.970211787276213933e+00,8.090290793629471584e-05,-9.617828303491464102e-06,9.901453390174381752e-01,1.650241174104771780e-01,4.494945672698733171e-06,-5.343639785697066371e-07
1.881141504837153278e+01,3.135235904686691111e+00,8.539785360899344901e-05,-1.015219228206117074e-05,9.901523319533609424e-01,1.650253715219403006e-01,4.494977850527575387e-06,-5.343686295583056103e-07
1.980156738032489372e+01,3.300261276208631411e+00,8.989283145952102439e-05,-1.068656091161947635e-05,9.901612326087949612e-01,1.650268640472321025e-01,4.495015847959612674e-06,-5.343725532389439543e-07
2.079172861293368868e+01,3.465288140255863514e+00,9.438784730748063707e-05,-1.122093346485842030e-05,9.901682257130559606e-01,1.650281181521289220e-01,4.495048024464644038e-06,-5.343764768146942084e-07
2.178189683864674464e+01,3.630316258407992436e+00,9.888289533194528111e-05,-1.175530994167311451e-05,9.901771268305310514e-01,1.650293722527904627e-01,4.495097661115743078e-06,-5.343804003965820632e-07
2.277207396547727569e+01,3.795345630660782899e+00,1.033779929930610242e-04,-1.228969034206969658e-05,9.901841197113121495e-01,1.650308647618556890e-01,4.495112376044102000e-06,-5.343850515230864705e-07
2.376225808518858784e+01,3.960376495422638587e+00,1.078731053691051262e-04,-1.282407539359278305e-05,9.901930210373031116e-01,1.650318804351544877e-01,4.495162011488768625e-06,-5.343897027679196866e-07
2.475245110622589095e+01,4.125408375857793075e+00,1.123682673805938948e-04,-1.335846509636070273e-05,9.902000143399227738e-01,1.650336113500392443e-01,4.495188365962872966e-06,-5.343943540200526325e-07
2.574265112056581373e+01,4.290441987207832319e+00,1.168634557465567678e-04,-1.389285945038075537e-05,9.902070083173626358e-01,1.650343886054894682e-01,4.495237999874450614e-06,-5.343975499781585415e-07
2.673285812888317636e+01,4.455476375813321788e+00,1.213586937464312184e-04,-1.442725700035891391e-05,9.902159093598150719e-01,1.650361195111536006e-01,4.495264353024798314e-06,-5.344022011323219627e-07
2.772307403824299143e+01,4.620512495324475388e+00,1.258539580994560167e-04,-1.496165920149123587e-05,9.902229032174645340e-01,1.650368967519169061e-01,4.495302346010102363e-06,-5.344068525158415773e-07
2.871329694146045597e+01,4.785549392076392294e+00,1.303492604454661191e-04,-1.549606605400707745e-05,9.902318044223186178e-01,1.650386276550817044e-01,4.495328697941318929e-06,-5.344100483809432686e-07
2.970352874588277459e+01,4.950588019731473999e+00,1.348445891434074380e-04,-1.603047610238802072e-05,9.902387988054854873e-01,1.650398817169032029e-01,4.495378329779454790e-06,-5.344146996664882762e-07
3.069376754468826007e+01,5.115627901448377202e+00,1.393399674731868928e-04,-1.656489080205450899e-05,9.902477001957805669e-01,1.650411357741266016e-01,4.495404680608932214e-06,-5.344193509593414841e-07
3.168401524488404064e+01,5.280669037222503803e+00,1.438353721537958250e-04,-1.709931015301385048e-05,9.902527867814860940e-01,1.650428666634295993e-01,4.495442671286105363e-06,-5.344225469534937272e-07
3.267426803166552673e+01,5.445711903885933403e+00,1.483308148250819304e-04,-1.763373269996734420e-05,9.902655039890575495e-01,1.650436438829352426e-01,4.495480661138065133e-06,-5.344271982593980187e-07
3.366453353565458428e+01,5.610755547768868645e+00,1.528262954862199955e-04,-1.816815989822674222e-05,9.902705903627690986e-01,1.650448979268492877e-01,4.495507010419600010e-06,-5.344318495726071224e-07
3.465480412601735338e+01,5.775800445695717933e+00,1.573218024966395955e-04,-1.870259174779934934e-05,9.902756775929404398e-01,1.650466287941547705e-01,4.495556639084764003e-06,-5.344365007820987357e-07
3.564507980361029382e+01,5.940847074489872703e+00,1.618173591357243595e-04,-1.923702824858144808e-05,9.902883947297169698e-01,1.650474060095206141e-01,4.495582987486523028e-06,-5.344396968008013817e-07
3.663536819834001079e+01,6.105894480499393318e+00,1.663129421232108825e-04,-1.977146794538224946e-05,9.902934817363515663e-01,1.650491368676014758e-01,4.495620975030406108e-06,-5.344443481343697693e-07
3.762566168007636236e+01,6.270943617366994793e+00,1.708085630982412886e-04,-2.030591229351661923e-05,9.903023841703202379e-01,1.650503908930991415e-01,4.495658961749075810e-06,-5.344489994752463571e-07
3.861596406424668260e+01,6.435994008260093935e+00,1.753042220599903645e-04,-2.084036129299186559e-05,9.903112862561869179e-01,1.650516449140022601e-01,4.495685308824936893e-06,-5.344536507123986784e-07
3.960627535050286951e+01,6.601045653174096195e+00,1.797999073688153013e-04,-2.137481494370426427e-05,9.903163739648448427e-01,1.650528989401536251e-01,4.495734934095165728e-06,-5.344568467556551155e-07
4.059659172446771436e+01,6.766098552114249820e+00,1.842956423029104671e-04,-2.190927179045991938e-05,9.903252762189538316e-01,1.650541529523410489e-01,4.495761279847324378e-06,-5.344614982279132897e-07
4.158691700068666819e+01,6.931152705066590869e+00,1.887914035827577915e-04,-2.244373328868783267e-05,9.903341790467337091e-01,1.650558837861337835e-01,4.495799264479907785e-06,-5.344661493744025924e-07
4.257725117973340190e+01,7.096208588852724652e+00,1.932872028472376992e-04,-2.297819943806223526e-05,9.903392665355710278e-01,1.650566609732377898e-01,4.495837248509322419e-06,-5.344693456577386600e-07
4.356759044626897293e+01,7.261265249825962442e+00,1.977830400957470217e-04,-2.351266878371997392e-05,9.903481695546361152e-01,1.650583917978085680e-01,4.495875231935568279e-06,-5.344739968172790463e-07
4.455793861582360904e+01,7.426323641623771010e+00,2.022789153276825899e-04,-2.404714278053725297e-05,9.903570721564207702e-01,1.650591689661426997e-01,4.495901575588928363e-06,-5.344786483172047048e-07
4.554829568798002981e+01,7.591382810589913710e+00,2.067748169032715183e-04,-2.458162142885445767e-05,9.903659748364646020e-01,1.650608997922944354e-01,4.495927919018156754e-06,-5.344818443965176403e-07
4.653866166281649441e+01,7.756443710382208145e+00,2.112707448222896751e-04,-2.511610327325097532e-05,9.903710631804756304e-01,1.650621537658247817e-01,4.495977539687194199e-06,-5.344879508940918135e-07
4.752903272599697004e+01,7.921505864148032927e+00,2.157667223619768693e-04,-2.565059122414506713e-05,9.903799671578852326e-01,1.650629309328994765e-01,4.496027159818033686e-06,-5.344911470974849114e-07
4.851941269315485528e+01,8.086568795080932404e+00,2.202627495217949029e-04,-2.618508237124255204e-05,9.903888701303955600e-01,1.650656153945320170e-01,4.496053501268051011e-06,-5.344943433058483987e-07
4.950980156328525084e+01,8.251634410475464421e+00,2.247588030230629540e-04,-2.671957671454840044e-05,9.903977731811224317e-01,1.650654388805214978e-01,4.496079842493909537e-06,-5.345004498261162786e-07
5.050019933646637327e+01,8.416699849355985918e+00,2.292548828655568635e-04,-2.725407716437451672e-05,9.904028607210833002e-01,1.650671696840984026e-01,4.496106182829556763e-06,-5.345036459365119352e-07
5.149060219718745657e+01,8.581767019040084321e+00,2.337509890483864203e-04,-2.778858081031102865e-05,9.904117651152546387e-01,1.650689004830283579e-01,4.496155800769738656e-06,-5.345068421629070598e-07
5.248101396230271121e+01,8.746835919523112679e+00,2.382471448491561589e-04,-2.832308765247393571e-05,9.904206696567285917e-01,1.650696776045847969e-01,4.496205417505805615e-06,-5.345129488168943370e-07
5.347143463195943980e+01,8.911905597127697476e+00,2.427433502666619645e-04,-2.885760060129083005e-05,9.904257561702820567e-01,1.650714083942936838e-01,4.496208479130896435e-06,-5.345161449453216310e-07
5.446186038812972185e+01,9.076977005521991160e+00,2.472395587457928610e-04,-2.939211674623615168e-05,9.904346621703794540e-01,1.650731391793609504e-01,4.496281372058023688e-06,-5.345193411897416168e-07
5.545229505030010131e+01,9.242050144701352110e+00,2.517358401178508846e-04,-2.992663608742589330e-05,9.904435644464371080e-01,1.650739162871417420e-01,4.496284432790789015e-06,-5.345254477554002982e-07
5.644273861474653842e+01,9.407124060988493852e+00,2.562321245506416737e-04,-3.046116153518129360e-05,9.904524694046088484e-01,1.650746934182247827e-01,4.496334047114180880e-06,-5.345286440128815320e-07
5.743319108415114727e+01,9.572198754406718635e+00,2.607284585977558545e-04,-3.099569017919417513e-05,9.904575588010828824e-01,1.650764241621054396e-01,4.496383661121419392e-06,-5.345347507057306808e-07
5.842364864295223015e+01,9.737275178568824074e+00,2.652248422588772739e-04,-3.153022492989990581e-05,9.904664612543783164e-01,1.650781549287216876e-01,4.496386720398426462e-06,-5.345379468652474721e-07
5.941411510420660846e+01,9.902353333497545762e+00,2.697212289792757004e-04,-3.206476287676515328e-05,9.904753665279883990e-01,1.650789320474714827e-01,4.496436332859972147e-06,-5.345411430297244883e-07
6.040459047073459686e+01,1.006743226554501724e+01,2.742176653121356725e-04,-3.259930401979487777e-05,9.904842719489366232e-01,1.650806627760434964e-01,4.496485945005472898e-06,-5.345472497452741201e-07
6.139507474268353349e+01,1.023251292832106074e+01,2.787141512571411454e-04,-3.313385126954015189e-05,9.904893602877962167e-01,1.650814398865847465e-01,4.496512279608699293e-06,-5.345504460338448512e-07
6.238556410297132970e+01,1.039759436820764549e+01,2.832106635367498447e-04,-3.366840171557399674e-05,9.904982644481989951e-01,1.650831706357163142e-01,4.496538613765776495e-06,-5.345536422163535049e-07
6.337606236741952870e+01,1.056267753884336180e+01,2.877072021505156212e-04,-3.420295535779035024e-05,9.905033543725991763e-01,1.650839477077905570e-01,4.496588223827440670e-06,-5.345597489546036196e-07
6.436656572179212787e+01,1.072776148655115236e+01,2.922037903743430619e-04,-3.473751510674495386e-05,9.905122587010879442e-01,1.650856784476939509e-01,4.496614556882968464e-06,-5.345629451501769094e-07
6.535707798049321582e+01,1.089284716499884631e+01,2.967004049312260304e-04,-3.527207805189513077e-05,9.905211646516107749e-01,1.650874091829539481e-01,4.496664165411679188e-06,-5.345661414617462791e-07
6.634759914514482659e+01,1.105793457418180026e+01,3.011970690966377096e-04,-3.580664419335687705e-05,9.905300691825402737e-01,1.650881862412525436e-01,4.496690497587485340e-06,-5.345722481116610219e-07
6.733812921432736687e+01,1.122302276042305280e+01,3.056937595942251949e-04,-3.634121644146853807e-05,9.905389737916436843e-01,1.650889633281380497e-01,4.496716829317196507e-06,-5.345754444362882515e-07
6.832866818811901055e+01,1.138811172375119085e+01,3.101904764235423914e-04,-3.687579188590482633e-05,9.905478800918245952e-01,1.650916476891932660e-01,4.496766435984169471e-06,-5.345786406548669561e-07
6.931921606821083515e+01,1.155320337144038412e+01,3.146872428595265609e-04,-3.741037052655969328e-05,9.905491530736014738e-01,1.650914710955770914e-01,4.496792766390286626e-06,-5.345847474385112606e-07
7.030976522128443662e+01,1.171829484253596121e+01,3.191840356259168475e-04,-3.794495527399820454e-05,9.905656914176859118e-01,1.650941554463862815e-01,4.496842371968286928e-06,-5.345879436701410489e-07
7.130033091270212253e+01,1.188338899798234749e+01,3.236808779978851344e-04,-3.847954321766834559e-05,9.905669645332579876e-01,1.650949324817325703e-01,4.496868701272854676e-06,-5.345940505809825970e-07
7.229089787723538052e+01,1.204848393046408006e+01,3.281777466991579891e-04,-3.901413726824932819e-05,9.905758695566646566e-01,1.650957095480780623e-01,4.496895030131164810e-06,-5.345972467146547190e-07
