Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.004970182123717137e+00,1.335013436322038061e+00,1.729126709397334324e-05,1.017246842062551119e-06
4.004970182123717137e+00,1.335013436322038061e+00,1.729126709397334324e-05,1.017246842062551119e-06,4.005323278623174943e+00,1.335084339891687844e+00,1.729285688432350977e-05,1.017113385024473671e-06
8.010293460746892080e+00,2.670097776213725904e+00,3.458412397829685301e-05,2.034360227087024790e-06,4.005366427867111057e+00,1.335121984667026585e+00,1.729301038777086939e-05,1.017235950591915036e-06
1.201565988861400314e+01,4.005219760880752489e+00,5.187713436606772240e-05,3.051596177678939826e-06,4.005513539460849870e+00,1.335171192932904205e+00,1.729364842316557621e-05,1.017273296077785677e-06
1.602117342807485301e+01,5.340390953813656694e+00,6.917078278923329861e-05,4.068869473756725503e-06,4.005660658932058027e+00,1.335220163068035149e+00,1.729427477993937632e-05,1.017310278185506778e-06
2.002683408700691103e+01,6.675611116881691842e+00,8.646505756917267492e-05,5.086179751942232281e-06,4.005806832879883927e+00,1.335268656656761976e+00,1.729491273941313094e-05,1.017347805517528733e-06
2.403264091988679496e+01,8.010879773538453819e+00,1.037599703085858059e-04,6.103527557459761013e-06,4.005953014724465078e+00,1.335318104216636215e+00,1.729554484019764653e-05,1.017385332733963724e-06
2.803859393461126004e+01,9.346197877755090033e+00,1.210555151487834524e-04,7.120912890193724738e-06,4.006099204558513094e+00,1.335366598379614800e+00,1.729617690345586494e-05,1.017422132422600850e-06
3.204469313916977313e+01,1.068156447613470483e+01,1.383516920522393173e-04,8.138335022616325587e-06,4.006247310026907371e+00,1.335416046521530120e+00,1.729680892829991946e-05,1.017459659631369346e-06
3.605094044919668050e+01,1.201698052265623495e+01,1.556485009805392368e-04,9.155794682247694934e-06,4.006393516370238217e+00,1.335464541262682658e+00,1.729745255495951091e-05,1.017496458869728839e-06
4.005733396556691872e+01,1.335244506391891761e+01,1.729459535354987477e-04,1.017329114111742377e-05,4.006539729815557394e+00,1.335513036301685830e+00,1.729807286454321182e-05,1.017533985626733160e-06
4.406387369538247611e+01,1.468795810022060344e+01,1.902440264000419595e-04,1.119082512674415693e-05,4.006685952226924030e+00,1.335562485328386728e+00,1.729871641463888530e-05,1.017572240121458911e-06
4.807055964760940014e+01,1.602352058554899017e+01,2.075427428146808448e-04,1.220839736686561584e-05,4.006835997713636743e+00,1.335610980926194458e+00,1.729934828742382908e-05,1.017608311384668557e-06
5.207739564532303689e+01,1.735913156647518463e+01,2.248420911021046739e-04,1.322600567825028440e-05,4.006978420142381481e+00,1.335661384197674550e+00,1.729998012223966041e-05,1.017645110388554084e-06
5.608437406546541837e+01,1.869479295067285918e+01,2.421420712243443343e-04,1.424365078863883849e-05,4.007128481732436853e+00,1.335707973035841434e+00,1.730061191908656903e-05,1.017683364315130791e-06
6.009150254719785522e+01,2.003050092370870061e+01,2.594426831434309033e-04,1.526133415295396928e-05,4.007270919999392333e+00,1.335758376920598067e+00,1.730124367818684349e-05,1.017721618345902716e-06
6.409877346719724756e+01,2.136625930062929868e+01,2.767439268216177468e-04,1.627905577129987199e-05,4.007420999275254303e+00,1.335806873656512295e+00,1.730189867496045950e-05,1.017756961526446928e-06
6.810619446647250186e+01,2.270206617428581097e+01,2.940458254965782063e-04,1.729681273282631892e-05,4.007574899541410218e+00,1.335857278127370762e+00,1.730250708163527185e-05,1.017795215327439143e-06
7.211376936601391208e+01,2.403792345241318174e+01,3.113483325782134782e-04,1.831460794815375806e-05,4.007713547645494145e+00,1.335903868089165059e+00,1.730316200166710653e-05,1.017832013536328344e-06
7.612148291365940622e+01,2.537382732050234679e+01,3.286514945798805847e-04,1.933243996169008641e-05,4.007859831920868032e+00,1.335954273146150229e+00,1.730377033321142460e-05,1.017870266882524852e-06
8.012934274558027425e+01,2.670978159364849702e+01,3.459552649130920093e-04,2.035031022857261126e-05,4.008006127813686703e+00,1.336002771071854056e+00,1.730442517650218268e-05,1.017907065083655232e-06
8.413734887339396096e+01,2.804578436472035108e+01,3.632596900895941920e-04,2.136821729365626649e-05,4.008152429916663095e+00,1.336053176676156085e+00,1.730505670698899651e-05,1.017943863171354347e-06
8.814550130331062405e+01,2.938183754139650716e+01,3.805647467965831885e-04,2.238616115682762084e-05,4.008306370286504716e+00,1.336099767831701257e+00,1.730566492539519158e-05,1.017982116169867548e-06
9.215380767359712877e+01,3.071793730922820842e+01,3.978704117219783801e-04,2.340414327299748839e-05,4.008445060340221744e+00,1.336152081366908106e+00,1.730634292750841139e-05,1.018017458782943731e-06
9.616225273393735051e+01,3.205408939059511653e+01,4.151767546494867915e-04,2.442216073178043212e-05,4.008599019264181607e+00,1.336198673198090603e+00,1.730697434284449773e-05,1.018058621816222308e-06
1.001708517532015321e+02,3.339028806379320713e+01,4.324837289923312892e-04,2.544021935359665442e-05,4.008737716064018741e+00,1.336247172474706701e+00,1.730755917529194169e-05,1.018092508957619847e-06
1.041795894692655509e+02,3.472653523626791383e+01,4.497912881676232309e-04,2.645831186255427427e-05,4.008891695870090643e+00,1.336295672236872178e+00,1.730823706108837456e-05,1.018132216955882204e-06
1.081884811651356415e+02,3.606283090850478601e+01,4.670995252287116054e-04,2.747644407951015648e-05,4.009038046299266966e+00,1.336347986886309513e+00,1.730886836252517377e-05,1.018166103876312563e-06
1.121975192114349085e+02,3.739917889539109552e+01,4.844083935912367792e-04,2.849461018338646904e-05,4.009184404705777638e+00,1.336392672428821982e+00,1.730949962643974155e-05,1.018205811197666846e-06
1.162067036161406861e+02,3.873557156781991750e+01,5.017178932176765208e-04,2.951281599458413588e-05,4.009330771088954748e+00,1.336444987769532133e+00,1.731013085194460423e-05,1.018242608368937299e-06
1.202160343872296409e+02,4.007201655558944964e+01,5.190280240696211250e-04,3.053105860295307318e-05,4.009477145448244073e+00,1.336493488712164890e+00,1.731076203970573300e-05,1.018282315673560987e-06
1.242255115326778849e+02,4.140851004430161453e+01,5.363387861093268580e-04,3.154934091862663417e-05,4.009615894164582528e+00,1.336541989705011702e+00,1.731139318972339889e-05,1.018316202368118152e-06
1.282351274268424675e+02,4.274505203400662623e+01,5.536501792990502569e-04,3.256765712099475232e-05,4.009769917960824159e+00,1.336590491230147393e+00,1.731202430133201020e-05,1.018355909217844490e-06
1.322448973448032916e+02,4.408164252523677362e+01,5.709622036003822671e-04,3.358601303021259681e-05,4.009923950127756598e+00,1.336638992922146940e+00,1.731265537541942009e-05,1.018392705929321742e-06
1.362548212949310482e+02,4.541828151815892056e+01,5.882748589758016872e-04,3.460440573614191855e-05,4.010062729158732964e+00,1.336687494901539708e+00,1.731333294899132288e-05,1.018429502305279080e-06
1.402648840240897812e+02,4.675496901306046027e+01,6.055881919247930100e-04,3.562283523844719763e-05,4.010216771199509367e+00,1.336739812005369288e+00,1.731391740845055968e-05,1.018466298789798936e-06
1.442751007952892905e+02,4.809170882506582956e+01,6.229021093332435697e-04,3.664130153723699657e-05,4.010355566284744100e+00,1.336784499726427100e+00,1.731459490448194940e-05,1.018503095160829929e-06
1.482854563615740346e+02,4.942849332479225666e+01,6.402167042377255191e-04,3.765980463239782650e-05,4.010509631244332240e+00,1.336836817560595136e+00,1.731522582509978283e-05,1.018542801422403694e-06
1.522959659928183669e+02,5.076533014235285179e+01,6.575319300628253020e-04,3.867834743382023019e-05,4.010648428216455841e+00,1.336885320705199831e+00,1.731581017264008197e-05,1.018579597560534508e-06
1.563066144210348227e+02,5.210221546305805163e+01,6.748477402354653839e-04,3.969692703138076470e-05,4.010802516465105327e+00,1.336933824137254589e+00,1.731648755280582128e-05,1.018616393585162908e-06
1.603174169374999281e+02,5.343914928719530621e+01,6.921642277882712052e-04,4.071554342496592761e-05,4.010941336383041289e+00,1.336982327856730990e+00,1.731711835908868093e-05,1.018653189274257840e-06
1.643283582738829693e+02,5.477613161505203720e+01,7.094813461473598861e-04,4.173419661424018545e-05,4.011095433753439465e+00,1.337034646724056586e+00,1.731774912785185704e-05,1.018689985071881410e-06
1.683394537076364088e+02,5.611316626177609379e+01,7.267990952752117432e-04,4.275288659931206686e-05,4.011234269346005021e+00,1.337079336329168200e+00,1.731837985843008316e-05,1.018729690745214509e-06
1.723506879769824138e+02,5.745024559810526199e+01,7.441174751336418263e-04,4.377161629005728137e-05,4.011388382918369189e+00,1.337131655786997442e+00,1.731901055082325086e-05,1.018766486531921518e-06
1.763620763599007830e+02,5.878737725389225943e+01,7.614364856844650772e-04,4.479038277658920289e-05,4.011542513241437291e+00,1.337180160671927354e+00,1.731968773553249196e-05,1.018803281539019403e-06
1.803736188731422203e+02,6.012455741456418679e+01,7.787561734199975692e-04,4.580918605812822229e-05,4.011681364405859540e+00,1.337228665844364173e+00,1.732027182158176696e-05,1.018840077098694477e-06
1.843853002375480798e+02,6.146178608040855096e+01,7.960764452415793361e-04,4.682802613522691677e-05,4.011820240099353896e+00,1.337277171304307899e+00,1.732094892831041733e-05,1.018876872100784702e-06
1.883971204776474337e+02,6.279906325171285886e+01,8.133973941698897534e-04,4.784690300732770147e-05,4.011974386441266915e+00,1.337325677238403898e+00,1.732157946768590404e-05,1.018916577407799769e-06
