Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.074958556086099996e-07,9.899960935532473583e-01,-1.319999098920757184e-06,4.714268454316844569e-06
-9.074958556086099996e-07,9.899960935532473583e-01,-1.319999098920757184e-06,4.714268454316844569e-06,9.074962951126039249e-07,9.900173489604423560e-01,-1.320018849296701180e-06,4.714367009896574413e-06
4.395039939742005080e-13,1.980013442513689714e+00,-2.640017948217458364e-06,9.428635464213418982e-06,2.205013889740144074e-13,9.900169081342689026e-01,-1.320022228890118780e-06,4.714365520975382569e-06
6.600053829482149154e-13,2.970030350647958617e+00,-3.960040177107577144e-06,1.414300098518880155e-05,2.197797402970547447e-13,9.900233815685735017e-01,-1.320031429313649992e-06,4.714397864490969098e-06
8.797851232452696602e-13,3.960053732216532119e+00,-5.280071606421227136e-06,1.885739884967977065e-05,2.199796060241195249e-13,9.900303319032666138e-01,-1.320040447693538653e-06,4.714429479821321281e-06
1.099764729269389185e-12,4.950084064119798732e+00,-6.600112054114765789e-06,2.357182832950109193e-05,2.202460133327427922e-13,9.900368054561328179e-01,-1.320049466217862525e-06,4.714462549838928449e-06
1.320010742602131977e-12,5.940120869575931550e+00,-7.920161520332628314e-06,2.828629087934002038e-05,2.193356970455849910e-13,9.900437558994701348e-01,-1.320057757239731757e-06,4.714492708819401616e-06
1.539346439647716968e-12,6.930164625475401685e+00,-9.240219277572360072e-06,3.300078358815942200e-05,2.208455582526637091e-13,9.900502295665596364e-01,-1.320067503476820081e-06,4.714525777719440289e-06
1.760191997900380677e-12,7.920214855041961322e+00,-1.056028678104918015e-05,3.771530936587886228e-05,2.197353399481783126e-13,9.900571801487876300e-01,-1.320075794341551149e-06,4.714558846046996499e-06
1.979927337848558990e-12,8.910272035190748952e+00,-1.188036257539073130e-05,4.242986821192585878e-05,2.200461927420433463e-13,9.900636539070433173e-01,-1.320085540758413745e-06,4.714589003600615561e-06
2.199973530590602336e-12,9.900335689097792269e+00,-1.320044811614914505e-05,4.714445721552647434e-05,2.200906705358149935e-13,9.900710814698623352e-01,-1.320093831799078638e-06,4.714622070588585776e-06
2.420064201126417330e-12,1.089040677056765460e+01,-1.452054194794822368e-05,5.185907928611506012e-05,2.197796655665910800e-13,9.900775553410596785e-01,-1.320102850410950142e-06,4.714652227052107316e-06
2.639843866693008410e-12,1.188048432590871428e+01,-1.584064479835917383e-05,5.657373151316716744e-05,2.201350444082843826e-13,9.900840293362502820e-01,-1.320111869278290170e-06,4.714688203304859466e-06
2.859978911101292792e-12,1.287056835524496456e+01,-1.716075666763746400e-05,6.128841971647202690e-05,2.198685566450123929e-13,9.900905033171500946e-01,-1.320120888068016570e-06,4.714718358650839616e-06
3.079847467746305185e-12,1.386065885856211466e+01,-1.848087755570548057e-05,6.600313807512286652e-05,2.196464996541550762e-13,9.900969773471306468e-01,-1.320129906891163502e-06,4.714748513243502545e-06
3.299493967400460261e-12,1.485075583590924531e+01,-1.980100746259664407e-05,7.071788658836636906e-05,2.205347515278736630e-13,9.901044052646348348e-01,-1.320138925747727578e-06,4.714784487765068428e-06
3.520028718928333924e-12,1.584086024117388014e+01,-2.112114638834437165e-05,7.543267107613143749e-05,2.199130437118737179e-13,9.901108793153401422e-01,-1.320147944526683107e-06,4.714808821251466157e-06
3.739941762640207642e-12,1.683097112048922028e+01,-2.244129433287105475e-05,8.014747989738290365e-05,2.207122599532085048e-13,9.901173537089675847e-01,-1.320156963561110549e-06,4.714850614616838357e-06
3.960654022593416147e-12,1.782108847419818787e+01,-2.376145129643216530e-05,8.486233051199974201e-05,2.199129871154705994e-13,9.901247816175597904e-01,-1.320165982517929444e-06,4.714874947040609537e-06
4.180567009708886746e-12,1.881121325581574766e+01,-2.508161727895009475e-05,8.957720545904035154e-05,2.197353825472704144e-13,9.901303022734246895e-01,-1.320175001508162095e-06,4.714910919272313327e-06
4.400302392256157161e-12,1.980134355808917235e+01,-2.640179228045825684e-05,9.429211637831266487e-05,2.205346177577222463e-13,9.901377305196206180e-01,-1.320182565211138891e-06,4.714946890890372240e-06
4.620837010013879407e-12,2.079148128860879297e+01,-2.772197484566939573e-05,9.900706326920303711e-05,2.193801308402573107e-13,9.901451585921421383e-01,-1.320193039586974699e-06,4.714971221747674569e-06
4.840217140854136718e-12,2.178162644720093510e+01,-2.904216788525637043e-05,1.037220344909507117e-04,2.200905497025542918e-13,9.901506794195000793e-01,-1.320203513890975337e-06,4.715007192026242355e-06
5.060307690556691010e-12,2.277177712662043518e+01,-3.036237139914734577e-05,1.084370416829769540e-04,2.200906623668656267e-13,9.901581075876038085e-01,-1.320211077803304796e-06,4.715031521653801922e-06
5.280398352923556636e-12,2.376193523420803899e+01,-3.168258247695065056e-05,1.131520732046307560e-04,2.205347194771294905e-13,9.901655360890622148e-01,-1.320218641743301738e-06,4.715067491258958187e-06
5.500933072400686127e-12,2.475210077029710121e+01,-3.300280111869395230e-05,1.178671406958897141e-04,2.200018120764214351e-13,9.901710570879060924e-01,-1.320229116038452576e-06,4.715103459806421022e-06
5.720934884477107562e-12,2.574227182738500730e+01,-3.432303023473240488e-05,1.225822441556961352e-04,2.184918152565770156e-13,9.901784857310254040e-01,-1.320236680152474132e-06,4.715139427962337796e-06
5.939426699733684578e-12,2.673245031311603270e+01,-3.564326691488487901e-05,1.272973835836584730e-04,2.215117138307721592e-13,9.901840065308888938e-01,-1.320247154629337254e-06,4.715163755686770184e-06
6.160938413564456737e-12,2.772263431964692160e+01,-3.696351406951421626e-05,1.320125473393452431e-04,2.195577315197223007e-13,9.901914352926191043e-01,-1.320254718584299575e-06,4.715199722725226883e-06
6.380496145084179038e-12,2.871282575493954070e+01,-3.828376878809851584e-05,1.367277470620704700e-04,2.190248728452700297e-13,9.901988637884642230e-01,-1.320265193242881757e-06,4.715224048997939668e-06
6.599521017929449067e-12,2.970302461872800492e+01,-3.960403398134139760e-05,1.414429711110684097e-04,2.208010122130565860e-13,9.902043854165896164e-01,-1.320272757371872079e-06,4.715271655016188253e-06
6.820322030142505653e-12,3.069322900414459454e+01,-4.092430673871326967e-05,1.461582427660845980e-04,2.206236248363555590e-13,9.902118136623094813e-01,-1.320283231990115164e-06,4.715284340573165948e-06
7.040945654978861212e-12,3.168344081780690402e+01,-4.224458997070338484e-05,1.508735271066577639e-04,2.190246942177105498e-13,9.902173354140657580e-01,-1.320290796071082106e-06,4.715331945142215700e-06
7.259970349196571762e-12,3.267365815322096978e+01,-4.356488076677446695e-05,1.555888590517999796e-04,2.208013469212038717e-13,9.902266717784371508e-01,-1.320298360401761138e-06,4.715356269511855516e-06
7.480771696117775634e-12,3.366388482499940693e+01,-4.488517912717622808e-05,1.603042153213118351e-04,2.199127998026673606e-13,9.902321932915612024e-01,-1.320311745595315533e-06,4.715392233088264943e-06
7.700684495920442995e-12,3.465411701829096813e+01,-4.620549087277154362e-05,1.650196075544001001e-04,2.209788497764623922e-13,9.902377144426921518e-01,-1.320316399297672544e-06,4.715416556450301470e-06
7.921663345696905387e-12,3.564435473273366028e+01,-4.752580727206921616e-05,1.697350241108504015e-04,2.188470889548482870e-13,9.902470514011412206e-01,-1.320326874199820744e-06,4.715452518909277928e-06
8.140510434651753674e-12,3.663460178413480151e+01,-4.884613414626903690e-05,1.744504766297596795e-04,2.208014461923463343e-13,9.902525730856552855e-01,-1.320337348919097919e-06,4.715488480754704377e-06
8.361311880844100008e-12,3.762485435722045679e+01,-5.016647149518813482e-05,1.791659651105143838e-04,2.176034118567807940e-13,9.902580948229768865e-01,-1.320344913411146892e-06,4.715524442208544106e-06
8.578915292700880802e-12,3.861511245204343368e+01,-5.148681640859928172e-05,1.838814895527229279e-04,2.227553876154497708e-13,9.902636161521840563e-01,-1.320352477708791638e-06,4.715548763223526875e-06
8.801670680316330573e-12,3.960537606819561773e+01,-5.280716888630807335e-05,1.885970383159464548e-04,2.195575299611588149e-13,9.902729534067589157e-01,-1.320365863248497906e-06,4.715584723337997450e-06
9.021228210277489388e-12,4.059564902160237665e+01,-5.412753474955657126e-05,1.933126230392844523e-04,2.209789975421216285e-13,9.902784748314772401e-01,-1.320367606616812471e-06,4.715609043789411930e-06
9.242207207819611016e-12,4.158592749643385389e+01,-5.544790235617338373e-05,1.980282320830738642e-04,2.192021578059339496e-13,9.902878122405809336e-01,-1.320380992227215497e-06,4.715645002786449536e-06
9.461409365625544966e-12,4.257621530867443482e+01,-5.676828334840059923e-05,2.027438770858603137e-04,2.183144059664293440e-13,9.902895182721067613e-01,-1.320394377777303000e-06,4.715669321786307043e-06
9.679723771591974310e-12,4.356650482694654158e+01,-5.808867772617790223e-05,2.074595464076466208e-04,2.215116021004172062e-13,9.902988563182120174e-01,-1.320396121220922183e-06,4.715716918994789560e-06
9.901235373692391516e-12,4.455680368326475360e+01,-5.940907384739882441e-05,2.121752633266414103e-04,2.208011244617540918e-13,9.903081934456068325e-01,-1.320409506952742299e-06,4.715741237099258703e-06
1.012203649815414561e-11,4.554711187671036043e+01,-6.072948335435156671e-05,2.168910045637406690e-04,2.199131117557763520e-13,9.903099006429840756e-01,-1.320417071585791764e-06,4.715788832526884942e-06
1.034194960990992196e-11,4.653742177735334451e+01,-6.204990042593735847e-05,2.216067933962675540e-04,2.200905889309784957e-13,9.903192367828097531e-01,-1.320424636135479634e-06,4.715789872073697288e-06
1.056204019884090046e-11,4.752774101413615426e+01,-6.337032506207283811e-05,2.263225832683412513e-04,2.195574818322639498e-13,9.903285751839305817e-01,-1.320438021988723618e-06,4.715837466383998979e-06
1.078159768067316441e-11,4.851806958932008484e+01,-6.469076308406156172e-05,2.310384207347252502e-04,2.197355666380104890e-13,9.903302825331863346e-01,-1.320439765547607044e-06,4.715885059916033245e-06
1.100133324731117489e-11,4.950839987185327118e+01,-6.601120284960916877e-05,2.357543057946412835e-04,2.213339465489811639e-13,9.903396187945574525e-01,-1.320453151471527456e-06,4.715886098225960648e-06
1.122266719386015606e-11,5.049873949064782863e+01,-6.733165600108069622e-05,2.404701918928672441e-04,2.184918196915680699e-13,9.903489574554882324e-01,-1.320460716147260605e-06,4.715933690640697470e-06
1.144115901355172413e-11,5.148908844810331686e+01,-6.865211671722795683e-05,2.451861255835079416e-04,2.208012987741869658e-13,9.903506649565798625e-01,-1.320474102157266670e-06,4.715981282499238578e-06
1.166196031232591109e-11,5.247943911305989673e+01,-6.997259081938522350e-05,2.499021068660071802e-04,2.218669740463896103e-13,9.903600025837988596e-01,-1.320475845811424362e-06,4.716005596353933359e-06
1.188382728637230070e-11,5.346979911564369559e+01,-7.129306666519664786e-05,2.546181124623611135e-04,2.209787943152624785e-13,9.903655245966902498e-01,-1.320489231892147514e-06,4.716029909981758837e-06
1.210480608068756318e-11,5.446016464024038584e+01,-7.261355589708879538e-05,2.593341423723428724e-04,2.135179766824006741e-13,9.903748623322741196e-01,-1.320496796693905613e-06,4.716054222716635404e-06
1.231832405736996386e-11,5.545053950257265996e+01,-7.393405269378270099e-05,2.640501965950595078e-04,2.255972911557560366e-13,9.903803857309512182e-01,-1.320510182860687312e-06,4.716101812343048184e-06
1.254392134852571989e-11,5.644091988830361117e+01,-7.525456287664338830e-05,2.687662984074025560e-04,2.192024737646327455e-13,9.903859078804728711e-01,-1.320511926610146375e-06,4.716126123960708624e-06
1.276312382229035264e-11,5.743130579618408404e+01,-7.657507480325353468e-05,2.734824245313632646e-04,2.206233897355043352e-13,9.903914300481915234e-01,-1.320525312847645161e-06,4.716150435573435943e-06
