Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.005089037692672882e+00,8.009942531552404432e+00,8.391929153303425250e-06,3.280246497096262029e-05
4.005089037692672882e+00,8.009942531552404432e+00,8.391929153303425250e-06,3.280246497096262029e-05,4.005571116326957615e+00,8.011377970151130512e+00,8.392311286476135602e-06,3.280865284423043897e-05
8.010660154019630497e+00,1.602132050170353494e+01,1.678424043977956085e-05,6.561111781519305926e-05,4.005825281675290839e+00,8.011649924348542839e+00,8.393157603756674017e-06,3.280961935936012167e-05
1.201648543569492134e+01,2.403297042605207778e+01,2.517739804353623487e-05,9.842073717455318094e-05,4.006154802205625032e+00,8.012311082366341708e+00,8.393848198915034161e-06,3.281231428520712254e-05
1.602264023790054637e+01,3.204528150841841949e+01,3.357124624245126903e-05,1.312330514597603035e-04,4.006486245096940735e+00,8.012970411736318965e+00,8.394540231089187259e-06,3.281503218957330307e-05
2.002912648299748710e+01,4.005825192015473846e+01,4.196578647354045629e-05,1.640480836493336066e-04,4.006814841790724557e+00,8.013629817873521688e+00,8.395232245466182025e-06,3.281771487319897493e-05
2.403594132478821166e+01,4.807188173802826014e+01,5.036101871900663831e-05,1.968657985225325815e-04,4.007145360925047584e+00,8.014293119793642006e+00,8.395927151768448906e-06,3.282044381298790739e-05
2.804308668571325924e+01,5.608617485782190215e+01,5.875694587077508722e-05,2.296862423355204889e-04,4.007477802424890712e+00,8.014952682863281552e+00,8.396619130054792804e-06,3.282313753318031354e-05
3.205056448813814995e+01,6.410112754068518370e+01,6.715356500082988003e-05,2.625093798687008024e-04,4.007808351218073994e+00,8.015608509650832048e+00,8.397305269636928544e-06,3.282585422905408149e-05
3.605837283935622395e+01,7.211673605033601575e+01,7.555087027046680857e-05,2.953352340977548839e-04,4.008135100338847678e+00,8.016279676410022148e+00,8.398003032385388013e-06,3.282854734652432402e-05
4.006650793969507163e+01,8.013301572674603790e+01,8.394887330285219658e-05,3.281637814442792079e-04,4.008469494225536778e+00,8.016928027749841590e+00,8.398694956378532743e-06,3.283126343814579380e-05
4.407497743392060841e+01,8.814994375449587949e+01,9.234756825923072932e-05,3.609950448824250017e-04,4.008796273275308408e+00,8.017599351323184464e+00,8.399392682436587808e-06,3.283395595289005089e-05
4.808377370719591681e+01,9.616754310581906395e+01,1.007469609416673171e-04,3.938290008353150526e-04,4.009130696870983002e+00,8.018255493405433754e+00,8.400078750458886499e-06,3.283669471325459692e-05
5.209290440406689982e+01,1.041857985992244977e+02,1.091470396921262036e-04,4.266656955485696495e-04,4.009461320952006247e+00,8.018919341736634010e+00,8.400776440363813546e-06,3.283938662396255603e-05
5.610236572501890606e+01,1.122047179409611317e+02,1.175478161324900172e-04,4.595050821725322056e-04,4.009788144178401126e+00,8.019575635111507950e+00,8.401462472426283914e-06,3.284207823384647932e-05
6.011215386919730719e+01,1.202242935760726397e+02,1.259492786049163011e-04,4.923471604063786849e-04,4.010122613357971488e+00,8.020239645288810948e+00,8.402160126173569953e-06,3.284481608476202269e-05
6.412227648255527868e+01,1.282445332213614506e+02,1.343514387310898710e-04,5.251919764911407076e-04,4.010449467174368010e+00,8.020903728425622603e+00,8.402857761964530004e-06,3.284750709038196555e-05
6.813272594972964669e+01,1.362654369497870732e+02,1.427542964930544010e-04,5.580394835815226731e-04,4.010783965627879866e+00,8.021567896445560564e+00,8.403543739758981800e-06,3.285024433419573772e-05
7.214350991535752655e+01,1.442870048462326338e+02,1.511578402328133828e-04,5.908897279157184108e-04,4.011118479949757898e+00,8.022216868358071906e+00,8.404241339385483921e-06,3.285293473554741755e-05
7.615462839530728445e+01,1.523092217145907057e+02,1.595620815721988668e-04,6.237426626512658284e-04,4.011445377785605615e+00,8.022896461996054995e+00,8.404927280986827743e-06,3.285567137181158882e-05
8.016607377309289006e+01,1.603321181765867607e+02,1.679670088531856945e-04,6.565983340230774172e-04,4.011779923112186452e+00,8.023545589958331448e+00,8.405636484189855061e-06,3.285836116911303867e-05
8.417785369620507652e+01,1.683556637665450921e+02,1.763726453373755496e-04,6.894566951921904559e-04,4.012106850846450357e+00,8.024210072570923558e+00,8.406322389619964690e-06,3.286109719804499157e-05
8.818996054705152687e+01,1.763798738391160157e+02,1.847789677269955143e-04,7.223177923902354474e-04,4.012441424242140897e+00,8.024874625862139510e+00,8.407008277602415333e-06,3.286378639084854437e-05
9.220240197129366777e+01,1.844047484649781552e+02,1.931859760045979296e-04,7.551815787810839918e-04,4.012768383930605864e+00,8.025539266227411872e+00,8.407717425708022968e-06,3.286652181266609511e-05
9.621517035522427364e+01,1.924302877312055671e+02,2.015936934303059526e-04,7.880481005937500869e-04,4.013102988524082093e+00,8.026188695876669499e+00,8.408414916200469130e-06,3.286916387309482199e-05
1.002282733437483557e+02,2.004564764270822366e+02,2.100021083465064217e-04,8.209172644668449089e-04,4.013429974758579988e+00,8.026868783416716724e+00,8.409089110879882766e-06,3.287199174354022736e-05
1.042417033185069357e+02,2.084833452104989533e+02,2.184111974573863045e-04,8.537892562103851363e-04,4.013764609293460239e+00,8.027518369025358425e+00,8.409786565607453709e-06,3.287463319968518712e-05
1.082554679278003960e+02,2.165108635795243117e+02,2.268209840229937582e-04,8.866638894100703234e-04,4.014099261570549970e+00,8.028183323802721816e+00,8.410507279599059843e-06,3.287736740681791812e-05
1.122695671893709459e+02,2.245390469033270335e+02,2.352314913025928180e-04,9.195412568168882415e-04,4.083383991427112392e+00,8.166162572606793901e+00,8.556944440260132742e-06,6.239345654328729745e-04
1.163529511807980583e+02,2.327052094759338274e+02,2.437884357428529508e-04,1.543475822249761216e-03,4.429832442044556728e+00,8.853681986443888263e+00,9.320525691583388941e-06,3.444420870135675439e-03
1.207827836228426150e+02,2.415588914623777157e+02,2.531089614344363397e-04,4.987896692385436655e-03,4.459672641692677075e+00,8.916734217128350792e+00,9.343273512661340058e-06,3.470199162671144984e-03
1.252424562645352921e+02,2.504756256795060665e+02,2.624522349470976798e-04,8.458095855056581638e-03,4.493992903061467814e+00,8.978556877808870240e+00,9.419091653265745847e-06,3.495631917827922083e-03
1.297364491675967599e+02,2.594541825573149367e+02,2.718713266003634256e-04,1.195372777288450372e-02,4.527543642176226513e+00,9.041637144317007824e+00,9.489507499381877754e-06,3.521704335440925537e-03
1.342639928097729864e+02,2.684958197016319446e+02,2.813608340997453034e-04,1.547543210832542926e-02,4.561645907462064997e+00,9.105469923911755359e+00,9.560945496565951933e-06,3.548231988778377533e-03
1.388256387172350514e+02,2.776012896255436999e+02,2.909217795963112553e-04,1.902366409710380679e-02,4.591230320132382303e+00,9.160501140244207363e+00,9.619509778575788088e-06,3.539758500856686474e-03
1.434168690373674337e+02,2.867617907657879073e+02,3.005412893748870434e-04,2.256342259796049327e-02,4.613961135458254148e+00,9.201431211649719444e+00,9.665014621974431144e-06,3.483954815283518691e-03
1.480308301728256879e+02,2.959632219774376267e+02,3.102063039968614745e-04,2.604737741324401196e-02,4.648268036575984752e+00,9.263856897453081274e+00,9.742871251837903132e-06,3.509519213909555874e-03
1.526790982094016726e+02,3.052270788748907080e+02,3.199491752486993777e-04,2.955689662715356783e-02,4.683522642761744237e+00,9.329196173521836499e+00,9.816047252165724119e-06,3.536351438424515520e-03
1.573626208521634169e+02,3.145562750484125445e+02,3.297652225008651018e-04,3.309324806557808335e-02,4.719237494069176364e+00,9.394511025849794805e+00,9.890850358150731370e-06,3.563339175345063559e-03
1.620818583462325932e+02,3.239507860742623393e+02,3.396560728590158331e-04,3.665658724092314691e-02,4.755611049876932839e+00,9.460626403810010743e+00,9.967047738688647723e-06,3.590793635018095509e-03
1.668374693961095261e+02,3.334114124780723500e+02,3.496231205977044809e-04,4.024738087594124242e-02,4.838797332504213955e+00,9.610368808177497613e+00,1.019210775745612923e-05,3.878445630357787999e-03
1.716762667286137400e+02,3.430217812862498477e+02,3.598152283551606101e-04,4.412582650629903042e-02,4.952086437047341860e+00,9.821823622141437227e+00,1.047839595869765050e-05,4.318542560035679156e-03
1.766283531656610819e+02,3.528436049083912849e+02,3.702936243138582606e-04,4.844436906633470957e-02,4.994453815571574751e+00,9.912231667275591462e+00,1.045636186598416801e-05,4.362772484156139663e-03
1.816228069812326567e+02,3.627558365756668763e+02,3.807499861798424286e-04,5.280714155049084924e-02,5.045717553101383146e+00,9.992495439018057368e+00,1.057655561147820061e-05,4.402821031243328576e-03
1.866685245343340398e+02,3.727483320146849337e+02,3.913265417913206292e-04,5.720996258173417781e-02,5.095180435187529611e+00,1.007873680560072671e+01,1.068091942199665256e-05,4.445857121634762266e-03
1.917637049695215694e+02,3.828270688202856604e+02,4.020074612133172818e-04,6.165581970336894008e-02,5.145654266068191873e+00,1.016652164775507572e+01,1.078669956810509277e-05,4.489915019298108823e-03
1.969093592355897613e+02,3.929935904680407361e+02,4.127941607814223745e-04,6.614573472266704890e-02,5.197307298067585180e+00,1.025571886421573709e+01,1.089503634236734441e-05,4.534987443109303462e-03
2.021066665336573465e+02,4.032493093322564732e+02,4.236891971237897190e-04,7.068072216577635236e-02,5.250170179977089902e+00,1.034640514125987920e+01,1.100583650626938423e-05,4.581105148642378166e-03
2.073568367136344364e+02,4.135957144735163524e+02,4.346950336300591032e-04,7.526182731441873053e-02,5.304273641586064514e+00,1.043863632910131400e+01,1.111937918763861773e-05,4.628324848230183641e-03
2.126611103552205009e+02,4.240343508026176664e+02,4.458144128176977209e-04,7.989015216264891417e-02,5.473622609154489282e+00,1.073027367648518293e+01,1.158600725513931349e-05,5.184253029247395950e-03
2.181347329643749902e+02,4.347646244791028494e+02,4.574004200728370344e-04,8.507440519189631012e-02,5.722378015891280256e+00,1.117425621814646775e+01,1.223358322019306313e-05,6.062268106888604735e-03
2.238571109802662704e+02,4.459388806972493171e+02,4.696340032930300975e-04,9.113667329878491485e-02,5.794870696946475164e+00,1.132508884809749361e+01,1.212912913460030290e-05,6.158245116202790137e-03
2.296519816772127456e+02,4.572639695453468107e+02,4.817631324276304004e-04,9.729491841498770499e-02,5.884475934126129459e+00,1.145035953737766476e+01,1.234121869717947533e-05,6.241259876481511371e-03
2.355364576113388750e+02,4.687143290827244755e+02,4.941043511248098758e-04,1.035361782914692164e-01,5.971883548368339234e+00,1.159041596275284292e+01,1.252723658204672914e-05,6.333511042012907044e-03
2.415083411597072143e+02,4.803047450454773184e+02,5.066315877068566049e-04,1.098696893334821234e-01,6.062092438634550717e+00,1.173457511752383198e+01,1.271673812053861295e-05,6.429260857876720192e-03
2.475704335983417650e+02,4.920393201630011504e+02,5.193483258273952179e-04,1.162989501913588436e-01,6.400796734259955656e+00,1.229758330176758818e+01,1.364488992543178795e-05,7.479955094734827559e-03
2.539712303326017206e+02,5.043369034647687386e+02,5.329932157528270058e-04,1.237789052860936712e-01,1.325009890350628439e+00,2.516624543324837759e+00,2.847440194879077846e-06,1.962736739621356863e-03
