Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.009879536487892082e+00,2.670053669598478674e+00,3.458221483308873239e-05,2.034701650614615185e-06
8.009879536487892082e+00,2.670053669598478674e+00,3.458221483308873239e-05,2.034701650614615185e-06,8.011293891493716401e+00,2.670337284215178020e+00,3.458856213586991118e-05,2.034167823142110318e-06
1.602117342798160848e+01,5.340390953813656694e+00,6.917077696895864358e-05,4.068869473756725503e-06,8.011467491905186478e+00,2.670488819724797125e+00,3.458919333962716229e-05,2.034658083703035510e-06
2.403264091988679496e+01,8.010879773538453819e+00,1.037599703085858059e-04,6.103527557459761013e-06,8.012052219282978172e+00,2.670684702596251014e+00,3.459172174365351146e-05,2.034807465156564574e-06
3.204469313916977313e+01,1.068156447613470483e+01,1.383516920522393173e-04,8.138335022616325587e-06,8.012640826397145588e+00,2.670880587784212779e+00,3.459426148325943037e-05,2.034956118501098186e-06
4.005733396556691872e+01,1.335244506391891761e+01,1.729459535354987477e-04,1.017329114111742377e-05,8.013225682042481424e+00,2.671075521630072558e+00,3.459678927918209712e-05,2.035106225748192072e-06
4.807055964760940014e+01,1.602352058554899017e+01,2.075427428146808448e-04,1.220839736686561584e-05,8.013814417856018224e+00,2.671272365123869008e+00,3.459932840966348949e-05,2.035253421773222641e-06
5.608437406546541837e+01,1.869479295067285918e+01,2.421420712243443343e-04,1.424365078863883849e-05,8.014399401731829187e+00,2.671466349956439501e+00,3.460185559727341252e-05,2.035404982661033507e-06
6.409877346719724756e+01,2.136625930062929868e+01,2.767439268216177468e-04,1.627905577129987199e-05,8.014995898816664521e+00,2.671664151783883057e+00,3.460440575659573135e-05,2.035552176853886071e-06
7.211376936601391208e+01,2.403792345241318174e+01,3.113483325782134782e-04,1.831460794815375806e-05,8.015573379566362178e+00,2.671858141235315287e+00,3.460693233487853113e-05,2.035702280418853196e-06
8.012934274558027425e+01,2.670978159364849702e+01,3.459552649130920093e-04,2.035031022857261126e-05,8.016158557730349798e+00,2.672055947748010141e+00,3.460948188349117919e-05,2.035850928255009579e-06
8.814550130331062405e+01,2.938183754139650716e+01,3.805647467965831885e-04,2.238616115682762084e-05,8.016751430626726460e+00,2.672251849291889414e+00,3.461200785290360297e-05,2.036002485220371802e-06
9.616225273393735051e+01,3.205408939068839658e+01,4.151767546494867915e-04,2.442216364204799264e-05,8.017336735328200348e+00,2.672445845579517254e+00,3.461453351813643942e-05,2.036148220506281631e-06
1.041795894692655509e+02,3.472653523626791383e+01,4.497912881676232309e-04,2.645831186255427427e-05,8.017929742169357610e+00,2.672643659123181692e+00,3.461710542361354833e-05,2.036298320832194766e-06
1.121975192114349085e+02,3.739917889539109552e+01,4.844083935912367792e-04,2.849461018338646904e-05,8.018515175794732386e+00,2.672837660198354115e+00,3.461963047838434579e-05,2.036448419566604145e-06
1.202160343872296409e+02,4.007201655558944964e+01,5.190280240696211250e-04,3.053105860295307318e-05,8.019093039612826601e+00,2.673035478417176591e+00,3.462215522942913189e-05,2.036598518041679139e-06
1.282351274268424675e+02,4.274505203400662623e+01,5.536501792990502569e-04,3.256765712099475232e-05,8.019693868088580757e+00,2.673229484152294333e+00,3.462467967675143029e-05,2.036748615147166233e-06
1.362548212949310482e+02,4.541828151815892056e+01,5.882748589758016872e-04,3.460440573614191855e-05,8.020279500358242331e+00,2.673427306906908996e+00,3.462725035744188256e-05,2.036895801095078016e-06
1.442751007952892905e+02,4.809170882506582956e+01,6.229021093332435697e-04,3.664130153723699657e-05,8.020865190446585302e+00,2.673621317287022237e+00,3.462977419410606401e-05,2.037045896583233623e-06
1.522959659857358758e+02,5.076533014235285179e+01,6.575318835273496337e-04,3.867834743382023019e-05,8.021450951764052206e+00,2.673819144842454421e+00,3.463234426092157148e-05,2.037195991145697416e-06
1.603174169374999281e+02,5.343914928719530621e+01,6.921642277882712052e-04,4.071554342496592761e-05,8.022036770136480754e+00,2.674016974580787576e+00,3.463486748694053798e-05,2.037343174346139250e-06
1.683394537076364088e+02,5.611316626177609379e+01,7.267990952752117432e-04,4.275288659931206686e-05,8.022622652264374210e+00,2.674210992116165642e+00,3.463739040925333402e-05,2.037496177277136028e-06
1.763620763599007830e+02,5.878737725389225943e+01,7.614364856844650772e-04,4.479038277658920289e-05,8.023223877647296831e+00,2.674408826516291526e+00,3.463995955711425892e-05,2.037643358637713880e-06
1.843853002375480798e+02,6.146178608040855096e+01,7.960764452415793361e-04,4.682802613522691677e-05,8.023794626540620811e+00,2.674602848542711797e+00,3.464252839599632136e-05,2.037793449508584472e-06
1.924090948640887007e+02,6.413638892895126276e+01,8.307189736375756575e-04,4.886581958473550124e-05,8.024395954728163360e+00,2.674796872698223638e+00,3.464495734915320167e-05,2.037940629040899305e-06
2.004334908188168640e+02,6.681118580164948639e+01,8.653639309867288592e-04,5.090376021377640054e-05,8.024982112222232900e+00,2.674998529356912513e+00,3.464757210528334949e-05,2.038093628256077740e-06
2.084584729310390969e+02,6.948618433100639891e+01,9.000115030920122087e-04,5.294185384203247828e-05,8.025568335659755803e+00,2.675192558595441028e+00,3.465018654783046190e-05,2.038246626527322658e-06
2.164840412666988527e+02,7.216137688960183993e+01,9.346616896398426706e-04,5.498010046855980094e-05,8.026154583293930500e+00,2.675394219139732854e+00,3.465261459314268773e-05,2.038387982719698976e-06
2.245101958499927832e+02,7.483677110874157279e+01,9.693143042329853583e-04,5.701848845127949992e-05,8.503160630383661100e+00,2.838519361802838148e+00,2.605872083811023622e-03,-5.116101030762987062e-04
2.330133564803764443e+02,7.767529047054441094e+01,3.575186388044008980e-03,-4.545916146250191859e-04,8.754265518850417038e+00,2.929587170335736346e+00,3.782155702749628607e-03,-7.463710341810265124e-04
2.417676219992268614e+02,8.060487764088014728e+01,7.357342090793637587e-03,-1.200962648806045644e-03,8.826059581287267974e+00,2.930085225349770894e+00,3.817269535469383981e-03,-7.536677619825018007e-04
