Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.201472995631183949e+01,4.005121058364346176e+00,5.187283886357163120e-05,3.052364334426427510e-06
1.201472995631183949e+01,4.005121058364346176e+00,5.187283886357163120e-05,3.052364334426427510e-06,1.201790905602841519e+01,4.005758715179937646e+00,5.188713144501417467e-05,3.051163950669062849e-06
2.403263901234025468e+01,8.010879773544283822e+00,1.037599703085858059e-04,6.103528285095490359e-06,1.201830143685642582e+01,4.006100749111951131e+00,5.188853067195343092e-05,3.052266397152204575e-06
3.605094044919668050e+01,1.201698052265623495e+01,1.556485009805392368e-04,9.155794682247694934e-06,1.201961919841271964e+01,4.006540062892755216e+00,5.189424183414160802e-05,3.052602684617920911e-06
4.807055964760940014e+01,1.602352058554899017e+01,2.075427428146808448e-04,1.220839736686561584e-05,1.202094289958845508e+01,4.006980338159710442e+00,5.189994032875005852e-05,3.052936786088353432e-06
6.009150254719785522e+01,2.003050092370870061e+01,2.594426831434309033e-04,1.526133415295396928e-05,1.202226681881605685e+01,4.007422528704481124e+00,5.190564943478257484e-05,3.053273795199788786e-06
7.211376936601391208e+01,2.403792345241318174e+01,3.113483325782134782e-04,1.831460794815375806e-05,1.202357950738004888e+01,4.007860912307169343e+00,5.191135751138071380e-05,3.053609345502508428e-06
8.413734887339396096e+01,2.804578436472035108e+01,3.632596900895941920e-04,2.136821729365626649e-05,1.202490386054338956e+01,4.008305025968045499e+00,5.191706455989259948e-05,3.053946348391726150e-06
9.616225273393735051e+01,3.205408939068839658e+01,4.151767546494867915e-04,2.442216364204799264e-05,1.202622843119829099e+01,4.008741517816389432e+00,5.192277057922481398e-05,3.054280437462163835e-06
1.081884811651356415e+02,3.606283090850478601e+01,4.670995252287116054e-04,2.747644407951015648e-05,1.202755322209399935e+01,4.009185647084663628e+00,5.192849884090951955e-05,3.054614523442916708e-06
1.202160343872296409e+02,4.007201655558944964e+01,5.190280240696211250e-04,3.053105860295307318e-05,1.202886295757365076e+01,4.009625969647323984e+00,5.193417953076114209e-05,3.054954427259523630e-06
1.322448973448032916e+02,4.408164252523677362e+01,5.709622036003822671e-04,3.358601303021259681e-05,1.203020345048599893e+01,4.010066299829055936e+00,5.193990573286130265e-05,3.055288507024399758e-06
1.442751007952892905e+02,4.809170882506582956e+01,6.229021093332435697e-04,3.664130153723699657e-05,1.203151362574553218e+01,4.010506637992222068e+00,5.194563090222181420e-05,3.055625494143768132e-06
1.563066144210348227e+02,5.210221546305805163e+01,6.748477402354653839e-04,3.969692703138076470e-05,1.203283928660158608e+01,4.010950798718042165e+00,5.195135503974635926e-05,3.055959567931302158e-06
1.683394537076364088e+02,5.611316626177609379e+01,7.267990952752117432e-04,4.275288659931206686e-05,1.203416516550581150e+01,4.011391152788092995e+00,5.195707814478582598e-05,3.056299458816155430e-06
1.803736188731422203e+02,6.012455741456418679e+01,7.787561734199975692e-04,4.580918605812822229e-05,1.203547599094648035e+01,4.011831514387075970e+00,5.196280021757808832e-05,3.056633526607278948e-06
1.924090948640887007e+02,6.413638892895126276e+01,8.307189736375756575e-04,4.886581958473550124e-05,1.203681755747112447e+01,4.012275698912631583e+00,5.196842820814125564e-05,3.056970501049945457e-06
2.044459124215598251e+02,6.814866462786389434e+01,8.826874018457169131e-04,5.192279008578544670e-05,1.203812884513902759e+01,4.012712261737945596e+00,5.197428779412575743e-05,3.057310382774354246e-06
2.164840412666988527e+02,7.216137688960183993e+01,9.346616896398426706e-04,5.498010046855980094e-05,1.216818422519469323e+01,4.056534041445644334e+00,7.567717013934275455e-04,-1.377535917367535441e-04
2.286522254918935460e+02,7.621791093104748427e+01,1.691433391033270216e-03,-8.277349126819374318e-05,1.312513390746852338e+01,4.382684241338637321e+00,5.670871380152367122e-03,-1.119321049194745661e-03
2.417773593993620693e+02,8.060059517238612159e+01,7.362304771185637121e-03,-1.202094540462939499e-03,1.324262065340471395e+01,4.410210329088940284e+00,5.726904160282235944e-03,-1.130670948346372637e-03
2.550199800527667833e+02,8.501080550147506187e+01,1.308920893146787306e-02,-2.332765488809312136e-03,1.336212620323888700e+01,4.461967624891741480e+00,5.782211941832395702e-03,-1.141552195556527240e-03
2.683821062560056703e+02,8.947277312636680335e+01,1.887142087330026877e-02,-3.474317684365839376e-03,1.347385623927340248e+01,4.504480198642539790e+00,5.797362659197745349e-03,-1.144406796577204094e-03
2.818559624952790728e+02,9.397725332500934314e+01,2.466878353249801412e-02,-4.618724480943043470e-03,1.356207255256867938e+01,4.540407632869445820e+00,5.706154633123211584e-03,-1.125957021579203181e-03
2.954180350478477521e+02,9.851766095787878896e+01,3.037493816562122570e-02,-5.744681502522246651e-03,1.367452376982487294e+01,4.573146862196722395e+00,5.760164762782297304e-03,-1.136768014153194048e-03
3.090925588176726251e+02,1.030908078200755114e+02,3.613510292840352300e-02,-6.881449516675440699e-03,1.379767813389355524e+01,4.624285468718923653e+00,5.818034140575863156e-03,-1.148169879308875811e-03
3.228902369515661803e+02,1.077150932887944350e+02,4.195313706897938616e-02,-8.029619395984316510e-03,1.398467227657170042e+01,4.683472576269494425e+00,6.160691598197785834e-03,-1.216719621332440146e-03
3.368749092281378807e+02,1.123985658650639294e+02,4.811382866717717199e-02,-9.246339017316756656e-03,1.431232504873617017e+01,4.796565042236011323e+00,7.003180003068848469e-03,-1.385252468046644855e-03
3.511872342768740509e+02,1.171951309072999408e+02,5.511700867024602046e-02,-1.063159148536340151e-02,1.449449517798541365e+01,4.909118118628015282e+00,7.100584218981603746e-03,-1.403774218209025496e-03
3.656817294548594646e+02,1.221042490259279560e+02,6.221759288922762421e-02,-1.203536570357242701e-02,1.462783403138047333e+01,4.939675881844905803e+00,7.182621979411718538e-03,-1.420079476904610727e-03
3.803095634862399379e+02,1.270439249077728618e+02,6.940021486863934275e-02,-1.345544518047703773e-02,1.478109062298068466e+01,4.999802562582715382e+00,7.273491706839899096e-03,-1.438064532286665448e-03
3.950906541092206226e+02,1.320437274703555772e+02,7.667370657547924184e-02,-1.489350971276370318e-02,1.493778813565779728e+01,5.064134844664494040e+00,7.367357135752691799e-03,-1.456624210826344343e-03
4.100284422448784198e+02,1.371078623150200713e+02,8.404106371123193364e-02,-1.635013392359004752e-02,1.519445524419262483e+01,5.149049096973129735e+00,7.816899343618566309e-03,-1.546623390724168740e-03
4.252228974890710447e+02,1.422569114119932010e+02,9.185796305485049995e-02,-1.789675731431421626e-02,1.586109742823867919e+01,5.364141281363174585e+00,9.608722875940139962e-03,-1.905856630425202536e-03
4.410839949173097239e+02,1.476210526933563756e+02,1.014666859307906399e-01,-1.980261394473941880e-02,1.617509970715485679e+01,5.622030177691954123e+00,9.820153747572557545e-03,-1.945560012638885422e-03
4.572590946244645806e+02,1.532430828710483297e+02,1.112868396783631975e-01,-2.174817395737830422e-02,1.635272885764038620e+01,5.643754191255027308e+00,9.978401795695840404e-03,-1.977085303047576570e-03
4.736118234821049668e+02,1.588868370623033570e+02,1.212652414740590379e-01,-2.372525926042588079e-02,1.657898316038000530e+01,5.739056253581679812e+00,1.016340868928139463e-02,-2.013822206952075450e-03
4.901908066424849721e+02,1.646258933158850368e+02,1.314286501633404325e-01,-2.573908146737795624e-02,8.381131004527503592e+00,2.966440577874436713e+00,6.971555147299413058e-03,-1.384322293250989794e-03
