Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.005027452254011244e+00,4.005027452254011244e+00,1.373152221320352651e-05,1.373152221320352651e-05
4.005027452254011244e+00,4.005027452254011244e+00,1.373152221320352651e-05,1.373152221320352651e-05,4.005412117325295007e+00,4.005412117325295007e+00,1.373284410845254383e-05,1.373284410845254383e-05
8.010439569579306252e+00,8.010439569579306252e+00,2.746436632165607033e-05,2.746436632165607033e-05,4.005550741256294955e+00,4.005550741256294955e+00,1.373331469446050176e-05,1.373331469446050176e-05
1.201599031083560121e+01,1.201599031083560121e+01,4.119768101611657210e-05,4.119768101611657210e-05,4.005769489609104284e+00,4.005769489609104284e+00,1.373406900569455817e-05,1.373406900569455817e-05
1.602175980044470549e+01,1.602175980044470549e+01,5.493175002181113027e-05,5.493175002181113027e-05,4.005990158925936129e+00,4.005990158925936129e+00,1.373482037267657093e-05,1.373482037267657093e-05
2.002774995937064162e+01,2.002774995937064162e+01,6.866657039448770120e-05,6.866657039448770120e-05,4.006210842038857578e+00,4.006210842038857578e+00,1.373558043662712373e-05,1.373558043662712373e-05
2.403396080140949920e+01,2.403396080140949920e+01,8.240215083111482493e-05,8.240215083111482493e-05,4.006429631147728543e+00,4.006429631147728543e+00,1.373633464654944972e-05,1.373633464654944972e-05
2.804039043255722774e+01,2.804039043255722774e+01,9.613848547766427465e-05,9.613848547766427465e-05,4.006652248729086097e+00,4.006652248729086097e+00,1.373708300254059857e-05,1.373708300254059857e-05
3.204704268128631384e+01,3.204704268128631384e+01,1.098755684802048732e-04,1.098755684802048732e-04,4.006871065400844145e+00,4.006871065400844145e+00,1.373784878541690479e-05,1.373784878541690479e-05
3.605391374668715798e+01,3.605391374668715798e+01,1.236134172656217780e-04,1.236134172656217780e-04,4.007087987211875202e+00,4.007087987211875202e+00,1.373859125418513418e-05,1.373859125418513418e-05
4.006100173389903318e+01,4.006100173389903318e+01,1.373520085198069122e-04,1.373520085198069122e-04,4.007312553919845755e+00,4.007312553919845755e+00,1.373935696939506822e-05,1.373935696939506822e-05
4.406831428781887894e+01,4.406831428781887894e+01,1.510913654892019804e-04,1.510913654892019804e-04,4.007529503334325227e+00,4.007529503334325227e+00,1.374011101057094836e-05,1.374011101057094836e-05
4.807584379115320417e+01,4.807584379115320417e+01,1.648314764997729288e-04,1.648314764997729288e-04,4.007754096969478042e+00,4.007754096969478042e+00,1.374086501851570666e-05,1.374086501851570666e-05
5.208359788812268221e+01,5.208359788812268221e+01,1.785723415182886354e-04,1.785723415182886354e-04,4.007971073521041205e+00,4.007971073521041205e+00,1.374161899234054127e-05,1.374161899234054127e-05
