Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.899991356730798442e-01,4.950013526237547756e-01,4.054279782939229957e-06,1.037150476563972032e-06
9.899991356730798442e-01,4.950013526237547756e-01,4.054279782939229957e-06,1.037150476563972032e-06,9.900209916836412161e-01,4.950087571204655479e-01,4.054373939347059153e-06,1.037156312896145737e-06
1.980020127356721060e+00,9.900101097442203235e-01,8.108653722286289110e-06,2.074306789460117769e-06,9.900253239299534602e-01,4.950125257618486208e-01,4.054389515467413815e-06,1.037169425366063864e-06
2.970045451286674520e+00,1.485022635506068944e+00,1.216304323775370292e-05,3.111476214826181634e-06,9.900352592030103871e-01,4.950176653379889657e-01,4.054429828919917466e-06,1.037179627245459028e-06
3.960080710489684908e+00,1.980040300844057910e+00,1.621747306667362039e-05,4.148655842071640662e-06,9.900451946225987676e-01,4.950227453389239862e-01,4.054470869440852688e-06,1.037190556728393321e-06
4.950125905112283675e+00,2.475063046182981896e+00,2.027194393611447308e-05,5.185846398800033983e-06,9.900553686246187368e-01,4.950277061575896198e-01,4.054514092263356706e-06,1.037201122469404103e-06
5.940181273736902412e+00,2.970090752340571516e+00,2.432645802837782979e-05,6.223047521269438086e-06,9.900657811862858537e-01,4.950327862130809997e-01,4.054554404015394282e-06,1.037211324469999941e-06
6.930247054923188266e+00,3.465123538553652516e+00,2.838101243239322407e-05,7.260258845739438027e-06,9.900757170325267253e-01,4.950378662977747979e-01,4.054593260199337146e-06,1.037221889921737961e-06
7.920322771955714991e+00,3.960161404851427314e+00,3.243560569259256121e-05,8.297480735661175988e-06,9.900851762146709589e-01,4.950427079899686333e-01,4.054637936308865985e-06,1.037232455783568675e-06
8.910407948170385950e+00,4.455204112841395947e+00,3.649024362890142720e-05,9.334713191444744663e-06,9.900960660587507789e-01,4.950477881343733344e-01,4.054676791367034299e-06,1.037243748577903348e-06
9.900504014229136729e+00,4.950251900975769281e+00,4.054492042026846150e-05,1.037195694002264801e-05,9.901060023995658099e-01,4.950531067215404590e-01,4.054721466303581748e-06,1.037253586738368135e-06
1.089061001662870254e+01,5.445305007697309740e+00,4.459964188657204325e-05,1.140921052676101615e-05,9.901159388271150164e-01,4.950579485022235104e-01,4.054760320235955185e-06,1.037264879907291270e-06
1.188072595545581756e+01,5.940362956199533251e+00,4.865440220680799843e-05,1.244647540666830742e-05,9.901258754307065146e-01,4.950627903021800336e-01,4.054802083814288934e-06,1.037274717557196783e-06
1.287085183088652407e+01,6.435425746501713284e+00,5.270920429062228736e-05,1.348375012422550420e-05,9.901358121815420077e-01,4.950681089777466681e-01,4.054843846817920993e-06,1.037285283027018109e-06
