Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.009813680042682904e+00,1.335004281027281969e+00,3.636196734817653679e-05,-4.322589185993786453e-06
8.009813680042682904e+00,1.335004281027281969e+00,3.636196734817653679e-05,-4.322589185993786453e-06,8.011212671815126640e+00,1.335166780775595363e+00,3.636840954072181192e-05,-4.323678900939205281e-06
1.602102635185780954e+01,2.670171061802877333e+00,7.273037688889834871e-05,-8.646268086932991733e-06,8.011283145936619832e+00,1.335213885688929736e+00,3.636868164361809776e-05,-4.323549527739052305e-06
2.403230949779442938e+01,4.005384947491807068e+00,1.090990585325164465e-04,-1.296981761467204404e-05,8.011799067419936193e+00,1.335299611323552682e+00,3.637101392006489721e-05,-4.323827976946049249e-06
3.204410856521436557e+01,5.340684558815359750e+00,1.454700724525813437e-04,-1.729364559161809329e-05,8.012307406868124815e+00,1.335384857768601385e+00,3.637334589415503264e-05,-4.324104247049501110e-06
4.005641597208249038e+01,6.676069416583961136e+00,1.818434183467363763e-04,-2.161774983866759440e-05,8.012825333603423417e+00,1.335471055489024117e+00,3.637568920426636045e-05,-4.324381975752034806e-06
4.806924130568591380e+01,8.011540472072985253e+00,2.182191075510027368e-04,-2.594213181441962920e-05,8.013335676909839833e+00,1.335556297210271026e+00,3.637800893376155016e-05,-4.324656797661039073e-06
5.608257698259575363e+01,9.347096769283256279e+00,2.545971164847642869e-04,-3.026678861208066828e-05,8.013849884579968830e+00,1.335642013332924094e+00,3.638033999993833334e-05,-4.324937443822307490e-06
6.409642686717572246e+01,1.068273878261618037e+01,2.909774564847026203e-04,-3.459172605590297577e-05,8.014367956692069583e+00,1.335727727138770859e+00,3.638267076356616926e-05,-4.325212272751266713e-06
7.211079482386779205e+01,1.201846650975495123e+01,3.273601272482687895e-04,-3.891693832865424248e-05,8.014874629451355759e+00,1.335812484909052245e+00,3.638500122487458351e-05,-4.325490015629903057e-06
8.012566945331914781e+01,1.335427899466400348e+01,3.637451284731433730e-04,-4.324242834428414554e-05,8.015396616797630713e+00,1.335899147574149737e+00,3.638735465704383406e-05,-4.325767761920720148e-06
8.814106607011677852e+01,1.469017814223815321e+01,4.001324831301872071e-04,-4.756819610620486568e-05,8.015903384076096927e+00,1.335984854179752546e+00,3.638966123860630291e-05,-4.326048422335713312e-06
9.615696945419287545e+01,1.602616299641790576e+01,4.365221443687935100e-04,-5.189424452854057900e-05,8.016417836264977836e+00,1.336069604928773913e+00,3.639201406403623105e-05,-4.326320354583381572e-06
1.041733872904578533e+02,1.736223260134667967e+01,4.729141584328297411e-04,-5.622056488312396057e-05,8.016932337455443758e+00,1.336157214023938167e+00,3.639436658485787832e-05,-4.326601022157151616e-06
1.121903196279132970e+02,1.869838981537061784e+01,5.093085250176876194e-04,-6.054716590528111218e-05,8.017446882045163647e+00,1.336241006373334983e+00,3.639667225951049179e-05,-4.326875872015993423e-06
1.202077665099584607e+02,2.003463082174395282e+01,5.457051972771981112e-04,-6.487404177729710561e-05,8.017969114297002875e+00,1.336326703475023692e+00,3.639902417319372183e-05,-4.327156546552686001e-06
1.282257356242554636e+02,2.137095752521897651e+01,5.821042214503918330e-04,-6.920119832384979161e-05,8.018468487674908829e+00,1.336414305529071811e+00,3.640132924499859396e-05,-4.327431403435667108e-06
1.362442041119303724e+02,2.270737183074804832e+01,6.185055506953904270e-04,-7.352862972728545872e-05,8.018990817109937552e+00,1.336498090653055471e+00,3.640368055201704048e-05,-4.327712085158404252e-06
1.442631949290403099e+02,2.404386992140110380e+01,6.549092312474074674e-04,-7.785634181244386297e-05,8.019497926988549352e+00,1.336585687944740641e+00,3.640603155424207860e-05,-4.327986948955505242e-06
1.522826928560288593e+02,2.538045560934584444e+01,6.913152628016495460e-04,-8.218432876139936821e-05,8.020020347410536488e+00,1.336669468323446353e+00,3.640833571925006923e-05,-4.328267637643292668e-06
1.603027132034393958e+02,2.671712507766929079e+01,7.277235985208996153e-04,-8.651259639904266088e-05,8.020527561678790107e+00,1.336757060688704257e+00,3.641073264514850007e-05,-4.328548330005739411e-06
1.683232407651181859e+02,2.805388213835799505e+01,7.641343311660481153e-04,-9.084114472904840029e-05,8.021050071555464456e+00,1.336842743815171985e+00,3.641298967473050301e-05,-4.328817383136479894e-06
1.763442908366736503e+02,2.939072488217316703e+01,8.005473208407786184e-04,-9.516996211218488018e-05,8.021557391659996483e+00,1.336926517082403620e+00,3.641543251799910039e-05,-4.329098082304097756e-06
1.843658482283336468e+02,3.072765139925557065e+01,8.369627533587777187e-04,-9.949906019448897794e-05,8.022079989459371063e+00,1.337016009436680974e+00,3.641764241896260426e-05,-4.329378785258210390e-06
1.923879282177930179e+02,3.206466740869225163e+01,8.733803957777403230e-04,-1.038284389797471883e-04,8.022587398215648591e+00,1.337099778119203108e+00,3.642003812493409785e-05,-4.329653670248062168e-06
2.004105156160086665e+02,3.340176718681145474e+01,9.098004339026744209e-04,-1.081580926499952505e-04,8.023094856128039964e+00,1.337183544055491780e+00,3.642243352130298747e-05,-4.329940201613468979e-06
2.084336104721367064e+02,3.473895073086694651e+01,9.462228674239774083e-04,-1.124880328516087195e-04,8.073151731157821587e+00,1.345580618600422440e+00,3.964885031372821248e-04,-1.352071112835772509e-04
