Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.980006665515229525e+00,1.980006665515229525e+00,6.788594568603976303e-06,6.788594568603976303e-06
1.980006665515229525e+00,1.980006665515229525e+00,6.788594568603976303e-06,6.788594568603976303e-06,1.980100784485309351e+00,1.980100784485309351e+00,6.788916642401654912e-06,6.788916642401654912e-06
3.960107450000538876e+00,3.960107450000538876e+00,1.357751121100563121e-05,1.357751121100563121e-05,1.980134703597444812e+00,1.980134703597444812e+00,6.789032803786846401e-06,6.789032803786846401e-06
5.940242153597983688e+00,5.940242153597983688e+00,2.036654401479247762e-05,2.036654401479247762e-05,1.980188055720610407e+00,1.980188055720610407e+00,6.789216627194815469e-06,6.789216627194815469e-06
7.920430209318594095e+00,7.920430209318594095e+00,2.715576064198729308e-05,2.715576064198729308e-05,1.980242124769141299e+00,1.980242124769141299e+00,6.789401901554742810e-06,6.789401901554742810e-06
9.900672334087735393e+00,9.900672334087735393e+00,3.394516254354203589e-05,3.394516254354203589e-05,1.980295241741371726e+00,1.980295241741371726e+00,6.789585717051044680e-06,6.789585717051044680e-06
1.188096757582910712e+01,1.188096757582910712e+01,4.073474826059308057e-05,4.073474826059308057e-05,1.980349790919142094e+00,1.980349790919142094e+00,6.789769528046237185e-06,6.789769528046237185e-06
1.386131736674824921e+01,1.386131736674824921e+01,4.752451778863931776e-05,4.752451778863931776e-05,1.980403388072108584e+00,1.980403388072108584e+00,6.789956245386963394e-06,6.789956245386963394e-06
1.584172075482035780e+01,1.584172075482035780e+01,5.431447403402628115e-05,5.431447403402628115e-05,1.980456986774427719e+00,1.980456986774427719e+00,6.790137138067626522e-06,6.790137138067626522e-06
1.782217774159478552e+01,1.782217774159478552e+01,6.110461117209390767e-05,6.110461117209390767e-05,1.980510587210495999e+00,1.980510587210495999e+00,6.790323847476566806e-06,6.790323847476566806e-06
1.980268832880528151e+01,1.980268832880528151e+01,6.789493501957047448e-05,6.789493501957047448e-05,1.980566096663938680e+00,1.980566096663938680e+00,6.790504732082363205e-06,6.790504732082363205e-06
2.178325442546922019e+01,2.178325442546922019e+01,7.468543975165283769e-05,7.468543975165283769e-05,1.980617792904954655e+00,1.980617792904954655e+00,6.790691433115279277e-06,6.790691433115279277e-06
2.376387221837417485e+01,2.376387221837417485e+01,8.147613118476811696e-05,8.147613118476811696e-05,1.980671398277173978e+00,1.980671398277173978e+00,6.790878130031601672e-06,6.790878130031601672e-06
2.574454361665134883e+01,2.574454361665134883e+01,8.826700931479971863e-05,8.826700931479971863e-05,1.980726912671045170e+00,1.980726912671045170e+00,6.791059002707298150e-06,6.791059002707298150e-06
2.772527052932239400e+01,2.772527052932239400e+01,9.505806831750701678e-05,9.505806831750701678e-05,1.980780521352240697e+00,1.980780521352240697e+00,6.791245691469363112e-06,6.791245691469363112e-06
2.970605105067463469e+01,2.970605105067463469e+01,1.018493140089763799e-04,1.018493140089763799e-04,1.980832224130640640e+00,1.980832224130640640e+00,6.791432376114698872e-06,6.791432376114698872e-06
3.168688327480527533e+01,3.168688327480527533e+01,1.086407463850910788e-04,1.086407463850910788e-04,1.980889651229638559e+00,1.980889651229638559e+00,6.791619056643251220e-06,6.791619056643251220e-06
3.366777292603491389e+01,3.366777292603491389e+01,1.154323654417343300e-04,1.154323654417343300e-04,1.980939449317489220e+00,1.980939449317489220e+00,6.791794092901213501e-06,6.791794092901213501e-06
3.564871237535240311e+01,3.564871237535240311e+01,1.222241595346355435e-04,1.222241595346355435e-04,1.980996879728309068e+00,1.980996879728309068e+00,6.791980765354180835e-06,6.791980765354180835e-06
3.762970925508071218e+01,3.762970925508071218e+01,1.290161402999897243e-04,1.290161402999897243e-04,1.981046681439224244e+00,1.981046681439224244e+00,6.792167433690324101e-06,6.792167433690324101e-06
3.961075593651993643e+01,3.961075593651993643e+01,1.358083077336800484e-04,1.358083077336800484e-04,1.981104115207969585e+00,1.981104115207969585e+00,6.792354097909426456e-06,6.792354097909426456e-06
4.159186005172790601e+01,4.159186005172790601e+01,1.426006618315894749e-04,1.426006618315894749e-04,1.981157735440298495e+00,1.981157735440298495e+00,6.792540758011596323e-06,6.792540758011596323e-06
4.357301778716820451e+01,4.357301778716820451e+01,1.493932025896010712e-04,1.493932025896010712e-04,1.981207541502463698e+00,1.981207541502463698e+00,6.792715774238178078e-06,6.792715774238178078e-06
