Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.675117232231074560e+00,8.010057076493838579e+00,2.110619525205225576e-05,2.924297320611874619e-05
6.675117232231074560e+00,8.010057076493838579e+00,2.110619525205225576e-05,2.924297320611874619e-05,6.676226867091657802e+00,8.011555657707800648e+00,2.110948365388869169e-05,2.924863113603918128e-05
1.335134409932273236e+01,1.602161273420163923e+01,4.221567890594094745e-05,5.849160434215792747e-05,6.676680415836594662e+00,8.012016678789212420e+00,2.111102862876192653e-05,2.925022018590316049e-05
2.002802451515932702e+01,2.403362941299085165e+01,6.332670753470287398e-05,8.774182452806108797e-05,6.677353385626936699e+00,8.012824958901280326e+00,2.111315843415770602e-05,2.925316515110038191e-05
2.670537790078626372e+01,3.204645437189213197e+01,8.443986596886058000e-05,1.169949896791614699e-04,6.678028330289524916e+00,8.013629524552975170e+00,2.111528518543634566e-05,2.925611565265411247e-05
3.338340623107578864e+01,4.006008389644510714e+01,1.055551511542969257e-04,1.462511053318155823e-04,6.678697619431339660e+00,8.014441821301858226e+00,2.111740597197826481e-05,2.925906587066277788e-05
4.006210385050712830e+01,4.807452571774696537e+01,1.266725571262751905e-04,1.755101712024783602e-04,6.679372699285877957e+00,8.015246588124114169e+00,2.111954407486830066e-05,2.926201580400757639e-05
4.674147654979300626e+01,5.608977230587107954e+01,1.477921012011434911e-04,2.047721870064859366e-04,6.680044030273940336e+00,8.016055270147859346e+00,2.112165875387694456e-05,2.926495381515937860e-05
5.342152058006694659e+01,6.410582757601893888e+01,1.689137599550204357e-04,2.340371408216453152e-04,6.680719245094671521e+00,8.016856422855994424e+00,2.112379656753356726e-05,2.926791481989719280e-05
6.010223982516161811e+01,7.212268399887493331e+01,1.900375565225540029e-04,2.633050556415425080e-04,6.681390711356371526e+00,8.017669121435190505e+00,2.112592259784020518e-05,2.927085226346891377e-05
6.678363053651798964e+01,8.014035312031012381e+01,2.111634791203942081e-04,2.925759079050114218e-04,6.682069877741582786e+00,8.018481922803829320e+00,2.112807176128116723e-05,2.927381269946855618e-05
7.346570041425957243e+01,8.815883504311395313e+01,2.322915508816753754e-04,3.218497206044799780e-04,6.682733846871258265e+00,8.019287193393637381e+00,2.113018586341397021e-05,2.927677285062660383e-05
8.014843426113083069e+01,9.617812223650759051e+01,2.534217367450893456e-04,3.511264934551065818e-04,6.683413147532419885e+00,8.020092562180622053e+00,2.113232309886443590e-05,2.927970944219238612e-05
8.683184740866325058e+01,1.041982147986882126e+02,2.745540598439537815e-04,3.804062028972989679e-04,6.684092513984850825e+00,8.020905666157261749e+00,2.113443691289655950e-05,2.928266902455965107e-05
9.351593992264810140e+01,1.122191204648454743e+02,2.956884967568503410e-04,4.096888719218586190e-04,6.684756686647517654e+00,8.021711238675621303e+00,2.113657385946997574e-05,2.928562832161499437e-05
1.002006966092956191e+02,1.202408317035210956e+02,3.168250706163203167e-04,4.389745002434736133e-04,6.685436192745200401e+00,8.022524544772934973e+00,2.113873393638760314e-05,2.928858733379334370e-05
1.068861328020408195e+02,1.282633562482940306e+02,3.379638045527079198e-04,4.682630875772669570e-04,6.686108129860969029e+00,8.023322685768278006e+00,2.114084731707111149e-05,2.929154606064209888e-05
1.135722409319017885e+02,1.362866789340623086e+02,3.591046518697790313e-04,4.975546336379090559e-04,6.686787766294060020e+00,8.024143826940900226e+00,2.114296055471848353e-05,2.929450450237425143e-05
1.202590286981958485e+02,1.443108227610032088e+02,3.802476124244975149e-04,5.268491381402833074e-04,6.687459846637082705e+00,8.024949795696130650e+00,2.114514346964098141e-05,2.929741611900911046e-05
1.269464885448329312e+02,1.523357725566993395e+02,4.013927558941384963e-04,5.561465542592924178e-04,6.688139612477556284e+00,8.025755878849253122e+00,2.114720987071949622e-05,2.930042053203953719e-05
1.336346281573104875e+02,1.603615284355485926e+02,4.225399657648579925e-04,5.854469747913319550e-04,6.688804198920735189e+00,8.026577324055068630e+00,2.114941576753361172e-05,2.930337811836935223e-05
1.403234323562312227e+02,1.683881057596036612e+02,4.436893815323916042e-04,6.147503529097013072e-04,6.689484105974713657e+00,8.027368325757777257e+00,2.115152842626689695e-05,2.930628888366654770e-05
1.470129164622059363e+02,1.764154740853614385e+02,4.648409099586585012e-04,6.440566417933678550e-04,6.690164080540228042e+00,8.028189980872269871e+00,2.115364094104014298e-05,2.930929243737286083e-05
1.537030805427461644e+02,1.844436640662337084e+02,4.859945508996986441e-04,6.733659342307407158e-04,6.690828863552184202e+00,8.029011730083482234e+00,2.115579985520818626e-05,2.931224916799936384e-05
1.603939094062983486e+02,1.924726757963171906e+02,5.071503507549068304e-04,7.026781833987400796e-04,6.691508973120363635e+00,8.029803041303466671e+00,2.115791208095812396e-05,2.931520561411354430e-05
1.670854183794187122e+02,2.005024788376206573e+02,5.283082628358649543e-04,7.319933890128536239e-04,6.692189158286936390e+00,8.030624992573194731e+00,2.116007070411887736e-05,2.931816177437511148e-05
1.737776075377056486e+02,2.085331038301938520e+02,5.494683335399838317e-04,7.613115507872287354e-04,6.770758284801104310e+00,8.124832014112939760e+00,1.781058499026647556e-04,3.038824314464758786e-04
1.805483658225067529e+02,2.166579358443067918e+02,7.275741834426485873e-04,1.065193982233704614e-03,7.490825752679029392e+00,8.986868082362917676e+00,1.561080408376775818e-03,2.723204883058192444e-03
1.880391915751857823e+02,2.256448039266697094e+02,2.288654591819424405e-03,3.788398865291896841e-03,7.558436035131961717e+00,9.068294607839476384e+00,1.575453311435591822e-03,2.748305292612970244e-03
1.955976276103177440e+02,2.347130985345091858e+02,3.864107903255016227e-03,6.536704157904867085e-03,7.628169584850326146e+00,9.150135583261800321e+00,1.590058818083402332e-03,2.773781726919931703e-03
2.032257971951680702e+02,2.438632341177709861e+02,5.454166721338418559e-03,9.310485884824798788e-03,7.699143867887102033e+00,9.233685038134638035e+00,1.604987721761197243e-03,2.799824082806745204e-03
2.109249410630551722e+02,2.530969191559056242e+02,7.059154443099615803e-03,1.211030996763154399e-02,7.771592196195513225e+00,9.318834759564907699e+00,1.620241493302681385e-03,2.826431971725508127e-03
2.186965332592506854e+02,2.624157539154705319e+02,8.679395936402297188e-03,1.493674193935705212e-02,7.820749632930585449e+00,9.377927179424546011e+00,1.596720223490279492e-03,2.785286827425155834e-03
2.265172828921812709e+02,2.717936810948950779e+02,1.027611615989257668e-02,1.772202876678220795e-02,7.884926915043678264e+00,9.450103415086459790e+00,1.596142809701956572e-03,2.784146265087241584e-03
2.344022098072249491e+02,2.812437845099815377e+02,1.187225896959453325e-02,2.050617503186944954e-02,7.958902098528170654e+00,9.536958911672002159e+00,1.611341966608932294e-03,2.810636303725196072e-03
2.423611119057531198e+02,2.907807434216535398e+02,1.348360093620346555e-02,2.331681133559464561e-02,8.034332322213913358e+00,9.625757253657525325e+00,1.626890041672516760e-03,2.837761512671243408e-03
2.503954442279670332e+02,3.004065006753110652e+02,1.511049097787598230e-02,2.615457284826588902e-02,8.111583333239735794e+00,9.715780105999158422e+00,1.642743511438293086e-03,2.865415673021398657e-03
2.585070275612067690e+02,3.101222807813102236e+02,1.675323448931427539e-02,2.901998852128728767e-02,8.267238700116422478e+00,9.892561467931898278e+00,1.761593314852240300e-03,3.072994004130115420e-03
2.667742662613231914e+02,3.200148422492421219e+02,1.851482780416651569e-02,3.209298252541740309e-02,8.513455871820156062e+00,1.017934764004883164e+01,1.991172043202853875e-03,3.474151947170933674e-03
2.752877221331433475e+02,3.301941898892909535e+02,2.050599984736936957e-02,3.556713447258833677e-02,8.608889603008265112e+00,1.031120285075513721e+01,2.016562526401637079e-03,3.519075766496911062e-03
2.838966117361516126e+02,3.405053927400460907e+02,2.252256237377100664e-02,3.908621023908524783e-02,8.718383441358923847e+00,1.042453853716529011e+01,2.040928043705210471e-03,3.561505401064306298e-03
2.926149951775105365e+02,3.509299312772113808e+02,2.456349041747621711e-02,4.264771564014955413e-02,8.826867056864386996e+00,1.054900644275727473e+01,2.066755628795654415e-03,3.606563574816853968e-03
3.014418622343749234e+02,3.614789377199686555e+02,2.663024604627187153e-02,4.625427921496640810e-02,8.938251194700171709e+00,1.067701526572443527e+01,2.093355923588002820e-03,3.652989765836917035e-03
3.103801134290750952e+02,3.721559529856930908e+02,2.872360196985987435e-02,4.990726898080332513e-02,9.052879005979661997e+00,1.080839692212879299e+01,2.120764495438316050e-03,3.700807687446988625e-03
3.194329924350547572e+02,3.829643499078218838e+02,3.084436646529819040e-02,5.360807666825031376e-02,9.170940273003338916e+00,1.094335960305187427e+01,2.149013380056141037e-03,3.750104370040918678e-03
3.286039327080580961e+02,3.939077095108737581e+02,3.299337984535433144e-02,5.735818103829123243e-02,9.435381555002891218e+00,1.123848040276868687e+01,2.329826118667902013e-03,4.065788348737005287e-03
