Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.980003483535939024e+00,1.650007153973116925e+00,7.228578828151261010e-06,5.217172143726153784e-06
1.980003483535939024e+00,1.650007153973116925e+00,7.228578828151261010e-06,5.217172143726153784e-06,1.980095053332646904e+00,1.650074916556302451e+00,7.228923837763862264e-06,5.217373387845811033e-06
3.960098536868585928e+00,3.300082070529419376e+00,1.445750266591512327e-05,1.043454553157196482e-05,1.980123323564446647e+00,1.650102983084394737e+00,7.229020734698209032e-06,5.217468037385277607e-06
5.940221860433032575e+00,4.950185053613814112e+00,2.168652340061333231e-05,1.565201356895724242e-05,1.980172218830167807e+00,1.650143329291981154e+00,7.229201300246516465e-06,5.217597245156597638e-06
7.920394079263200382e+00,6.600328382905795266e+00,2.891572470085984877e-05,2.086961081411384006e-05,1.980221830875143141e+00,1.650185345480753796e+00,7.229380406495323743e-06,5.217727178828699075e-06
9.900615910138343523e+00,8.250513728386549062e+00,3.614510510735517251e-05,2.608733799294253914e-05,1.980271444490897537e+00,1.650225932130179984e+00,7.229563873467410482e-06,5.217855654646031939e-06
1.188088735462924106e+01,9.900739660516729046e+00,4.337466898082258300e-05,3.130519364758857108e-05,1.980320105807917841e+00,1.650266996686333698e+00,7.229738605730458940e-06,5.217988494213824822e-06
1.386120746043715890e+01,1.155100665720306274e+01,5.060440758655304194e-05,3.652318214180239590e-05,1.980369722511092334e+00,1.650308062196458536e+00,7.229924974729197299e-06,5.218115510681711386e-06
1.584157718294825123e+01,1.320131471939952128e+01,5.783433256128223923e-05,4.174129765248410729e-05,1.980419340568923658e+00,1.650349128795017606e+00,7.230099698266552791e-06,5.218248345645138200e-06
1.782199652351717489e+01,1.485166384819453889e+01,6.506443225954879203e-05,4.695954599812924549e-05,1.980468006491694410e+00,1.650389242652297028e+00,7.230280238114720169e-06,5.218378268200220195e-06
