Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.320006772192794164e+00,1.980000063132290933e+00,3.645746158352803230e-06,7.668562894112480909e-06
1.320006772192794164e+00,1.980000063132290933e+00,3.645746158352803230e-06,7.668562894112480909e-06,1.320052875552010230e+00,1.980089560567931173e+00,3.645847098504598975e-06,7.668927542033856463e-06
2.640059647744804394e+00,3.960089623700222106e+00,7.291593256857402204e-06,1.533749043614633737e-05,1.320074779851426072e+00,1.980111943448664924e+00,3.645920753183317734e-06,7.669004787401209302e-06
3.960134427596230466e+00,5.940201567148887030e+00,1.093751401004071994e-05,2.300649522354754667e-05,1.320104433341664496e+00,1.980156858617739601e+00,3.646003501600300937e-06,7.669178797719374327e-06
5.280238860937894962e+00,7.920358425766626631e+00,1.458351751164102088e-05,3.067567402126692100e-05,1.320134564219705986e+00,1.980202013568342245e+00,3.646085521658853578e-06,7.669351348358424442e-06
6.600373425157600948e+00,9.900560439334968876e+00,1.822960303329987445e-05,3.834502536962534544e-05,1.320164218805012446e+00,1.980245739358545976e+00,3.646168268396034922e-06,7.669528259994474410e-06
7.920537643962613394e+00,1.188080617869351485e+01,2.187577130169590938e-05,4.601455362961981985e-05,1.320193873937079765e+00,1.980291373877134831e+00,3.646251013957587051e-06,7.669699346744147646e-06
9.240731517899693159e+00,1.386109755257064968e+01,2.552202231565349643e-05,5.368425297636396750e-05,1.320224483287315564e+00,1.980336056076321682e+00,3.646330848533823265e-06,7.669873339266238541e-06
1.056095600118700872e+01,1.584143360864697136e+01,2.916835316418731969e-05,6.135412631563020604e-05,1.320254139546774397e+00,1.980381693378296504e+00,3.646416502674541756e-06,7.670047327333674747e-06
1.188121014073378312e+01,1.782181530202526787e+01,3.281476966686186145e-05,6.902417364296388079e-05,1.320283796326116033e+00,1.980425424569926207e+00,3.646499245375229941e-06,7.670221310946469815e-06
1.320149393705989915e+01,1.980224072659519408e+01,3.646126891223709139e-05,7.669439495391035060e-05,1.320313453609980314e+00,1.980471064484994770e+00,3.646579077122399828e-06,7.670389469696293366e-06
1.452180739066987947e+01,2.178271179108018885e+01,4.010784798935949122e-05,8.436478442360664397e-05,1.320344065237348374e+00,1.980514798502444052e+00,3.646664728148310509e-06,7.670569264852595604e-06
1.584215145590722784e+01,2.376322658958263290e+01,4.375451271750780172e-05,9.203535368845923957e-05,1.320372769894547105e+00,1.980560441134247895e+00,3.646744558009368416e-06,7.670737415004316457e-06
1.716252422580177495e+01,2.574378703071688079e+01,4.740125727551717014e-05,9.970609110346355603e-05,1.320404336299361603e+00,1.980604177885226136e+00,3.646827296916619547e-06,7.670917200939845137e-06
1.848292856210113655e+01,2.772439120860210693e+01,5.104808457243378969e-05,1.073770083044034012e-04,1.320433042150046532e+00,1.980649823406551491e+00,3.646912945271659162e-06,7.671091162279007614e-06
1.980336160425118308e+01,2.970504103200865842e+01,5.469499751770544885e-05,1.150480994666824088e-04,1.320463655885596665e+00,1.980695470312333839e+00,3.646992772303457619e-06,7.671265119163400204e-06
2.112382526013677975e+01,3.168573650232099226e+01,5.834199029000890647e-05,1.227193645858458090e-04,1.320492362830627542e+00,1.980739210613386092e+00,3.647078418507799266e-06,7.671427431534260126e-06
2.244431762296740729e+01,3.366647571293437835e+01,6.198906870851670573e-05,1.303907920173800691e-04,1.320522977659081221e+00,1.980782953015570058e+00,3.647158243653356993e-06,7.671613019657064908e-06
