Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.742173767089843395e+00,2.418354039840849978e+01,1.294571113586425737e+00,0.000000000000000000e+00,3.999200403183193276e-04,-4.722326140336282094e-37
6.742173767089843395e+00,2.418354039840849978e+01,1.294571113586425737e+00,0.000000000000000000e+00,3.999200403183193276e-04,-4.722326140336282094e-37,5.053060913085937855e+00,1.812942282607687972e+01,9.692952156066894087e-01,0.000000000000000000e+00,2.998350955465478107e-04,-3.536017442376578723e-37
1.179523468017578125e+01,4.231296322448537950e+01,2.263866329193115146e+00,0.000000000000000000e+00,6.997551358648671383e-04,-8.258343582712860817e-37,3.367196655273437145e+00,1.208306832126060471e+01,6.456284523010258347e-01,0.000000000000000000e+00,1.998400682629553581e-04,-2.355999475903694743e-37
1.516243133544921839e+01,5.439603154574598420e+01,2.909494781494140980e+00,0.000000000000000000e+00,8.995952041278224964e-04,-1.061434305861655556e-36,6.730769348144532316e+00,2.415842248223718514e+01,1.289894294738768821e+00,0.000000000000000000e+00,3.995605542795829281e-04,-4.708772512540028315e-37
2.189320068359375071e+01,7.855445402798316934e+01,4.199389076232909801e+00,0.000000000000000000e+00,1.299155758407405424e-03,-1.532311557115658388e-36,3.363572692871091618e+00,1.207536056554039305e+01,6.442667007446285510e-01,0.000000000000000000e+00,1.997203318511342647e-04,-2.352775189030773439e-37
2.525677337646484233e+01,9.062981459352356239e+01,4.843655776977538352e+00,0.000000000000000000e+00,1.498876090258539689e-03,-1.767589076018735731e-36,5.043101501464846592e+00,1.810822576671824891e+01,9.655502319335944605e-01,0.000000000000000000e+00,2.995057737740641768e-04,-3.527147424884381160e-37
3.029987487792968892e+01,1.087380403602418113e+02,5.809206008911132812e+00,0.000000000000000000e+00,1.798381864032603866e-03,-2.120303818507173847e-36,6.719912719726558237e+00,2.413531657421286525e+01,1.285815620422363637e+00,0.000000000000000000e+00,3.992016675598575055e-04,-4.699106109104584002e-37
3.701978759765624716e+01,1.328733569344546765e+02,7.095021629333496449e+00,0.000000000000000000e+00,2.197583531592461371e-03,-2.590214429417632248e-36,5.036773681640625000e+00,1.809476035020801987e+01,9.631750106811516332e-01,0.000000000000000000e+00,2.992967041546517985e-04,-3.521512456237312586e-37
4.205656127929687216e+01,1.509681172846626964e+02,8.058196640014648082e+00,0.000000000000000000e+00,2.496880235747113170e-03,-2.942365675041363506e-36,3.356344604492193184e+00,1.205996017545479049e+01,6.415523529052737928e-01,0.000000000000000000e+00,1.994813818423663704e-04,-2.346336659792319101e-37
4.541290588378906534e+01,1.630280774601174869e+02,8.699748992919921875e+00,0.000000000000000000e+00,2.696361617589479540e-03,-3.176999341020595416e-36,5.032263183593748579e+00,1.808514584320394647e+01,9.614822387695305395e-01,0.000000000000000000e+00,2.991472953544262875e-04,-3.517494653280400470e-37
5.044516906738281392e+01,1.811132233033214334e+02,9.661231231689452414e+00,0.000000000000000000e+00,2.995508912943905828e-03,-3.528748806348635463e-36,5.029556274414062500e+00,1.807937695924172772e+01,9.604682922363281250e-01,0.000000000000000000e+00,2.990580186635464523e-04,-3.515086841365504129e-37
5.547472534179687642e+01,1.991926002625631611e+02,1.062169952392578054e+01,0.000000000000000000e+00,3.294566931607452280e-03,-3.880257490485185876e-36,5.026855468750000000e+00,1.807361765310616875e+01,9.594558715820316053e-01,0.000000000000000000e+00,2.989684241066288724e-04,-3.512679029450614470e-37
6.050158081054687642e+01,2.172662179156693298e+02,1.158115539550781214e+01,0.000000000000000000e+00,3.593535355714081152e-03,-4.231525393430247323e-36,6.698150634765617895e+00,2.406822307846465492e+01,1.279760742187500355e+00,0.000000000000000000e+00,3.984858247726521564e-04,-4.687765860258702228e-37
6.719973144531249432e+01,2.413344409941339848e+02,1.286091613769531250e+01,0.000000000000000000e+00,3.992021180486733309e-03,-4.700301979456117546e-36,5.018029785156258527e+00,1.802220907287491514e+01,9.591259002685532664e-01,0.000000000000000000e+00,2.987603820756752626e-04,-3.514200054855731199e-37
7.221776123046875284e+01,2.593566500670088999e+02,1.382004203796386577e+01,0.000000000000000000e+00,4.290781562562408571e-03,-5.051721984941690666e-36,5.009320068359372158e+00,1.798758367081097731e+01,9.592872619628920461e-01,0.000000000000000000e+00,2.986707801447240074e-04,-3.517431516376793188e-37
7.722708129882812500e+01,2.773442337378198772e+02,1.477932929992675781e+01,0.000000000000000000e+00,4.589452342707132579e-03,-5.403465136579369985e-36,4.991345214843747158e+00,1.791626439591368580e+01,9.609169006347642039e-01,0.000000000000000000e+00,2.985816025436712276e-04,-3.529312733692226619e-37
8.221842651367187216e+01,2.952604981337335630e+02,1.574024620056152202e+01,0.000000000000000000e+00,4.888033945250803806e-03,-5.756396409948592647e-36,4.960345458984377842e+00,1.780109061061801867e+01,9.543273925781257105e-01,0.000000000000000000e+00,2.984928487825156546e-04,-3.502674700087900630e-37
