Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.687923622131347612e+00,4.676149430193329515e+00,1.517066421508789098e+01,0.000000000000000000e+00,6.666447875155136660e-05,2.000000094994902611e-04
1.687923622131347612e+00,4.676149430193329515e+00,1.517066421508789098e+01,0.000000000000000000e+00,6.666447875155136660e-05,2.000000094994902611e-04,8.419830322265624556e-01,2.335837099097124003e+00,7.582361602783203480e+00,0.000000000000000000e+00,3.333057289245535239e-05,9.999999310821293700e-05
2.529906654357910067e+00,7.011986529290453518e+00,2.275302581787109446e+01,0.000000000000000000e+00,9.999505164400671899e-05,3.000000026077031981e-04,8.407278060913085938e-01,2.334456030756509648e+00,7.581248474121093039e+00,0.000000000000000000e+00,3.332946200261451561e-05,1.000000163912773241e-04
3.370634460449218661e+00,9.346442560046963166e+00,3.033427429199218750e+01,0.000000000000000000e+00,1.333245136466212346e-04,4.000000189989805222e-04,8.394725799560549540e-01,2.333076334893021908e+00,7.580139160156250000e+00,0.000000000000000000e+00,3.332835118637794171e-05,9.999996982514860414e-05
4.210107040405273615e+00,1.167951889493998507e+01,3.791441345214843750e+01,0.000000000000000000e+00,1.666528648329991763e-04,4.999999888241291263e-04,8.382175445556638849e-01,2.331694959341961138e+00,7.579025268554687500e+00,0.000000000000000000e+00,3.332724044440422929e-05,1.000000163912772699e-04
5.048324584960937500e+00,1.401121385428194621e+01,4.549343872070312500e+01,0.000000000000000000e+00,1.999801052774034056e-04,6.000000052154063962e-04,8.369625091552732599e-01,2.330316482414508172e+00,7.577914428710940342e+00,0.000000000000000000e+00,3.332611813782512377e-05,1.000000163912773783e-04
5.885287094116210760e+00,1.634153033669645438e+01,5.307135314941406534e+01,0.000000000000000000e+00,2.333062234152285294e-04,7.000000216066837744e-04,8.357082366943364704e-01,2.328936326420926406e+00,7.576806640624994316e+00,0.000000000000000000e+00,3.332503082141061970e-05,1.000000163912772699e-04
6.720995330810547230e+00,1.867046666311738079e+01,6.064815979003905966e+01,0.000000000000000000e+00,2.666312542366391491e-04,8.000000379979610443e-04,8.344535827636718750e-01,2.327556016108882631e+00,7.575695800781247158e+00,0.000000000000000000e+00,3.332389702479112261e-05,9.999992325901983000e-05
7.555448913574219105e+00,2.099802267922626342e+01,6.822385559082030682e+01,0.000000000000000000e+00,2.999551512614302717e-04,8.999999612569808743e-04,8.331993103027333092e-01,2.326177079604200060e+00,7.574584960937500000e+00,0.000000000000000000e+00,3.332280985485512386e-05,1.000000163912773783e-04
8.388648223876952414e+00,2.332419975883046348e+01,7.579844055175780682e+01,0.000000000000000000e+00,3.332779611162853955e-04,9.999999776482582526e-04,8.319450378417982961e-01,2.324797988717005381e+00,7.573477172851568184e+00,0.000000000000000000e+00,3.332167620780199409e-05,1.000000163912772699e-04
9.220593261718750711e+00,2.564899774754746886e+01,8.337191772460937500e+01,0.000000000000000000e+00,3.665996373240873896e-04,1.099999994039535522e-03,8.306915283203117895e-01,2.323417219129453315e+00,7.572369384765622158e+00,0.000000000000000000e+00,3.332058918431525431e-05,1.000000163912772699e-04
1.005128479003906250e+01,2.797241496667692218e+01,9.094428710937499716e+01,0.000000000000000000e+00,3.999202265084026440e-04,1.200000010430812792e-03,8.294380187988288355e-01,2.322042400950923735e+00,7.571261596679690342e+00,0.000000000000000000e+00,3.331945568657665880e-05,1.000000163912772699e-04
1.088072280883789134e+01,3.029445736762784591e+01,9.851554870605468750e+01,0.000000000000000000e+00,4.332396821949793028e-04,1.300000026822090062e-03,8.281845092773423289e-01,2.320661324112339940e+00,7.570156860351573869e+00,0.000000000000000000e+00,3.331834553766088421e-05,1.000000163912774867e-04
1.170890731811523366e+01,3.261511869174018585e+01,1.060857055664062614e+02,0.000000000000000000e+00,4.665580277326401870e-04,1.400000043213367549e-03,8.269309997558593750e-01,2.319283148679957662e+00,7.569049072265613631e+00,0.000000000000000000e+00,3.331728200531015567e-05,9.999992325901972158e-05
1.253583831787109304e+01,3.493440184042014351e+01,1.136547546386718750e+02,0.000000000000000000e+00,4.998753097379503426e-04,1.499999966472387270e-03,8.256790161132823158e-01,2.317904816905219434e+00,7.567944335937497158e+00,0.000000000000000000e+00,3.331612545952788908e-05,1.000001095235348181e-04
1.336151733398437536e+01,3.725230665732536295e+01,1.212226989746093722e+02,0.000000000000000000e+00,5.331914351974782317e-04,1.600000075995922089e-03,8.244262695312496447e-01,2.316526333450283914e+00,7.566839599609366473e+00,0.000000000000000000e+00,3.331501553251257474e-05,1.000000163912772699e-04
1.418594360351562500e+01,3.956883299077564686e+01,1.287895385742187386e+02,0.000000000000000000e+00,5.665064507299908065e-04,1.700000092387199358e-03,8.231719970703128553e-01,2.315147696797083654e+00,7.565734863281250000e+00,0.000000000000000000e+00,3.331390567922734493e-05,9.999983012676239014e-05
1.500911560058593786e+01,4.188398068757273052e+01,1.363552734374999886e+02,0.000000000000000000e+00,5.998203564092181514e-04,1.799999922513961749e-03,8.219223022460937500e-01,2.313771962692996453e+00,7.564630126953147737e+00,0.000000000000000000e+00,3.331284243627598025e-05,1.000000163912772699e-04
1.583103790283203161e+01,4.419775265026572697e+01,1.439199035644531364e+02,0.000000000000000000e+00,6.331331988454941316e-04,1.899999938905239018e-03,8.201843261718746447e-01,2.312044885573094177e+00,7.562683105468750000e+00,0.000000000000000000e+00,3.331168619293304808e-05,1.000000163912774867e-04
1.665122222900390625e+01,4.650979753583882115e+01,1.514825866699218864e+02,0.000000000000000000e+00,6.664448850384271797e-04,1.999999955296516505e-03,8.170669555664069605e-01,2.309160196571404811e+00,7.558135986328125000e+00,0.000000000000000000e+00,3.331057656145975342e-05,1.000000163912770530e-04
1.746828918457031321e+01,4.881895773241022596e+01,1.590407226562500114e+02,0.000000000000000000e+00,6.997554615998869331e-04,2.099999971687793558e-03,8.151077270507798289e-01,2.307002054912821620e+00,7.555487060546852263e+00,0.000000000000000000e+00,3.330946700368694457e-05,1.000000163912774867e-04
1.828339691162109304e+01,5.112595978732304758e+01,1.665962097167968636e+02,0.000000000000000000e+00,7.330649286035738777e-04,2.199999988079071045e-03,8.127700805664055395e-01,2.304779548674943612e+00,7.552600097656238631e+00,0.000000000000000000e+00,3.330840405068387529e-05,1.000000163912774867e-04
1.909616699218749858e+01,5.343073933599799119e+01,1.741488098144531023e+02,0.000000000000000000e+00,7.663733326542577530e-04,2.300000004470348532e-03,8.112716674804687500e-01,2.302819461277913149e+00,7.550592041015647737e+00,0.000000000000000000e+00,3.330724810899493571e-05,1.000000163912770530e-04
1.990743865966796733e+01,5.573355879727590434e+01,1.816994018554687500e+02,0.000000000000000000e+00,7.996805807632526887e-04,2.400000020861625585e-03,8.099090576171903422e-01,2.301158486570827222e+00,7.549066162109369316e+00,0.000000000000000000e+00,3.330613877294526584e-05,1.000000163912774867e-04
2.071734771728515767e+01,5.803471728384673156e+01,1.892484680175781193e+02,0.000000000000000000e+00,8.329867195361979545e-04,2.500000037252903071e-03,8.078918457031250000e-01,2.298532139345432768e+00,7.545690917968755684e+00,0.000000000000000000e+00,3.330502951123229163e-05,1.000000163912770530e-04
2.152523956298828267e+01,6.033324942319216433e+01,1.967941589355468750e+02,0.000000000000000000e+00,8.662917490474302462e-04,2.600000053644180124e-03,8.043365478515625000e-01,2.293944522587864299e+00,7.538427734374977263e+00,0.000000000000000000e+00,3.330392032296122101e-05,1.000000163912774867e-04
2.232957611083984517e+01,6.262719394578002863e+01,2.043325866699218523e+02,0.000000000000000000e+00,8.995956693703914672e-04,2.700000070035457611e-03,8.009704589843735789e-01,2.290504964098978746e+00,7.533306884765636369e+00,0.000000000000000000e+00,3.330281120901188406e-05,1.000000163912774867e-04
2.313054656982421875e+01,6.491769890987900737e+01,2.118658935546874886e+02,0.000000000000000000e+00,9.328984805794033512e-04,2.800000086426735098e-03,7.976562499999992895e-01,2.286826779511301311e+00,7.527893066406250000e+00,0.000000000000000000e+00,3.330170216871142490e-05,9.999983012676239014e-05
