Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.586953395780804499e+01,6.450031986444666643e+01,4.602841377258300781e+00,5.998185879573076328e-04,8.995952041278224964e-04,-1.245759841327207820e-36
4.586953395780804499e+01,6.450031986444666643e+01,4.602841377258300781e+00,5.998185879573076328e-04,8.995952041278224964e-04,-1.245759841327207820e-36,4.072929960051739329e+01,5.726800490752626160e+01,4.072813606262206676e+00,5.328702166754256068e-04,7.989615236841068717e-04,-1.102030258684776778e-36
8.659883355832543828e+01,1.217683247719729280e+02,8.675654983520507457e+00,1.132688804632733240e-03,1.698556727811929368e-03,-2.347790100011984598e-36,4.068038882908780351e+01,5.720585132110350912e+01,4.055479431152344105e+00,5.325863242517376965e-04,7.983235079351838018e-04,-1.097344495986278190e-36
1.272792223874132418e+02,1.789741760930764372e+02,1.273113441467285156e+01,1.665275128884470936e-03,2.496880235747113170e-03,-3.445134595998262788e-36,4.051785527553185773e+01,5.710635551648553587e+01,4.028073883056642046e+00,5.323030128946764587e-04,7.976866958603391101e-04,-1.091275748112825454e-36
1.677970776629450995e+02,2.360805316095619730e+02,1.675920829772949361e+01,2.197578141779147395e-03,3.294566931607452280e-03,-4.536410344111088241e-36,3.522508791946381734e+01,4.974689492748487396e+01,3.520182037353514204e+00,4.655326544158837343e-04,6.974542488792810288e-04,-9.614260962639350866e-37
2.030221655824089169e+02,2.858274265370468470e+02,2.027939033508300781e+01,2.663110796195031129e-03,3.992021180486733309e-03,-5.497836440375023328e-36,4.437072913441505762e+01,6.223499744200393025e+01,4.412540054321290484e+00,5.982238996118938168e-04,8.960127647640704976e-04,-1.208755445615159764e-36
2.473928947168239745e+02,3.480624239790507772e+02,2.469193038940429830e+01,3.261334695806924946e-03,4.888033945250803806e-03,-6.706591885990183092e-36,3.289912136924797892e+01,4.540587655733287420e+01,2.790853881835936079e+00,4.650376337991739099e-04,6.963445205407804012e-04,-6.666585474004495957e-37
2.802920160860719534e+02,3.934683005363836514e+02,2.748278427124023438e+01,3.726372329606098856e-03,5.584378465791584208e-03,-7.373250433390632688e-36,3.990170705365795811e+01,5.481431639844328174e+01,3.705027770996096592e+00,5.975883590995153399e-04,8.945873950385839490e-04,-9.549146726004089515e-37
3.201937231397299115e+02,4.482826169348269332e+02,3.118781204223633097e+01,4.323960688705614196e-03,6.478965860830168157e-03,-8.328165105991041639e-36,2.985548428432798573e+01,4.138802330511242644e+01,2.848297119140625000e+00,4.645442206335876831e-04,6.952375794416383592e-04,-7.475696373185978344e-37
3.500492074240578972e+02,4.896706402399393596e+02,3.403610916137695597e+01,4.788504909339201879e-03,7.174203440271806516e-03,-9.075734743309639474e-36,3.384532226976722313e+01,4.695272841486649895e+01,3.224929809570312500e+00,5.306433568199537057e-04,7.939660315103786239e-04,-8.458542811942845133e-37
3.838945296938251204e+02,5.366233686548058586e+02,3.726103897094726847e+01,5.319148266159155584e-03,7.968169471782185140e-03,-9.921589024503923987e-36,3.697667373067815788e+01,5.217357793465976101e+01,3.514938354492187500e+00,5.966375760251873064e-04,8.924591140194518268e-04,-9.330474930214876655e-37
4.208712034245032783e+02,5.887969465894656196e+02,4.077597732543945597e+01,5.915785842184342891e-03,8.860628585801636967e-03,-1.085463651752541165e-35,3.201180918370044992e+01,4.595879756988699683e+01,2.982779693603511362e+00,5.300452979953469701e-04,7.926287256904314404e-04,-7.882481703417811106e-37
4.528830126082037282e+02,6.347557441593526164e+02,4.375875701904296733e+01,6.445831140179689861e-03,9.653257311492068407e-03,-1.164288468786719276e-35,3.033782794659305182e+01,4.536256348133213123e+01,2.593168640136724434e+00,5.297648687466868442e-04,7.920002256273910718e-04,-6.505201808662372063e-37
