Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.121691091071633650e+01,6.954868254735671940e+01,5.447938632965088068e+00,8.995952041278224964e-04,8.995952041278224964e-04,-1.337454283902818800e-36
6.121691091071633650e+01,6.954868254735671940e+01,5.447938632965088068e+00,8.995952041278224964e-04,8.995952041278224964e-04,-1.337454283902818800e-36,5.434808825277431765e+01,6.173888585464456469e+01,4.816508197784423295e+00,7.989615236841068717e-04,7.989615236841068717e-04,-1.181348289730508427e-36
1.155649991634906542e+02,1.312875684020012841e+02,1.026444683074951136e+01,1.698556727811929368e-03,1.698556727811929368e-03,-2.518802573633327227e-36,5.413982109428039280e+01,6.162348702508913334e+01,4.781756019592284801e+00,7.983235079351838018e-04,7.983235079351838018e-04,-1.173774157184878068e-36
1.697048202577710470e+02,1.929110554270904174e+02,1.504620285034179616e+01,2.496880235747113170e-03,2.496880235747113170e-03,-3.692576730818205295e-36,5.373758509469195133e+01,6.140347389699030600e+01,4.732467651367187500e+00,7.976866958603391101e-04,7.976866958603391101e-04,-1.164891942790847690e-36
2.234424053524629983e+02,2.543145293240807234e+02,1.977867050170898366e+01,3.294566931607452280e-03,3.294566931607452280e-03,-4.857468673609052985e-36,4.624584374461485936e+01,5.301487103917637000e+01,4.080099487304689632e+00,6.974542488792810288e-04,6.974542488792810288e-04,-1.013633714871977144e-36
2.696882490970778576e+02,3.073294003632570934e+02,2.385876998901367330e+01,3.992021180486733309e-03,3.992021180486733309e-03,-5.871102388481030129e-36,5.517906621549730062e+01,6.402665958694427673e+01,4.283570098876950283e+00,8.960127647640704976e-04,8.960127647640704976e-04,-9.241136211608694193e-37
3.248673153125751583e+02,3.713560599502013702e+02,2.814234008789062358e+01,4.888033945250803806e-03,4.888033945250803806e-03,-6.795216009641899548e-36,3.990482910559461516e+01,4.621934012157606730e+01,3.368573760986329546e+00,6.963445205407804012e-04,6.963445205407804012e-04,-7.977910263362962342e-37
3.647721444181697734e+02,4.175754000717774375e+02,3.151091384887695312e+01,5.584378465791584208e-03,5.584378465791584208e-03,-7.593007035978195783e-36,4.987228910177373109e+01,5.782040035272069645e+01,4.306665039062501421e+00,8.945873950385839490e-04,8.945873950385839490e-04,-1.047356857004893625e-36
4.146444335199435045e+02,4.753958004244981339e+02,3.581757888793945455e+01,6.478965860830168157e-03,6.478965860830168157e-03,-8.640363892983089408e-36,3.706356989574055660e+01,4.407359933752127290e+01,3.081238555908200283e+00,6.952375794416383592e-04,6.952375794416383592e-04,-7.349657894427650626e-37
4.517080034156840611e+02,5.194693997620194068e+02,3.889881744384765483e+01,7.174203440271806516e-03,7.174203440271806516e-03,-9.375329682425854470e-36,3.948808321593031678e+01,4.927481419958837705e+01,2.427070617675781250e+00,7.939660315103786239e-04,7.939660315103786239e-04,-3.834533744891824294e-37
