Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.865712626604003077e+01,5.427772524904113993e+01,7.160497741699219887e+01,8.995952041278224964e-04,5.998185879573076328e-04,8.999999612569808743e-04
5.865712626604003077e+01,5.427772524904113993e+01,7.160497741699219887e+01,8.995952041278224964e-04,5.998185879573076328e-04,8.999999612569808743e-04,5.190581693873732405e+01,4.805379883421727527e+01,6.324020080566404545e+01,7.989615236841068717e-04,5.328702166754256068e-04,8.000001311302184842e-04
1.105629432047773548e+02,1.023315240832584152e+02,1.348451782226562443e+02,1.698556727811929368e-03,1.132688804632733240e-03,1.700000092387199358e-03,5.133221604196131693e+01,4.760397494261945894e+01,6.235651855468748295e+01,7.983235079351838018e-04,5.325863242517376965e-04,7.999999448657037129e-04
1.618951592467386718e+02,1.499354990258778741e+02,1.972016967773437273e+02,2.496880235747113170e-03,1.665275128884470936e-03,2.500000037252903071e-03,4.975621760007507532e+01,4.635362778736072187e+01,6.028668212890625000e+01,7.976866958603391101e-04,5.323030128946764587e-04,7.999999448657034960e-04
2.116513768468137471e+02,1.962891268132385960e+02,2.574883789062499773e+02,3.294566931607452280e-03,2.197578141779147395e-03,3.299999982118606567e-03,4.017638387294832114e+01,3.826116486243378745e+01,4.806918945312503411e+01,6.974542488792810288e-04,4.655326544158837343e-04,6.999999284744264430e-04
2.518277607197620682e+02,2.345502916756723835e+02,3.055575683593750114e+02,3.992021180486733309e-03,2.663110796195031129e-03,3.999999910593033010e-03,4.219411715878146651e+01,4.160869494692360604e+01,4.826669921874997726e+01,8.207927324684269332e-04,5.479961991018043009e-04,8.244141936302185059e-04
2.940218778785435347e+02,2.761589866225959895e+02,3.538242675781249886e+02,4.812813912955160242e-03,3.211106995296835430e-03,4.824414104223251516e-03,3.414077227484233390e+01,3.864253017531882506e+01,4.036757812500002274e+01,8.666331021693054679e-04,5.787633613427525282e-04,8.711915463209150487e-04
3.281626501533858686e+02,3.148015167979148146e+02,3.941918457031250114e+02,5.679447015124465710e-03,3.789870356639587958e-03,5.695605650544166565e-03,-4.941293357691910160e+01,-7.443740602942739315e+00,-3.980993652343750000e+01,7.016157190482879766e-04,4.686817138583325611e-04,7.058594375848768407e-04
2.787497165764667670e+02,3.073577761949720752e+02,3.543819091796875114e+02,6.381062734172753687e-03,4.258552070497920519e-03,6.401465088129043406e-03,-8.347329040764773822e+01,-3.252318835358369142e+01,-6.842904052734377274e+01,8.039999127449331401e-04,5.372094912412415588e-04,8.094720542430877686e-04
1.952764261688190288e+02,2.748345878413883838e+02,2.859528686523437386e+02,7.185062646917686827e-03,4.795761561739162078e-03,7.210937142372131174e-03,-4.765386627875125214e+01,-1.195719463190431497e+01,-2.993823242187500000e+01,7.890258797108879590e-04,5.273430883416781526e-04,7.950291037559517951e-04
1.476225598900677767e+02,2.628773932094840688e+02,2.560146362304687386e+02,7.974088526628574786e-03,5.323104650080840231e-03,8.005966246128082969e-03,-2.644777977910882782e+01,1.257664812121959130e+00,-1.129354248046874432e+01,8.148142944922418668e-04,5.447235639726363821e-04,8.216723799705505371e-04
1.211747801109589489e+02,2.641350580216060280e+02,2.447210937499999943e+02,8.788902821120816652e-03,5.867828214053476613e-03,8.827638626098633506e-03,-1.793436431374962581e+01,5.430083476820357191e+00,-5.250085449218744316e+00,7.926855571033352560e-04,5.300714518907366501e-04,8.000001311302181589e-04
1.032404157972093230e+02,2.695651414984263852e+02,2.394710083007812500e+02,9.581588378224151908e-03,6.397899665944213263e-03,9.627638757228851665e-03,-1.450202593890487890e+01,5.023051289365355387e+00,-3.239611816406238631e+00,7.920577043676203105e-04,5.297902550411024217e-04,8.000001311302181589e-04
8.873838985830444415e+01,2.745881927877917406e+02,2.362313964843750114e+02,1.037364608259177222e-02,6.927689920985315684e-03,1.042763888835906982e-02,-8.716528704893860890e+00,8.973794144153714569e+00,1.016040039062488631e+00,7.914308454362705553e-04,5.295097259417911109e-04,8.000001311302181589e-04
8.002186115341058326e+01,2.835619869319454551e+02,2.372474365234375000e+02,1.116507692802804277e-02,7.457199646927106795e-03,1.122763901948928798e-02,-1.094689188381190093e+01,5.549406109388598907e+00,-2.121838378906261369e+00,7.908042417483461539e-04,5.292294937710405323e-04,7.999993860721595074e-04
6.907496926959868233e+01,2.891113930413340540e+02,2.351255981445312386e+02,1.195588116977638893e-02,7.986429140698147328e-03,1.202763840556144749e-02,-6.263962816339045503e+00,6.727272125633760425e+00,3.380737304687500000e-01,7.685827473911961000e-04,5.144900848454841968e-04,7.781259715557101858e-04
6.281100645325963683e+01,2.958386651669678145e+02,2.354636718749999886e+02,1.272446391716758503e-02,8.500919225543631524e-03,1.280576437711715768e-02,-5.380613693081969018e+00,6.813649190908051878e+00,5.555786132812841061e-01,7.895717841715204494e-04,5.286775606549408424e-04,7.999986410140991211e-04
5.743039276017766781e+01,3.026523143578758663e+02,2.360192504882812727e+02,1.351403570133910548e-02,9.029596786198572367e-03,1.360576301813125680e-02,-6.578082118156302727e+00,4.848269985219417322e+00,-8.534057617187613687e-01,7.851618799785027580e-04,5.258603238365942151e-04,7.961571216583245014e-04
5.085231064202136508e+01,3.075005843430952837e+02,2.351658447265625114e+02,1.429919758131760824e-02,9.555457110035166582e-03,1.440192013978958130e-02,-4.981546503947299698e+00,5.664990288818387398e+00,-2.566040039062613687e-01,7.914093322772767364e-04,5.301827709360933116e-04,8.031249046325690533e-04
4.587076413807406539e+01,3.131655746319136711e+02,2.349092407226562500e+02,1.509060691359488497e-02,1.008563988097125989e-02,1.520504504442215035e-02,-4.299959804551328091e+00,2.062893082687537571e+00,-9.186035156250227374e-01,8.153904472425876210e-04,5.463926460246935207e-04,8.281260728836038754e-04
4.157080433352273729e+01,3.152284677146012086e+02,2.339906372070312273e+02,1.590599736083747259e-02,1.063203252699595341e-02,1.603317111730575423e-02,-1.478105702216230810e+01,-5.057686567603701633e+01,-2.415716552734372158e+01,7.611493957656034759e-04,5.101794691318960184e-04,7.736474275589003136e-04
2.678974731136042919e+01,2.646516020385641923e+02,2.098334716796875057e+02,1.666714675660307607e-02,1.114221199612784943e-02,1.680681854486465454e-02,-1.393537789756000222e+01,-6.501245598749537180e+01,-2.155481567382813068e+01,7.816733270416403867e-04,5.240681892409986692e-04,7.951214909553520893e-04
1.285436941380042697e+01,1.996391460510688205e+02,1.882786560058593750e+02,1.744882008364471646e-02,1.166628018536884810e-02,1.760194003582000663e-02,-1.557877309278121913e+01,-2.407553471606558446e+02,-6.112940063476563068e+01,8.314057630838256330e-04,5.575600042051105654e-04,8.463919162750264957e-04
-2.724403678980793053e+00,-4.111620110958703833e+01,1.271492553710937443e+02,1.828022584672854209e-02,1.222384018957395867e-02,1.844833195209503313e-02,-7.479527044000189306e-02,-7.373025555951620902e+00,2.889758300781267053e+00,7.851989914114884672e-04,5.267135124019991371e-04,7.999986410140991211e-04
-2.799198949420794946e+00,-4.848922666553865923e+01,1.300390136718750114e+02,1.906542483814003056e-02,1.275055370197595780e-02,1.924833059310913225e-02,-2.269184425038384134e-02,-6.484080106644540820e+00,2.817462158203113631e+00,7.372027502192714243e-04,4.946399125671779168e-04,7.516697049140923237e-04
