Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.309944146589279157e+01,1.523340597312873790e+01,1.152489395141601491e+01,3.999200403183193276e-04,1.333245136466212346e-04,1.333334017544984763e-04
2.309944146589279157e+01,1.523340597312873790e+01,1.152489395141601491e+01,3.999200403183193276e-04,1.333245136466212346e-04,1.333334017544984763e-04,1.731620762921813039e+01,1.141807187734671025e+01,8.629656982421874289e+00,2.998350955465478107e-04,9.998170976860729477e-05,1.000000396743416840e-04
4.041564909511092196e+01,2.665147785047544815e+01,2.015455093383788920e+01,6.997551358648671383e-04,2.333062234152285294e-04,2.333334414288401604e-04,1.154073757279981294e+01,7.608900945292102591e+00,5.746852111816409092e+00,1.998400682629553581e-04,6.664892784620174231e-05,6.666670087724925172e-05
5.195638666791073490e+01,3.426037879576755074e+01,2.590140304565429830e+01,8.995952041278224964e-04,2.999551512614302717e-04,3.000001423060894121e-04,2.307332512853271567e+01,1.521024658788272177e+01,1.147870864868163920e+01,3.995605542795829281e-04,1.332845309335490311e-04,1.333334017544984492e-04
7.502971179644345057e+01,4.947062538365027251e+01,3.738011169433593750e+01,1.299155758407405424e-03,4.332396821949793028e-04,4.333335440605878613e-04,1.153257876462350850e+01,7.601347284848216646e+00,5.731863403320311079e+00,1.997203318511342647e-04,6.663562754297103988e-05,6.666672416031358458e-05
8.656229056106695907e+01,5.707197266849848916e+01,4.311197509765624858e+01,1.498876090258539689e-03,4.998753097379503426e-04,5.000002682209014459e-04,1.728978580785353358e+01,1.139640918569357098e+01,8.586579895019532671e+00,2.995057737740641768e-04,9.994504667126780876e-05,1.000000163912773783e-04
1.038520763689204927e+02,6.846838185419206013e+01,5.169855499267578125e+01,1.798381864032603866e-03,5.998203564092181514e-04,6.000002846121788242e-04,2.300192692058624289e+01,1.517514447861928772e+01,1.140590972900390909e+01,3.992016675598575055e-04,1.332445721943557263e-04,1.333334017544985034e-04
1.268540032895067355e+02,8.364352633281134786e+01,6.310446472167969034e+01,2.197583531592461371e-03,7.330649286035738777e-04,7.333336863666773276e-04,1.722678480178477400e+01,1.136840910096692880e+01,8.528887939453127842e+00,2.992967041546517985e-04,9.992179093262407684e-05,1.000000629574060440e-04
1.440807880912915095e+02,9.501193543377827666e+01,7.163335266113281818e+01,2.496880235747113170e-03,8.329867195361979545e-04,8.333337493240833716e-04,1.146312285951415788e+01,7.569697152700911147e+00,5.669140624999997158e+00,1.994813818423663704e-04,6.660894983419351264e-05,6.666667759418481044e-05
1.555439109508056674e+02,1.025816325864791878e+02,7.730249328613281534e+01,2.696361617589479540e-03,8.995956693703914672e-04,9.000004269182681821e-04,1.716173096880049798e+01,1.134080647603737191e+01,8.484906005859372158e+00,2.991472953544262875e-04,9.990519961912728512e-05,1.000001095235347097e-04
