Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.159787214518556198e+01,8.025815582275390270e+00,3.102211761474609375e+01,3.999200403183193276e-04,0.000000000000000000e+00,4.000000189989805222e-04
2.159787214518556198e+01,8.025815582275390270e+00,3.102211761474609375e+01,3.999200403183193276e-04,0.000000000000000000e+00,4.000000189989805222e-04,1.617950872446556332e+01,6.001737213134765270e+00,2.323643035888672159e+01,2.998350955465478107e-04,0.000000000000000000e+00,3.000000026077032523e-04
3.777738086965112529e+01,1.402755279541015554e+01,5.425854797363281534e+01,6.997551358648671383e-04,0.000000000000000000e+00,7.000000216066837744e-04,1.077782126408950347e+01,3.992834472656252132e+00,1.547744750976562500e+01,1.998400682629553581e-04,0.000000000000000000e+00,1.999999396502970999e-04
4.855520213374062877e+01,1.802038726806640767e+01,6.973599548339844034e+01,8.995952041278224964e-04,0.000000000000000000e+00,8.999999612569808743e-04,2.153496671091033221e+01,7.965635681152342329e+00,3.092230529785156534e+01,3.995605542795829281e-04,0.000000000000000000e+00,4.000000655651091879e-04
7.009016884465096098e+01,2.598602294921875000e+01,1.006583007812500057e+02,1.299155758407405424e-03,0.000000000000000000e+00,1.300000026822090062e-03,1.074398671904917535e+01,3.968026733398438921e+00,1.543210449218749147e+01,1.997203318511342647e-04,0.000000000000000000e+00,1.999999396502972083e-04
8.083415556370013633e+01,2.995404968261718892e+01,1.160904052734374972e+02,1.498876090258539689e-03,0.000000000000000000e+00,1.499999966472387270e-03,1.607252529672436481e+01,5.928030395507811079e+00,2.309863281250001421e+01,2.995057737740641768e-04,0.000000000000000000e+00,2.999999560415744781e-04
9.690668086042450113e+01,3.588208007812500000e+01,1.391890380859375114e+02,1.798381864032603866e-03,0.000000000000000000e+00,1.799999922513961749e-03,2.136362378904760817e+01,7.858694458007811079e+00,3.071252441406250000e+01,3.992016675598575055e-04,0.000000000000000000e+00,4.000000655651092963e-04
1.182703046494721093e+02,4.374077453613281108e+01,1.699015625000000114e+02,2.197583531592461371e-03,0.000000000000000000e+00,2.199999988079071045e-03,1.594311530790781717e+01,5.839575195312498579e+00,2.292679443359372726e+01,2.992967041546517985e-04,0.000000000000000000e+00,3.000000491738320264e-04
1.342134199573799265e+02,4.958034973144530966e+01,1.928283569335937386e+02,2.496880235747113170e-03,0.000000000000000000e+00,2.500000037252903071e-03,1.059128268090805136e+01,3.865585327148437500e+00,1.523302612304689774e+01,1.994813818423663704e-04,0.000000000000000000e+00,2.000000327825545397e-04
1.448047026382879778e+02,5.344593505859374716e+01,2.080613830566406364e+02,2.696361617589479540e-03,0.000000000000000000e+00,2.700000070035457611e-03,1.581914802236028095e+01,5.755053710937502842e+00,2.276677856445311932e+01,2.991472953544262875e-04,0.000000000000000000e+00,2.999998629093169299e-04
1.606238506606482588e+02,5.920098876953125000e+01,2.308281616210937557e+02,2.995508912943905828e-03,0.000000000000000000e+00,2.999999932944774541e-03,1.568862292385588830e+01,5.674926757812500000e+00,2.260306396484375568e+01,2.990580186635464523e-04,0.000000000000000000e+00,3.000000491738320264e-04
1.763124735845041471e+02,6.487591552734375000e+01,2.534312255859375114e+02,3.294566931607452280e-03,0.000000000000000000e+00,3.299999982118606567e-03,1.547385700599812708e+01,5.566979980468744316e+00,2.236539306640622726e+01,2.989684241066288724e-04,0.000000000000000000e+00,2.999998629093169299e-04
1.917863305905022742e+02,7.044289550781249432e+01,2.757966186523437386e+02,3.593535355714081152e-03,0.000000000000000000e+00,3.599999845027923497e-03,1.997222153907799225e+01,7.114746093750000000e+00,2.901520996093751137e+01,3.984858247726521564e-04,0.000000000000000000e+00,4.000000655651095131e-04
2.117585521295802664e+02,7.755764160156249432e+01,3.048118286132812500e+02,3.992021180486733309e-03,0.000000000000000000e+00,3.999999910593033010e-03,1.430525870407205957e+01,5.039691162109377842e+00,2.078312988281248863e+01,2.987603820756752626e-04,0.000000000000000000e+00,3.000002354383466893e-04
2.260638108336523260e+02,8.259733276367187216e+01,3.255949584960937386e+02,4.290781562562408571e-03,0.000000000000000000e+00,4.300000146031379700e-03,1.365383626320769395e+01,4.753979492187497158e+00,1.970562744140630684e+01,2.986707801447240074e-04,0.000000000000000000e+00,2.999998629093173635e-04
2.397176470968600199e+02,8.735131225585936932e+01,3.453005859375000455e+02,4.589452342707132579e-03,0.000000000000000000e+00,4.600000008940697063e-03,9.810599146175292162e+00,3.442706298828127842e+00,1.445833740234371589e+01,2.239447447657839929e-04,0.000000000000000000e+00,2.250000834465026855e-04
2.495282462430353121e+02,9.079401855468749716e+01,3.597589233398437614e+02,4.813397087472916572e-03,0.000000000000000000e+00,4.825000092387199749e-03,1.154450605764589000e+01,4.089111328125000000e+00,1.767176513671876137e+01,2.840382297169610770e-04,0.000000000000000000e+00,2.854492515325544530e-04
2.610727523006812021e+02,9.488312988281249716e+01,3.774306884765625227e+02,5.097435317189877649e-03,0.000000000000000000e+00,5.110449343919754202e-03,1.349826988258092797e+01,4.751062011718758527e+00,2.084218749999996589e+01,3.555821040341555425e-04,0.000000000000000000e+00,3.574628382921217137e-04
2.745710221832621301e+02,9.963419189453125568e+01,3.982728759765624886e+02,5.453017421224033191e-03,0.000000000000000000e+00,5.467912182211875916e-03,1.134780089409935044e+01,3.959399414062488631e+00,1.739016113281252274e+01,2.983242780323133031e-04,0.000000000000000000e+00,3.000002354383466893e-04
2.859188230773614805e+02,1.035935913085937443e+02,4.156630371093750114e+02,5.751341699256346494e-03,0.000000000000000000e+00,5.767912417650222605e-03,1.008639947476910947e+01,3.467297363281261369e+00,1.609868164062498863e+01,2.982349369168918116e-04,0.000000000000000000e+00,2.999998629093173635e-04
2.960052225521305900e+02,1.070608886718750057e+02,4.317617187500000000e+02,6.049576636173238306e-03,0.000000000000000000e+00,6.067912280559539968e-03,8.370641295717405228e+00,2.804577636718747158e+00,1.468947753906252274e+01,3.012517560055097063e-04,0.000000000000000000e+00,3.031253814697260421e-04
3.043758638478479952e+02,1.098654663085937528e+02,4.464511962890625227e+02,6.350828392178748012e-03,0.000000000000000000e+00,6.371037662029266010e-03,2.787413989303161088e+00,6.479003906249971578e-01,9.419433593750000000e+00,2.670128654468899992e-04,0.000000000000000000e+00,2.687498927116394043e-04
3.071632778371511563e+02,1.105133666992187500e+02,4.558706298828125227e+02,6.617841257625638011e-03,0.000000000000000000e+00,6.639787554740905415e-03,-3.069822052147571867e+00,-1.832629394531252842e+00,5.756884765624931788e+00,2.979766668851626873e-04,0.000000000000000000e+00,2.999998629093173635e-04
3.040934557850035844e+02,1.086807373046874972e+02,4.616275146484374545e+02,6.915817924510800699e-03,0.000000000000000000e+00,6.939787417650222778e-03,-2.285961504219079643e+01,-1.287669677734375284e+01,-1.561249999999995453e+01,2.978879032399925006e-04,0.000000000000000000e+00,2.999998629093173635e-04
2.812338407428127880e+02,9.580404052734374432e+01,4.460150146484375000e+02,7.213705827750793199e-03,0.000000000000000000e+00,7.239787280559540142e-03,-1.657001298380703247e+01,-1.121641845703123863e+01,-1.033117675781250000e+01,2.977991924620866995e-04,0.000000000000000000e+00,2.999998629093164962e-04
2.646638277590057555e+02,8.458762207031250568e+01,4.356838378906250000e+02,7.511505020212879899e-03,0.000000000000000000e+00,7.539787143468856638e-03,-2.042707742464000376e+01,-1.371919555664062784e+01,-1.390756835937497726e+01,2.783313221772255874e-04,0.000000000000000000e+00,2.804689109325410670e-04
2.442367503343657518e+02,7.086842651367187784e+01,4.217762695312500227e+02,7.789836342390105486e-03,0.000000000000000000e+00,7.820256054401397705e-03,-2.675964098124546808e+01,-1.739611206054687642e+01,-1.830870361328129547e+01,2.929782795002434242e-04,0.000000000000000000e+00,2.953127026557918894e-04
2.174771093531202837e+02,5.347231445312500142e+01,4.034675659179687273e+02,8.082814621890348911e-03,0.000000000000000000e+00,8.115568757057189594e-03,-2.871625946463646528e+01,-1.892721557617187500e+01,-1.829392089843747726e+01,3.683292622630989638e-04,0.000000000000000000e+00,3.713868558406826365e-04
1.887608498884838184e+02,3.454509887695312642e+01,3.851736450195312500e+02,8.451143884153447874e-03,0.000000000000000000e+00,8.486955612897872231e-03,-1.907300791375320159e+01,-1.249312438964843963e+01,-9.872973632812488631e+00,2.974309670806217498e-04,0.000000000000000000e+00,2.999998629093173635e-04
1.696878419747306168e+02,2.205197448730468679e+01,3.753006713867187614e+02,8.748574851234069624e-03,0.000000000000000000e+00,8.786955475807189594e-03,-1.360960606600536948e+01,-8.873629760742186789e+00,-7.065112304687488631e+00,2.230153690227082430e-04,0.000000000000000000e+00,2.250000834465026855e-04
