Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.218922846191577491e+01,6.136247637213648431e+01,4.852818145751953693e+01,2.999551512614302717e-04,8.995952041278224964e-04,5.999985150992870331e-04
3.218922846191577491e+01,6.136247637213648431e+01,4.852818145751953693e+01,2.999551512614302717e-04,8.995952041278224964e-04,5.999985150992870331e-04,2.853971469365819758e+01,5.444426606530224433e+01,4.296524505615234091e+01,2.665512994685605348e-04,7.989615236841068717e-04,5.333320237696169940e-04
6.072894315557397249e+01,1.158067424374387286e+02,9.149342651367187784e+01,5.665064507299908065e-04,1.698556727811929368e-03,1.133330538868904027e-03,2.841081771521669452e+01,5.429336288504428865e+01,4.269296264648436079e+01,2.664802688062071481e-04,7.983235079351838018e-04,5.333319306373596625e-04
8.913976087079066701e+01,1.701001053224830173e+02,1.341863891601562386e+02,8.329867195361979545e-04,2.496880235747113170e-03,1.666662469506263690e-03,2.811999139611160103e+01,5.391089385077060570e+01,4.209943847656251137e+01,2.664092759903087353e-04,7.976866958603391101e-04,5.333321169018747591e-04
1.172597522669022680e+02,2.240109991732536230e+02,1.762858276367187500e+02,1.099395995526506690e-03,3.294566931607452280e-03,2.199994586408138449e-03,2.413705858817780836e+01,4.642196496282039675e+01,3.597879638671872726e+01,2.330499215526967132e-04,6.974542488792810288e-04,4.666654393076894065e-04
1.413968108550800764e+02,2.704329641360740197e+02,2.122646240234374773e+02,1.332445917079203403e-03,3.992021180486733309e-03,2.666660025715827855e-03,2.961778762547291421e+01,5.664998884711701521e+01,4.338168945312503411e+01,2.995558032151005110e-04,8.960127647640704976e-04,5.999986082315445814e-04
1.710145984805529906e+02,3.270829529831910349e+02,2.556463134765625114e+02,1.632001720294303914e-03,4.888033945250803806e-03,3.266658633947372437e-03,2.160988582959157611e+01,4.087826426755816556e+01,3.032102050781253411e+01,2.329257523709289419e-04,6.963445205407804012e-04,4.666652530431747437e-04
1.926244843101445667e+02,3.679612172507492005e+02,2.859673339843750455e+02,1.864927472665232856e-03,5.584378465791584208e-03,3.733323886990547180e-03,2.643691578386184915e+01,5.014841687872501552e+01,3.583331298828119316e+01,2.993964545351288867e-04,8.945873950385839490e-04,5.999986082315441477e-04
2.190614000940064159e+02,4.181096341294742160e+02,3.218006469726562386e+02,2.164323927200361743e-03,6.478965860830168157e-03,4.333322495222091328e-03,1.939632046978422864e+01,3.807337658952025095e+01,2.556583251953128411e+01,2.328018082440224193e-04,6.952375794416383592e-04,4.666656255722049368e-04
2.384577205637906445e+02,4.561830107189944670e+02,3.473664794921875227e+02,2.397125735444384162e-03,7.174203440271806516e-03,4.799988120794296265e-03,2.109894749878145603e+01,4.272880403625123336e+01,2.738862304687495453e+01,2.659930488231941441e-04,7.939660315103786239e-04,5.333319306373594457e-04
