Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.863832855224609730e+00,2.546604171923363324e+01,3.118404846191406321e+01,0.000000000000000000e+00,3.999200403183193276e-04,4.000000189989805222e-04
7.863832855224609730e+00,2.546604171923363324e+01,3.118404846191406321e+01,0.000000000000000000e+00,3.999200403183193276e-04,4.000000189989805222e-04,5.880600738525389559e+00,1.907723834886679626e+01,2.335527343749999929e+01,0.000000000000000000e+00,2.998350955465478107e-04,3.000000026077032523e-04
1.374443359374999929e+01,4.454328006810042950e+01,5.453932189941406250e+01,0.000000000000000000e+00,6.997551358648671383e-04,7.000000216066837744e-04,3.912289428710938211e+00,1.270786393420008409e+01,1.555578308105468466e+01,0.000000000000000000e+00,1.998400682629553581e-04,1.999999396502970999e-04
1.765672302246093750e+01,5.725114400230051359e+01,7.009510498046874716e+01,0.000000000000000000e+00,8.995952041278224964e-04,8.999999612569808743e-04,7.805134582519531961e+00,2.539105738358023956e+01,3.107705688476562500e+01,0.000000000000000000e+00,3.995605542795829281e-04,4.000000655651091879e-04
2.546185760498046946e+01,8.264220138588075315e+01,1.011721618652343722e+02,0.000000000000000000e+00,1.299155758407405424e-03,1.300000026822090062e-03,3.892857360839844461e+00,1.268320194955104796e+01,1.552130126953125000e+01,0.000000000000000000e+00,1.997203318511342647e-04,1.999999396502972083e-04
2.935471496582031392e+01,9.532540333543180111e+01,1.166934631347656222e+02,0.000000000000000000e+00,1.498876090258539689e-03,1.499999966472387270e-03,5.819430541992183237e+00,1.900152416060819860e+01,2.324403686523437784e+01,0.000000000000000000e+00,2.995057737740641768e-04,2.999999560415744781e-04
3.517414550781249716e+01,1.143269274960399997e+02,1.399375000000000000e+02,0.000000000000000000e+00,1.798381864032603866e-03,1.799999922513961749e-03,7.710449218750000000e+00,2.526592842026830965e+01,3.088184204101563068e+01,0.000000000000000000e+00,3.992016675598575055e-04,4.000000655651092963e-04
4.288459472656249716e+01,1.395928559163083094e+02,1.708193420410156307e+02,0.000000000000000000e+00,2.197583531592461371e-03,2.199999988079071045e-03,5.736068725585937500e+00,1.888105180442431674e+01,2.305959472656249432e+01,0.000000000000000000e+00,2.992967041546517985e-04,3.000000491738320264e-04
4.862066345214843466e+01,1.584739077207326261e+02,1.938789367675781250e+02,0.000000000000000000e+00,2.496880235747113170e-03,2.500000037252903071e-03,3.791836547851566763e+00,1.254230560664200311e+01,1.530942993164063637e+01,0.000000000000000000e+00,1.994813818423663704e-04,2.000000327825545397e-04
5.241250000000000142e+01,1.710162133273746292e+02,2.091883666992187614e+02,0.000000000000000000e+00,2.696361617589479540e-03,2.700000070035457611e-03,5.642968750000001421e+00,1.874253449929460658e+01,2.287127685546875000e+01,0.000000000000000000e+00,2.991472953544262875e-04,2.999998629093169299e-04
