Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.683576660156250071e+01,5.631049715602344463e+01,4.770241546630859375e+01,0.000000000000000000e+00,8.995952041278224964e-04,5.999985150992870331e-04
1.683576660156250071e+01,5.631049715602344463e+01,4.770241546630859375e+01,0.000000000000000000e+00,8.995952041278224964e-04,5.999985150992870331e-04,1.490216064453125000e+01,4.996396683449118825e+01,4.227064056396484659e+01,0.000000000000000000e+00,7.989615236841068717e-04,5.333320237696169940e-04
3.173792724609375071e+01,1.062744639905146329e+02,8.997305603027344034e+01,0.000000000000000000e+00,1.698556727811929368e-03,1.133330538868904027e-03,1.482715759277343537e+01,4.985947754360761053e+01,4.211035461425778692e+01,0.000000000000000000e+00,7.983235079351838018e-04,5.333319306373596625e-04
4.656508483886718608e+01,1.561339415341222434e+02,1.320834106445312273e+02,0.000000000000000000e+00,2.496880235747113170e-03,1.666662469506263690e-03,1.467569274902344034e+01,4.959512393584392953e+01,4.173164672851564205e+01,0.000000000000000000e+00,7.976866958603391101e-04,5.333321169018747591e-04
6.124077758789062642e+01,2.057290654699661729e+02,1.738150573730468693e+02,0.000000000000000000e+00,3.294566931607452280e-03,2.199994586408138449e-03,1.262886352539062074e+01,4.301487591413300038e+01,3.605975952148438068e+01,0.000000000000000000e+00,6.974542488792810288e-04,4.666654393076894065e-04
7.386964111328124716e+01,2.487439413840991733e+02,2.098748168945312500e+02,0.000000000000000000e+00,3.992021180486733309e-03,2.666660025715827855e-03,1.558593750000000000e+01,5.367040942694472960e+01,4.486054687500001137e+01,0.000000000000000000e+00,8.960127647640704976e-04,5.999986082315445814e-04
8.945557861328124716e+01,3.024143508110439029e+02,2.547353637695312614e+02,0.000000000000000000e+00,4.888033945250803806e-03,3.266658633947372437e-03,1.127210083007813068e+01,3.862720485304680551e+01,3.223293457031246589e+01,0.000000000000000000e+00,6.963445205407804012e-04,4.666652530431747437e-04
1.007276794433593778e+02,3.410415556640907084e+02,2.869682983398437273e+02,0.000000000000000000e+00,5.584378465791584208e-03,3.733323886990547180e-03,1.244185180664062784e+01,4.131631368089358602e+01,3.447410888671879547e+01,0.000000000000000000e+00,8.138587798456001915e-04,5.458321422338483983e-04
1.131695312500000057e+02,3.823578693449842945e+02,3.214424072265625227e+02,0.000000000000000000e+00,6.398237245637184399e-03,4.279156029224395578e-03,1.144813232421874716e+01,3.882162548407353597e+01,3.160242919921870453e+01,0.000000000000000000e+00,7.790693655161402137e-04,5.229152739048004150e-04
1.246176635742187528e+02,4.211794948290578304e+02,3.530448364257812273e+02,0.000000000000000000e+00,7.177306611153324613e-03,4.802071303129195994e-03,1.111229248046875284e+01,3.981056224114252018e+01,3.129143066406254547e+01,0.000000000000000000e+00,7.916308318855385176e-04,5.317643284797673661e-04
1.357299560546875057e+02,4.609900570702003506e+02,3.843362670898437727e+02,0.000000000000000000e+00,7.968937443038863130e-03,5.333835631608963360e-03,1.063103027343748863e+01,4.057161462093381488e+01,2.985534667968750000e+01,0.000000000000000000e+00,8.325507336114992829e-04,5.597062408924102783e-04
1.463609863281249943e+02,5.015616716911341655e+02,4.141916137695312727e+02,0.000000000000000000e+00,8.801488176650362413e-03,5.893541872501373638e-03,-7.664923095703125000e+01,-1.653889697873003684e+02,-1.699105712890625455e+02,0.000000000000000000e+00,7.687327041492279106e-04,5.172163248062132054e-04
6.971175537109374432e+01,3.361727019038337971e+02,2.442810424804687273e+02,0.000000000000000000e+00,9.570220880799590324e-03,6.410758197307586843e-03,-1.835872192382812074e+01,-4.552193119527538556e+01,-2.654252929687498863e+01,0.000000000000000000e+00,8.459557436753008253e-04,5.696333944797517604e-04
5.135303344726562358e+01,2.906507707085584116e+02,2.177385131835937386e+02,0.000000000000000000e+00,1.041617662447489115e-02,6.980391591787338604e-03,-1.106847534179687642e+01,-3.674304395395992628e+01,-1.427913818359371589e+01,0.000000000000000000e+00,7.442172827049568090e-04,5.015254020690916234e-04
4.028455810546874716e+01,2.539077267545984853e+02,2.034593750000000227e+02,0.000000000000000000e+00,1.116039390717984796e-02,7.481916993856430227e-03,-7.907012939453125000e+00,-3.897703907578915050e+01,-9.151586914062534106e+00,0.000000000000000000e+00,7.760991614558440665e-04,5.234077572822569066e-04
3.237754516601562216e+01,2.149306876788093348e+02,1.943077880859374886e+02,0.000000000000000000e+00,1.193649306863569202e-02,8.005324751138687134e-03,-5.293560791015622158e+00,-4.254217056327783553e+01,-5.677709960937477263e+00,0.000000000000000000e+00,7.901954143329226188e-04,5.333319306373603130e-04
2.708398437500000000e+01,1.723885171155314993e+02,1.886300781250000114e+02,0.000000000000000000e+00,1.272668848296861464e-02,8.538656681776047447e-03,-6.423362731933593750e+00,-3.524618926354060022e+01,-3.754217529296880684e+00,0.000000000000000000e+00,7.895714985230641719e-04,5.333319306373585783e-04
2.066062164306640625e+01,1.371423278519908990e+02,1.848758605957031307e+02,0.000000000000000000e+00,1.351625998149167882e-02,9.071988612413406025e-03,-4.504808044433595171e+00,-1.401968154911020292e+01,1.674768066406244316e+00,0.000000000000000000e+00,7.889485671884934742e-04,5.333319306373603130e-04
1.615581359863281108e+01,1.231226463028806961e+02,1.865506286621093750e+02,0.000000000000000000e+00,1.430520854868017229e-02,9.605320543050766338e-03,-6.415312194824217329e+00,-8.017712034487686878e+00,1.443664550781250000e+00,0.000000000000000000e+00,7.883251502064942545e-04,5.333319306373585783e-04
