Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.571994573046892540e+01,2.372091127623767548e+01,2.191276321411132955e+01,3.999200403183193276e-04,2.666304395466368403e-04,2.666659886017441641e-04
2.571994573046892540e+01,2.372091127623767548e+01,2.191276321411132955e+01,3.999200403183193276e-04,2.666304395466368403e-04,2.666659886017441641e-04,1.927458077532435610e+01,1.777481760667208377e+01,1.640100631713867330e+01,2.998350955465478107e-04,1.999261918537624332e-04,1.999994972720742334e-04
4.499452650579328150e+01,4.149572888290975925e+01,3.831376953125000284e+01,6.997551358648671383e-04,4.665566314003992735e-04,4.666654858738183975e-04,1.284307012221695032e+01,1.184260250277935711e+01,1.091880645751952983e+01,1.998400682629553581e-04,1.332619565569083593e-04,1.333330292254686356e-04
5.783759662801023183e+01,5.333833138568911636e+01,4.923257598876953267e+01,8.995952041278224964e-04,5.998185879573076328e-04,5.999985150992870331e-04,2.567016944905581965e+01,2.366776577764515821e+01,2.180119171142577983e+01,3.995605542795829281e-04,2.664705556450082911e-04,2.666659653186798313e-04
8.350776607706605148e+01,7.700609716333427457e+01,7.103376770019531250e+01,1.299155758407405424e-03,8.662891436023159239e-04,8.666644804179668643e-04,1.281859934329317241e+01,1.182225403976283928e+01,1.087464904785156250e+01,1.997203318511342647e-04,1.332086550928203786e-04,1.333329826593399698e-04
9.632636542035922389e+01,8.882835120309711385e+01,8.190841674804687500e+01,1.498876090258539689e-03,9.994977986951363025e-04,9.999974630773068342e-04,1.918344916543301792e+01,1.770997356389224819e+01,1.625878601074218466e+01,2.995057737740641768e-04,1.997798105450208309e-04,1.999995671212672320e-04
1.155098145857922418e+02,1.065383247669893620e+02,9.816720275878905966e+01,1.798381864032603866e-03,1.199277609240157133e-03,1.199997030198574066e-03,2.551257099358500113e+01,2.356847836934990426e+01,2.158568420410156818e+01,3.992016675598575055e-04,2.663108865969469712e-04,2.666659653186797228e-04
1.410223855793772429e+02,1.301068031363392663e+02,1.197528869628906278e+02,2.197583531592461371e-03,1.465588495837104105e-03,1.466662995517253789e-03,1.905063935943240949e+01,1.761536960486751013e+01,1.607035522460937216e+01,2.992967041546517985e-04,1.996866330473668315e-04,1.999994739890099005e-04
1.600730249388096524e+02,1.477221727412067764e+02,1.358232421875000000e+02,2.496880235747113170e-03,1.665275128884470936e-03,1.666662469506263690e-03,1.265770502076480852e+01,1.170980849059219508e+01,1.065097045898437500e+01,1.994813818423663704e-04,1.331022728319778900e-04,1.333329826593398614e-04
1.727307299595744610e+02,1.594319812317989715e+02,1.464742126464843750e+02,2.696361617589479540e-03,1.798377401716448826e-03,1.799995452165603551e-03,1.888808577468526551e+01,1.749493249631649405e+01,1.586040039062498863e+01,2.991472953544262875e-04,1.996201972386880182e-04,1.999994739890101174e-04
1.916188157342597265e+02,1.769269137281154656e+02,1.623346130371093636e+02,2.995508912943905828e-03,1.997997598955136844e-03,1.999994926154613668e-03,1.870331108572227663e+01,1.736096943870668952e+01,1.564089965820312500e+01,2.990580186635464523e-04,1.995805428240105504e-04,1.999996602535247803e-04
2.103221268199820031e+02,1.942878831668221551e+02,1.779755126953124886e+02,3.294566931607452280e-03,2.197578141779147395e-03,2.199994586408138449e-03,1.840196393571494582e+01,1.715383434983613142e+01,1.531603393554689774e+01,2.989684241066288724e-04,1.995405325603931412e-04,1.999994739890096837e-04
2.287240907556969489e+02,2.114417175166582865e+02,1.932915466308593864e+02,3.593535355714081152e-03,2.397118674339540536e-03,2.399994060397148132e-03,2.394895658508357883e+01,2.244401374674899330e+01,1.977121582031247726e+01,3.984858247726521564e-04,2.659921218554905931e-04,2.666659653186797228e-04
2.526730473407805277e+02,2.338857312634072798e+02,2.130627624511718636e+02,3.992021180486733309e-03,2.663110796195031129e-03,2.666660025715827855e-03,1.717895455148496353e+01,1.638926584612062243e+01,1.389755249023437500e+01,2.987603820756752626e-04,1.994476708063667829e-04,1.999994739890101174e-04
2.698520018922654913e+02,2.502749971095279022e+02,2.269603149414062386e+02,4.290781562562408571e-03,2.862558467001397912e-03,2.866659499704837973e-03,1.669378902337069803e+01,1.610375367301358551e+01,1.338045654296877274e+01,2.986707801447240074e-04,1.994078993651665112e-04,1.999994739890096837e-04
2.865457909156361893e+02,2.663787507825414878e+02,2.403407714843750114e+02,4.589452342707132579e-03,3.061966366366564423e-03,3.066658973693847656e-03,1.627630984652762436e+01,1.586034319467211162e+01,1.301474609374997726e+01,2.985816025436712276e-04,1.993683294403605227e-04,1.999996602535247803e-04
3.028221007621638137e+02,2.822390939772135994e+02,2.533555175781249886e+02,4.888033945250803806e-03,3.261334695806924946e-03,3.266658633947372437e-03,1.553642079525315012e+01,1.537591196429224283e+01,1.209361572265623863e+01,2.984928487825156546e-04,1.993282183901552707e-04,1.999992877244950208e-04
3.183585215574169638e+02,2.976150059415058422e+02,2.654491333007812273e+02,5.186526794033319461e-03,3.460662914197080216e-03,3.466657921671867457e-03,1.017855980671373572e+01,1.003568003977431999e+01,7.707482910156272737e+00,1.989456216230922614e-04,1.328635328911630456e-04,1.333329826593396446e-04
3.285370813641306995e+02,3.076506859812801622e+02,2.731566162109375000e+02,5.385472415656411722e-03,3.593526447088243262e-03,3.599990904331207102e-03,2.009021565321666003e+01,1.975493426097642669e+01,1.493103027343750000e+01,3.977721741404019809e-04,2.656741193513400406e-04,2.666659653186801565e-04
3.486272970173473595e+02,3.274056202422565889e+02,2.880876464843750000e+02,5.783244589796813703e-03,3.859200566439583303e-03,3.866656869649887258e-03,9.689812407541410266e+00,9.668355257098482980e+00,7.139562988281227263e+00,1.988269544400183761e-04,1.328105958361808746e-04,1.333329826593400783e-04
3.583171094248887698e+02,3.370739754993550719e+02,2.952272094726562273e+02,5.982071544236832079e-03,3.992011162275764177e-03,3.999989852309227337e-03,1.371582248333061216e+01,1.446485956927364214e+01,1.026993408203122726e+01,3.056659320588833023e-04,2.041933337942822280e-04,2.050310373306269210e-04
3.720329319082193820e+02,3.515388350686287140e+02,3.054971435546874545e+02,6.287737476295715382e-03,4.196204496070046405e-03,4.205020889639854258e-03,1.548348159012010683e+01,1.763546062864406849e+01,1.168267822265625000e+01,3.875816863128508580e-04,2.589444492674440948e-04,2.600669860839842015e-04
3.875164134983394888e+02,3.691742956972727825e+02,3.171798217773437045e+02,6.675319162608566240e-03,4.455148945337490500e-03,4.465087875723838459e-03,4.662508494806218096e+00,1.128938054194071583e+01,4.349316406250068212e+00,2.979595428540815494e-04,1.990907939782050884e-04,1.999996602535247803e-04
3.921789219931457069e+02,3.804636762392134983e+02,3.215291381835937727e+02,6.973278705462647789e-03,4.654239739315695588e-03,4.665087535977363239e-03,-1.773215366858488551e+01,2.260486581874658896e+00,-1.307581787109376137e+01,2.978707894091825459e-04,1.990507939983610780e-04,1.999992877244954545e-04
3.744467683245608214e+02,3.827241628210881572e+02,3.084533203125000114e+02,7.271149494871830335e-03,4.853290533314056666e-03,4.865086823701858694e-03,-2.683371961012488782e+01,-5.123310046365020298e+00,-2.245968017578127274e+01,2.233450642817715395e-04,1.492621910536900617e-04,1.499995589256284886e-04
3.476130487144359336e+02,3.776008527747231369e+02,2.859936401367187386e+02,7.494494559153601874e-03,5.002552724367746728e-03,5.015086382627487183e-03,-5.924502005197899734e+01,-2.096276185590937757e+01,-5.356910400390626137e+01,2.977155979874196098e-04,1.989818515877751076e-04,1.999996602535247803e-04
2.883680286624569362e+02,3.566380909188137593e+02,2.324245361328124773e+02,7.792210157141021484e-03,5.201534575955521836e-03,5.215086042881011963e-03,-5.100333600727762473e+01,-1.824021389308040852e+01,-4.602253417968748295e+01,2.976269897897437094e-04,1.989422656872592149e-04,1.999996602535247803e-04
2.373646926551793115e+02,3.383978770257333508e+02,1.864020019531249943e+02,8.089837146930765194e-03,5.400476841642781051e-03,5.415085703134536743e-03,-3.335243185525956733e+01,-7.109447238620987264e+00,-2.844664916992186932e+01,3.502189454681718661e-04,2.341206549116153779e-04,2.354159951210021973e-04
2.040122607999197442e+02,3.312884297871123636e+02,1.579553527832031250e+02,8.440056092398937060e-03,5.634597496554396429e-03,5.650501698255538940e-03,-1.665936281914503070e+01,-1.363006672761457594e-02,-1.391607055664064774e+01,2.974342644613495873e-04,1.988557680225625998e-04,1.999992877244945871e-04
1.873528979807747135e+02,3.312747997203847490e+02,1.440392822265624773e+02,8.737490356860286647e-03,5.833453264576959028e-03,5.850500985980033528e-03,-1.043970924675002721e+01,1.124996024319386834e+00,-9.005267333984363631e+00,2.280508428160622075e-04,1.524813167707306238e-04,1.533851027488708496e-04
1.769131887340246863e+02,3.323997957447041358e+02,1.350340148925781136e+02,8.965541199676348855e-03,5.985934581347689652e-03,6.003886088728904377e-03,-9.996281119994847586e+00,3.573903458033214520e+00,-9.062030029296863631e+00,2.945932359756132934e-04,1.969906645144037585e-04,1.981928944587707520e-04
1.669169076140298387e+02,3.359736992027373503e+02,1.259719848632812500e+02,9.260134435651962148e-03,6.182925245862093411e-03,6.202078983187675129e-03,-7.091796255211761491e+00,6.303538556983085073e+00,-6.835839843749994316e+00,3.349251895412019842e-04,2.239839092277925298e-04,2.253983169794087846e-04
1.598251113588180772e+02,3.422772377597204354e+02,1.191361450195312557e+02,9.595059625193164132e-03,6.406909155089885941e-03,6.427477300167083914e-03,-5.600830574073484058e+00,5.982636150514906603e+00,-5.872302246093752842e+00,3.055039471593773426e-04,2.043292591193618737e-04,2.056635916233059275e-04
1.542242807847445931e+02,3.482598739102353420e+02,1.132638427734375028e+02,9.900563572352541475e-03,6.611238414209247814e-03,6.633140891790389841e-03,-4.481049543031019766e+00,6.368856409805744079e+00,-5.166091918945312500e+00,2.970002410204990867e-04,1.986620414302468773e-04,1.999996602535247803e-04
1.497432312417135734e+02,3.546287303200410861e+02,1.080977508544921903e+02,1.019756381337304056e-02,6.809900455639494692e-03,6.833140552043914621e-03,-3.553876912997878890e+00,6.979660023640008149e+00,-4.585916137695321027e+00,2.969120580668255238e-04,1.986218428078568785e-04,1.999989151954652614e-04
1.461893543287156945e+02,3.616083903436810942e+02,1.035118347167968693e+02,1.049447587143986609e-02,7.008522298447351570e-03,7.033139467239379883e-03,-2.663240073141167841e+00,7.280517150193873022e+00,-3.954010009765625000e+00,2.968239274632102770e-04,1.985831397130956993e-04,1.999996602535247803e-04
1.435261142555745266e+02,3.688889074938749673e+02,9.955782470703124432e+01,1.079129979890307636e-02,7.207105438160447269e-03,7.233139127492904663e-03,-1.992306150876999027e+00,7.585216331834828907e+00,-3.364520263671863631e+00,2.967358491621756994e-04,1.985437122792119841e-04,1.999996602535247803e-04
1.415338081046975276e+02,3.764741238257097962e+02,9.619330444335938068e+01,1.108803564806525206e-02,7.405649150439659253e-03,7.433138787746429443e-03,-1.592995727740628809e+00,7.723206040239915637e+00,-2.947427368164071027e+00,2.966485597419230014e-04,1.985043004983583562e-04,1.999996602535247803e-04
1.399408123769568988e+02,3.841973298659497118e+02,9.324587707519530966e+01,1.138468420780717506e-02,7.604153450938017610e-03,7.633138447999954224e-03,-8.853209882651071894e-01,7.768194284605499433e+00,-2.294601440429687500e+00,2.965598490652764790e-04,1.984649043612150138e-04,1.999996602535247803e-04
1.390554913886917916e+02,3.919655241505552112e+02,9.095127563476562216e+01,1.168124405687245154e-02,7.802618355299232623e-03,7.833138108253479004e-03,-6.524641854772426086e-01,7.669262242759145920e+00,-2.033242797851571027e+00,2.964719273943709071e-04,1.984247847379118010e-04,1.999989151954643940e-04
1.384030272032145490e+02,3.996347863933143572e+02,8.891803283691405113e+01,1.197771598426682245e-02,8.001043140037144424e-03,8.033137023448943398e-03,-5.231295305781031857e-01,6.640320698857351545e+00,-1.703363037109369316e+00,2.579458642377116528e-04,1.726562318758988884e-04,1.740582287311567833e-04
1.378798976726364458e+02,4.062751070921717087e+02,8.721466979980468182e+01,1.223566184850453410e-02,8.173699371913043313e-03,8.207195252180100181e-03,-5.376896754752920060e-01,7.172780015564569567e+00,-1.844067382812497158e+00,2.863517490257778270e-04,1.916867569834636992e-04,1.932784914970391010e-04
1.373422079971611538e+02,4.134478871077362783e+02,8.537060241699218466e+01,1.252201359753031193e-02,8.365386128896507012e-03,8.400473743677139282e-03,-2.554091357256140782e-01,7.309010022070594914e+00,-1.755618286132815342e+00,3.007781709319073266e-04,2.013640065195391321e-04,2.030760049819939350e-04
