Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.977233515150703003e+00,1.768942070007324174e+00,1.514351654052734375e+01,6.666447875155136660e-05,0.000000000000000000e+00,2.000000094994902611e-04
3.977233515150703003e+00,1.768942070007324174e+00,1.514351654052734375e+01,6.666447875155136660e-05,0.000000000000000000e+00,2.000000094994902611e-04,1.986434233949851969e+00,8.823966979980470970e-01,7.568968200683592329e+00,3.333057289245535239e-05,0.000000000000000000e+00,9.999999310821293700e-05
5.963667749100554971e+00,2.651338768005371271e+00,2.271248474121093608e+01,9.999505164400671899e-05,0.000000000000000000e+00,3.000000026077031981e-04,1.985171801614140641e+00,8.810628890991210049e-01,7.567915344238279829e+00,3.332946200261451561e-05,0.000000000000000000e+00,1.000000163912773241e-04
7.948839550714695612e+00,3.532401657104492276e+00,3.028040008544921591e+01,1.333245136466212346e-04,0.000000000000000000e+00,4.000000189989805222e-04,1.983909229813019870e+00,8.797286987304686612e-01,7.566857910156258527e+00,3.332835118637794171e-05,0.000000000000000000e+00,9.999996982514860414e-05
9.932748780527715482e+00,4.412130355834960938e+00,3.784725799560547443e+01,1.666528648329991763e-04,0.000000000000000000e+00,4.999999888241291263e-04,1.982646518546498982e+00,8.783950805664062500e-01,7.565805053710931816e+00,3.332724044440422929e-05,0.000000000000000000e+00,1.000000163912772699e-04
1.191539529907421446e+01,5.290525436401367188e+00,4.541306304931640625e+01,1.999801052774034056e-04,0.000000000000000000e+00,6.000000052154063962e-04,1.981384430770306793e+00,8.770614624023433947e-01,7.564750671386718750e+00,3.332611813782512377e-05,0.000000000000000000e+00,1.000000163912773783e-04
1.389677972984452126e+01,6.167586898803710582e+00,5.297781372070312500e+01,2.333062234152285294e-04,0.000000000000000000e+00,7.000000216066837744e-04,1.980121440947321787e+00,8.757282257080083454e-01,7.563699340820306816e+00,3.332503082141061970e-05,0.000000000000000000e+00,1.000000163912772699e-04
1.587690117079184304e+01,7.043315124511718928e+00,6.054151306152343182e+01,2.666312542366391491e-04,0.000000000000000000e+00,8.000000379979610443e-04,1.978858310965911471e+00,8.743949890136715197e-01,7.562643432617193184e+00,3.332389702479112261e-05,0.000000000000000000e+00,9.999992325901983000e-05
1.785575948175775451e+01,7.917710113525390447e+00,6.810415649414062500e+01,2.999551512614302717e-04,0.000000000000000000e+00,8.999999612569808743e-04,1.977598095079308393e+00,8.730621337890633882e-01,7.561590576171880684e+00,3.332280985485512386e-05,0.000000000000000000e+00,1.000000163912773783e-04
1.983335757683706291e+01,8.790772247314453836e+00,7.566574707031250568e+01,3.332779611162853955e-04,0.000000000000000000e+00,9.999999776482582526e-04,1.976334686278473640e+00,8.717292785644517039e-01,7.560543823242184658e+00,3.332167620780199409e-05,0.000000000000000000e+00,1.000000163912772699e-04
