Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.278715688211197232e+01,3.521179023236530270e+01,4.828719329833984375e+01,8.995952041278224964e-04,2.999551512614302717e-04,5.999985150992870331e-04
5.278715688211197232e+01,3.521179023236530270e+01,4.828719329833984375e+01,8.995952041278224964e-04,2.999551512614302717e-04,5.999985150992870331e-04,4.682268226464832139e+01,3.121653553099991996e+01,4.274006500244141193e+01,7.989615236841068717e-04,2.665512994685605348e-04,5.333320237696169940e-04
9.960983914676029372e+01,6.642832576336522266e+01,9.102725830078125568e+01,1.698556727811929368e-03,5.665064507299908065e-04,1.133330538868904027e-03,4.657603985647469358e+01,3.107654842775619386e+01,4.242983398437499432e+01,7.983235079351838018e-04,2.664802688062071481e-04,5.333319306373596625e-04
1.461858790032349873e+02,9.750487419112141652e+01,1.334570922851562500e+02,2.496880235747113170e-03,8.329867195361979545e-04,1.666662469506263690e-03,4.614490614348366648e+01,3.080202635824855406e+01,4.188316040039063637e+01,7.976866958603391101e-04,2.664092759903087353e-04,5.333321169018747591e-04
1.923307851467186538e+02,1.283069005493699706e+02,1.753402526855468864e+02,3.294566931607452280e-03,1.099395995526506690e-03,2.199994586408138449e-03,3.953546522325848400e+01,2.647151042878601857e+01,3.572926635742186363e+01,6.974542488792810288e-04,2.330499215526967132e-04,4.666654393076894065e-04
2.318662503699771378e+02,1.547784109781559891e+02,2.110695190429687500e+02,3.992021180486733309e-03,1.332445917079203403e-03,2.666660025715827855e-03,4.747310872770083279e+01,3.244453937408866295e+01,4.241131591796875000e+01,8.960127647640704976e-04,2.995558032151005110e-04,5.999986082315445814e-04
2.793393590976779706e+02,1.872229503522446521e+02,2.534808349609375000e+02,4.888033945250803806e-03,1.632001720294303914e-03,3.266658633947372437e-03,3.354154208891588951e+01,2.394508068289019320e+01,3.015744628906247726e+01,6.963445205407804012e-04,2.329257523709289419e-04,4.666652530431747437e-04
3.128809011865938601e+02,2.111680310351348453e+02,2.836382812499999773e+02,5.584378465791584208e-03,1.864927472665232856e-03,3.733323886990547180e-03,3.799132186883321083e+01,2.840698126618570996e+01,3.392329101562501137e+01,8.778021657346963755e-04,2.937770926584443425e-04,5.887355655431747437e-04
3.508722230554270709e+02,2.395750123013205553e+02,3.175615722656249886e+02,6.462180631526280583e-03,2.158704565323677198e-03,4.322059452533721924e-03,2.398432380726399060e+01,2.175003391952111542e+01,2.244099121093751137e+01,7.945313301395157818e-04,2.660562805077292155e-04,5.333319306373594457e-04
3.748565468626910615e+02,2.613250462208416707e+02,3.400025634765625000e+02,7.256711961665796365e-03,2.424760845831406414e-03,4.855391383171081369e-03,-2.567505787390655314e+01,1.861067138769953999e-01,-1.684573974609372726e+01,7.194986351601213859e-04,2.410525160411055266e-04,4.833322018384933472e-04
