Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.534658324938273211e+01,2.329348562019604074e+01,1.195393524169921839e+01,3.999200403183193276e-04,2.666304395466368403e-04,1.333334017544984763e-04
2.534658324938273211e+01,2.329348562019604074e+01,1.195393524169921839e+01,3.999200403183193276e-04,2.666304395466368403e-04,1.333334017544984763e-04,1.899924729936528678e+01,1.745941019759109381e+01,8.947325134277344105e+00,2.998350955465478107e-04,1.999261918537624332e-04,1.000000396743416840e-04
4.434583054874801888e+01,4.075289581778713455e+01,2.090126037597656250e+01,6.997551358648671383e-04,4.665566314003992735e-04,2.333334414288401604e-04,1.266186945331777736e+01,1.163485335495718687e+01,5.956801605224612217e+00,1.998400682629553581e-04,1.332619565569083593e-04,6.666670087724925172e-05
5.700770000206579624e+01,5.238774917274432141e+01,2.685806198120117472e+01,8.995952041278224964e-04,5.998185879573076328e-04,3.000001423060894121e-04,2.531341801344503750e+01,2.325828968179322942e+01,1.189422378540038494e+01,3.995605542795829281e-04,2.664705556450082911e-04,1.333334017544984492e-04
8.232111801551083374e+01,7.564603885453755083e+01,3.875228576660155966e+01,1.299155758407405424e-03,8.662891436023159239e-04,4.333335440605878613e-04,1.265155364573844565e+01,1.162344302877987445e+01,5.937434387207034092e+00,1.997203318511342647e-04,1.332086550928203786e-04,6.666672416031358458e-05
9.497267166124927940e+01,8.726948188331742529e+01,4.468972015380859375e+01,1.498876090258539689e-03,9.994977986951363025e-04,5.000002682209014459e-04,1.895599386460666835e+01,1.742423699558879946e+01,8.885649108886717329e+00,2.995057737740641768e-04,1.997798105450208309e-04,1.000000163912773783e-04
1.139286655258559477e+02,1.046937188789062247e+02,5.357536926269531108e+01,1.798381864032603866e-03,1.199277609240157133e-03,6.000002846121788242e-04,2.521956201155141741e+01,2.320523657346922164e+01,1.179452819824218324e+01,3.992016675598575055e-04,2.663108865969469712e-04,1.333334017544985034e-04
1.391482275374073652e+02,1.278989554523754464e+02,6.536989746093749432e+01,2.197583531592461371e-03,1.465588495837104105e-03,7.333336863666773276e-04,1.887367407979283485e+01,1.738108011237812889e+01,8.805480957031250000e+00,2.992967041546517985e-04,1.996866330473668315e-04,1.000000629574060440e-04
1.580219016172002000e+02,1.452800355647535753e+02,7.417537841796874432e+01,2.496880235747113170e-03,1.665275128884470936e-03,8.333337493240833716e-04,1.255494502069063856e+01,1.157440183841453063e+01,5.852822875976556816e+00,1.994813818423663704e-04,1.331022728319778900e-04,6.666667759418481044e-05
1.705768466378908386e+02,1.568544374031681059e+02,8.002820129394530113e+01,2.696361617589479540e-03,1.798377401716448826e-03,9.000004269182681821e-04,1.877830143294599452e+01,1.733099357515754946e+01,8.731521606445312500e+00,2.991472953544262875e-04,1.996201972386880182e-04,1.000001095235347097e-04
1.893551480708368331e+02,1.741854309783256554e+02,8.875972290039061363e+01,2.995508912943905828e-03,1.997997598955136844e-03,1.000000536441802892e-03,1.871023959879474319e+01,1.728469447910785561e+01,8.651968383789068184e+00,2.990580186635464523e-04,1.995805428240105504e-04,1.000000163912774867e-04
2.080653876696315763e+02,1.914701254574335110e+02,9.741169128417968182e+01,3.294566931607452280e-03,2.197578141779147395e-03,1.100000552833080378e-03,1.860923721724122970e+01,1.722414484894196107e+01,8.560089111328125000e+00,2.989684241066288724e-04,1.995405325603931412e-04,1.000000163912772699e-04
2.266746248868728060e+02,2.086942703063754720e+02,1.059717803955078068e+02,3.593535355714081152e-03,2.397118674339540536e-03,1.200000569224357648e-03,2.453330800091319475e+01,2.279394691041125043e+01,1.115639953613282387e+01,3.984858247726521564e-04,2.659921218554905931e-04,1.333334483206271692e-04
2.512079328877860007e+02,2.314882172167867225e+02,1.171281799316406307e+02,3.992021180486733309e-03,2.663110796195031129e-03,1.333334017544984818e-03,1.802932755907761475e+01,1.687721991940864541e+01,8.051037597656232947e+00,2.987603820756752626e-04,1.994476708063667829e-04,1.000000163912772699e-04
2.692372604468636155e+02,2.483654371361953679e+02,1.251792175292968636e+02,4.290781562562408571e-03,2.862558467001397912e-03,1.433334033936262087e-03,1.752370028811043312e+01,1.660341235833115547e+01,7.681311035156284106e+00,2.986707801447240074e-04,1.994078993651665112e-04,1.000001095235348181e-04
2.867609607349740486e+02,2.649688494945265234e+02,1.328605285644531477e+02,4.589452342707132579e-03,3.061966366366564423e-03,1.533334143459796906e-03,1.699948012228492189e+01,1.637739594165867629e+01,7.424395751953113631e+00,2.985816025436712276e-04,1.993683294403605227e-04,1.000000163912772699e-04
3.037604408572589705e+02,2.813462454361851997e+02,1.402849243164062614e+02,4.888033945250803806e-03,3.261334695806924946e-03,1.633334159851074175e-03,1.659434507537105219e+01,1.613810895046964333e+01,7.126501464843727263e+00,2.984928487825156546e-04,1.993282183901552707e-04,1.000000163912772699e-04
3.203547859326300227e+02,2.974843543866548430e+02,1.474114257812499886e+02,5.186526794033319461e-03,3.460662914197080216e-03,1.733334176242351445e-03,1.084729271702821052e+01,1.058372236232685282e+01,4.532714843750000000e+00,1.989456216230922614e-04,1.328635328911630456e-04,6.666667759418491886e-05
3.312020786496582332e+02,3.080680767489816958e+02,1.519441406249999886e+02,5.385472415656411722e-03,3.593526447088243262e-03,1.800000853836536364e-03,2.140458650667727625e+01,2.083091768768497332e+01,8.764910888671863631e+00,3.977721741404019809e-04,2.656741193513400406e-04,1.333333551883698377e-04
