Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.773410858946088808e+01,1.707944641113281392e+01,4.734094238281250000e+01,8.995952041278224964e-04,0.000000000000000000e+00,5.999985150992870331e-04
4.773410858946088808e+01,1.707944641113281392e+01,4.734094238281250000e+01,8.995952041278224964e-04,0.000000000000000000e+00,5.999985150992870331e-04,4.235283082009298994e+01,1.511680908203124574e+01,4.195249633789063637e+01,7.989615236841068717e-04,0.000000000000000000e+00,5.333320237696169940e-04
9.008693940955387802e+01,3.219625549316405966e+01,8.929343872070313637e+01,1.698556727811929368e-03,0.000000000000000000e+00,1.133330538868904027e-03,4.215231917079958635e+01,1.501152038574218750e+01,4.172573242187496589e+01,7.983235079351838018e-04,0.000000000000000000e+00,5.333319306373596625e-04
1.322392585803534644e+02,4.720777587890624716e+01,1.310191711425781023e+02,2.496880235747113170e-03,0.000000000000000000e+00,1.666662469506263690e-03,4.186905357474660150e+01,1.484851684570313068e+01,4.139674682617189205e+01,7.976866958603391101e-04,0.000000000000000000e+00,5.333321169018747591e-04
1.741083121551000659e+02,6.205629272460937784e+01,1.724159179687499943e+02,3.294566931607452280e-03,0.000000000000000000e+00,2.199994586408138449e-03,3.620882835351480367e+01,1.277208862304686932e+01,3.576406249999999432e+01,6.974542488792810288e-04,0.000000000000000000e+00,4.666654393076894065e-04
2.103171405086148695e+02,7.482838134765624716e+01,2.081799804687499886e+02,3.992021180486733309e-03,0.000000000000000000e+00,2.666660025715827855e-03,4.480739157310813425e+01,1.570261230468750568e+01,4.416806640625000568e+01,8.960127647640704976e-04,0.000000000000000000e+00,5.999986082315445814e-04
2.551245320817230038e+02,9.053099365234375284e+01,2.523480468749999943e+02,4.888033945250803806e-03,0.000000000000000000e+00,3.266658633947372437e-03,3.122230208859119216e+01,1.110004882812499716e+01,3.122752685546876705e+01,6.963445205407804012e-04,0.000000000000000000e+00,4.666652530431747437e-04
2.863468341703141959e+02,1.016310424804687500e+02,2.835755737304687614e+02,5.584378465791584208e-03,0.000000000000000000e+00,3.733323886990547180e-03,3.555260515773147745e+01,1.317014160156250568e+01,3.698632812499994316e+01,8.945873950385839490e-04,0.000000000000000000e+00,5.999986082315441477e-04
3.218994393280456734e+02,1.148011840820312557e+02,3.205619018554687045e+02,6.478965860830168157e-03,0.000000000000000000e+00,4.333322495222091328e-03,2.561087373358151353e+01,9.554748535156250000e+00,2.724896240234375000e+01,7.138535014144312130e-04,0.000000000000000000e+00,4.791654646396636963e-04
3.475103130616271869e+02,1.243559326171875057e+02,3.478108642578124545e+02,7.192819362244599370e-03,0.000000000000000000e+00,4.812487959861755024e-03,1.513643625895423384e+01,5.720996093749988631e+00,2.046839599609381821e+01,7.980076006381129142e-04,0.000000000000000000e+00,5.360580980777740479e-04
