Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.155190937678818308e+01,7.618208042252793355e+00,5.765533256530761541e+00,1.999800121638574792e-04,6.666447875155136660e-05,6.666670087724923816e-05
1.155190937678818308e+01,7.618208042252793355e+00,5.765533256530761541e+00,1.999800121638574792e-04,6.666447875155136660e-05,6.666670087724923816e-05,5.774104434444728540e+00,3.807913093892572043e+00,2.880305290222168857e+00,9.997499944099476950e-05,3.333057289245535239e-05,3.333335043862462586e-05
1.732601381123291162e+01,1.142612113614536540e+01,8.645838546752930398e+00,2.999550116048522487e-04,9.999505164400671899e-05,1.000000513158738640e-04,5.773427654659879948e+00,3.807284836983372500e+00,2.879055404663084516e+00,9.996502871346707886e-05,3.332946200261451561e-05,3.333335043862461231e-05
2.309944146589279157e+01,1.523340597312873790e+01,1.152489395141601491e+01,3.999200403183193276e-04,1.333245136466212346e-04,1.333334017544984763e-04,5.772748034211947044e+00,3.806653439611887180e+00,2.877803039550782316e+00,9.995499016253158245e-05,3.332835118637794171e-05,3.333335043862462586e-05
2.887218950010473861e+01,1.904005941274062508e+01,1.440269699096679723e+01,4.998750304808509100e-04,1.666528648329991763e-04,1.666667521931231022e-04,5.772067866408839620e+00,3.806025006107546460e+00,2.876552581787107599e+00,9.994504669895497122e-05,3.332724044440422929e-05,3.333335043862462586e-05
3.464425736651357823e+01,2.284608441884817154e+01,1.727924957275390483e+01,5.998200771798058812e-04,1.999801052774034056e-04,2.000001026317477280e-04,5.771391728597343729e+00,3.805393431627276613e+00,2.875301361083984375e+00,9.993505868506125708e-05,3.332611813782512377e-05,3.333333879709243232e-05
4.041564909511092196e+01,2.665147785047544815e+01,2.015455093383788920e+01,6.997551358648671383e-04,2.333062234152285294e-04,2.333334414288401604e-04,5.770708933986412603e+00,3.804764822148172243e+00,2.874050903320316763e+00,9.992507266705201192e-05,3.332503082141061970e-05,3.333336208015679229e-05
4.618635802909733457e+01,3.045624267262362039e+01,2.302860183715820597e+01,7.996802085319191502e-04,2.666312542366391491e-04,2.666668035089969527e-04,5.770028638813400335e+00,3.804136123143930348e+00,2.872801208496092329e+00,9.991499559590334614e-05,3.332389702479112261e-05,3.333333879709245943e-05
5.195638666791073490e+01,3.426037879576755074e+01,2.590140304565429830e+01,8.995952041278224964e-04,2.999551512614302717e-04,3.000001423060894121e-04,5.769353913075669027e+00,3.803504284675135239e+00,2.871550750732417612e+00,9.990510662625400919e-05,3.332280985485512386e-05,3.333336208015679229e-05
5.772574058098640393e+01,3.806388308044268598e+01,2.877295379638671591e+01,9.995003107540765055e-04,3.332779611162853955e-04,3.333335043862462044e-04,5.768666415095516697e+00,3.802878461775520691e+00,2.870300292968753553e+00,9.989512659297180089e-05,3.332167620780199409e-05,3.333333879709245943e-05
