Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.111509979507953005e+01,3.329766025711741406e+01,3.513092660903930575e+00,8.995952041278224964e-04,2.999551512614302717e-04,-6.313335933243910880e-37
5.111509979507953005e+01,3.329766025711741406e+01,3.513092660903930575e+00,8.995952041278224964e-04,2.999551512614302717e-04,-6.313335933243910880e-37,4.540103683430558590e+01,2.956873611235040755e+01,3.111207437515258523e+00,7.989615236841068717e-04,2.665512994685605348e-04,-5.577439448444770210e-37
9.651613662938511595e+01,6.286639636946782161e+01,6.624300098419189098e+00,1.698556727811929368e-03,5.665064507299908065e-04,-1.189077538168868109e-36,4.530722754214478698e+01,2.952788709076965290e+01,3.097428035736085050e+00,7.983235079351838018e-04,2.664802688062071481e-04,-5.549390879016641071e-37
1.418233641715299029e+02,9.239428346023747451e+01,9.721728134155274148e+00,2.496880235747113170e-03,8.329867195361979545e-04,-1.744016626070532216e-36,4.510492236566591373e+01,2.945537544005883035e+01,3.074318313598631391e+00,7.976866958603391101e-04,2.664092759903087353e-04,-5.508892860140595418e-37
1.869282865371958167e+02,1.218496589002963049e+02,1.279604644775390554e+01,3.294566931607452280e-03,1.099395995526506690e-03,-2.294905912084591758e-36,3.925901529813077673e+01,2.569052508723675032e+01,2.669407463073731890e+00,6.974542488792810288e-04,2.330499215526967132e-04,-4.789723350008855697e-37
2.261873018353265934e+02,1.475401839875330552e+02,1.546545391082763743e+01,3.992021180486733309e-03,1.332445917079203403e-03,-2.773878247085477328e-36,4.993566578571079617e+01,3.282753255981984353e+01,3.374864387512207742e+00,8.960127647640704976e-04,2.995558032151005110e-04,-6.031161326791092106e-37
2.761229676210373896e+02,1.803677165473528987e+02,1.884031829833984517e+01,4.888033945250803806e-03,1.632001720294303914e-03,-3.376994379764586538e-36,3.698507739372058722e+01,2.499266756870659378e+01,2.426835632324216618e+00,6.963445205407804012e-04,2.329257523709289419e-04,-4.080549559662060328e-37
3.131080450147579768e+02,2.053603841160594925e+02,2.126715393066406179e+01,5.584378465791584208e-03,1.864927472665232856e-03,-3.785049335730792571e-36,4.519821448288632837e+01,3.146838381157999720e+01,2.685835266113283382e+00,8.945873950385839490e-04,2.993964545351288867e-04,-3.533494118626675502e-37
3.583062594976443052e+02,2.368287679276394897e+02,2.395298919677734517e+01,6.478965860830168157e-03,2.164323927200361743e-03,-4.138398747593460121e-36,3.317253637798023647e+01,2.399767018108707362e+01,2.002551269531245737e+00,6.952375794416383592e-04,2.328018082440224193e-04,-2.675911296629310061e-37
3.914787958756245416e+02,2.608264381087265633e+02,2.595554046630859091e+01,7.174203440271806516e-03,2.397125735444384162e-03,-4.405989877256391127e-36,3.602985248603766877e+01,2.690396384646328443e+01,2.522565460205079546e+00,7.939660315103786239e-04,2.659930488231941441e-04,-4.578705468852579126e-37
4.275086483616622104e+02,2.877304019551898477e+02,2.847810592651367045e+01,7.968169471782185140e-03,2.663118784267578306e-03,-4.863860424141649040e-36,3.768272751057480718e+01,2.895243014036014984e+01,2.822994232177737928e+00,8.924591140194518268e-04,2.991574242494237680e-04,-5.928555248849320151e-37
4.651913758722370176e+02,3.166828320955499976e+02,3.130110015869140838e+01,8.860628585801636967e-03,2.962276208517002074e-03,-5.456715949026581055e-36,3.101030711992609668e+01,2.453943210834194133e+01,1.771089553833004260e+00,7.926287256904314404e-04,2.658425995061427204e-04,-2.452266034751309699e-37
4.962016829921631142e+02,3.412222642038919389e+02,3.307218971252441264e+01,9.653257311492068407e-03,3.228118808023144794e-03,-5.701942552501712025e-36,2.374543774717915312e+01,2.059697205185955227e+01,-2.354222869873044743e+00,7.208695355991699000e-04,2.418971349095154488e-04,1.611964070257552770e-36
5.199471207393422674e+02,3.618192362557514912e+02,3.071796684265136790e+01,1.037412684709123831e-02,3.470015942932660243e-03,-4.089978482244159255e-36,-8.383797876774508495e+00,1.032128967139647102e+01,-2.284369392395019460e+01,7.914304650952566633e-04,2.657076728428556592e-04,1.087176527248850448e-35
5.115633228625677589e+02,3.721405259271479622e+02,7.874272918701172408e+00,1.116555731218649497e-02,3.735723615775515902e-03,6.781786790244345227e-36,-6.695826719040769603e+01,-1.172221540507189275e+01,-4.663746109008788920e+01,7.908045982114308980e-04,2.656370910289408867e-04,2.118983597154124995e-35
4.446050556721600628e+02,3.604183105220760694e+02,-3.876318817138671591e+01,1.195636191039792587e-02,4.001360706804456789e-03,2.797162276178559518e-35,-1.386100456558307883e+02,-3.994860247508268003e+01,-7.139831695556641478e+01,7.901797204227876265e-04,2.655669176467572584e-04,3.233722970152206290e-35
3.059950100163292745e+02,3.204697080469933894e+02,-1.101615051269531307e+02,1.274654163082071349e-02,4.266927624451214048e-03,6.030885246330765809e-35,-4.294452959840748463e+01,-2.774737320298982013e+00,-2.011970214843748295e+01,7.895558293856096144e-04,2.654960397384577980e-04,9.119572417400654440e-36
