Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.114226514313869743e+01,2.953382418757260908e+01,2.196700592041015909e+01,2.666304395466368403e-04,3.999200403183193276e-04,2.666659886017441641e-04
2.114226514313869743e+01,2.953382418757260908e+01,2.196700592041015909e+01,2.666304395466368403e-04,3.999200403183193276e-04,2.666659886017441641e-04,1.584191720009252080e+01,2.213196134027633022e+01,1.644087829589843608e+01,1.999261918537624332e-04,2.998350955465478107e-04,1.999994972720742334e-04
3.698418234323121823e+01,5.166578552784893930e+01,3.840788421630859517e+01,4.665566314003992735e-04,6.997551358648671383e-04,4.666654858738183975e-04,1.055486468216761153e+01,1.474629365598173081e+01,1.094516906738281392e+01,1.332619565569083593e-04,1.998400682629553581e-04,1.333330292254686356e-04
4.753904702539882976e+01,6.641207918383067010e+01,4.935305328369140909e+01,5.998185879573076328e-04,8.995952041278224964e-04,5.999985150992870331e-04,2.109433988563522178e+01,2.947257749476322886e+01,2.185338897705078409e+01,2.664705556450082911e-04,3.995605542795829281e-04,2.666659653186798313e-04
6.863338691103405154e+01,9.588465667859389896e+01,7.120644226074219318e+01,8.662891436023159239e-04,1.299155758407405424e-03,8.666644804179668643e-04,1.053905340344894626e+01,1.472607927961720975e+01,1.090768432617187500e+01,1.332086550928203786e-04,1.997203318511342647e-04,1.333329826593399698e-04
7.917244031448299779e+01,1.106107359582111087e+02,8.211412658691406818e+01,9.994977986951363025e-04,1.498876090258539689e-03,9.999974630773068342e-04,1.578091764604987191e+01,2.206720600418293543e+01,1.631556701660156250e+01,1.997798105450208309e-04,2.995057737740641768e-04,1.999995671212672320e-04
9.495335796053286970e+01,1.326779419623940441e+02,9.842969360351563068e+01,1.199277609240157133e-03,1.798381864032603866e-03,1.199997030198574066e-03,2.097513688468188775e+01,2.937034759866671152e+01,2.164967651367186363e+01,2.663108865969469712e-04,3.992016675598575055e-04,2.666659653186797228e-04
1.159284948452147574e+02,1.620482895610607557e+02,1.200793701171874943e+02,1.465588495837104105e-03,2.197583531592461371e-03,1.466662995517253789e-03,1.566527952607286522e+01,2.195824807395072753e+01,1.611250610351564205e+01,1.996866330473668315e-04,2.992967041546517985e-04,1.999994739890099005e-04
1.315937743712876227e+02,1.840065376350114832e+02,1.361918762207031364e+02,1.665275128884470936e-03,2.496880235747113170e-03,1.666662469506263690e-03,1.040873351922508050e+01,1.459961736177069724e+01,1.068129882812496589e+01,1.331022728319778900e-04,1.994813818423663704e-04,1.333329826593398614e-04
1.420025078905127032e+02,1.986061549967821804e+02,1.468731750488281023e+02,1.798377401716448826e-03,2.696361617589479540e-03,1.799995452165603551e-03,1.553798098459824928e+01,2.181193490547403258e+01,1.589592895507814774e+01,1.996201972386880182e-04,2.991472953544262875e-04,1.999994739890101174e-04
1.575404888751109524e+02,2.204180899022562130e+02,1.627691040039062500e+02,1.997997598955136844e-03,2.995508912943905828e-03,1.999994926154613668e-03,1.541390604513208018e+01,2.166499748844879036e+01,1.570606689453126137e+01,1.995805428240105504e-04,2.990580186635464523e-04,1.999996602535247803e-04
