Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.192685388805272950e+01,8.047242837748832756e+00,1.573179855346679723e+01,1.999800121638574792e-04,6.666447875155136660e-05,2.000000094994902611e-04
1.192685388805272950e+01,8.047242837748832756e+00,1.573179855346679723e+01,1.999800121638574792e-04,6.666447875155136660e-05,2.000000094994902611e-04,5.959922278680910068e+00,4.020601247266739620e+00,7.859246063232420809e+00,9.997499944099476950e-05,3.333057289245535239e-05,9.999999310821293700e-05
1.788677616673363957e+01,1.206784408501557238e+01,2.359104461669921804e+01,2.999550116048522487e-04,9.999505164400671899e-05,3.000000026077031981e-04,5.958074427591277811e+00,4.018721281888982588e+00,7.855644226074218750e+00,9.996502871346707886e-05,3.332946200261451561e-05,1.000000163912773241e-04
2.384485059432491738e+01,1.608656536690455496e+01,3.144668884277343679e+01,3.999200403183193276e-04,1.333245136466212346e-04,4.000000189989805222e-04,5.956224136787511725e+00,4.016839575610429591e+00,7.852041625976564632e+00,9.995499016253158245e-05,3.332835118637794171e-05,9.999996982514860414e-05
2.980107473111242911e+01,2.010340494251498455e+01,3.929873046875000142e+01,4.998750304808509100e-04,1.666528648329991763e-04,4.999999888241291263e-04,5.954374463409870089e+00,4.014959943687856025e+00,7.848440551757811079e+00,9.994504669895497122e-05,3.332724044440422929e-05,1.000000163912772699e-04
3.575544919452229919e+01,2.411836488620284058e+01,4.714717102050781250e+01,5.998200771798058812e-04,1.999801052774034056e-04,6.000000052154063962e-04,5.952528458355779151e+00,4.013078570511648735e+00,7.844842529296876421e+00,9.993505868506125708e-05,3.332611813782512377e-05,1.000000163912773783e-04
4.170797765287807835e+01,2.813144345671448932e+01,5.499201354980468892e+01,6.997551358648671383e-04,2.333062234152285294e-04,7.000000216066837744e-04,5.950675434868905711e+00,4.011204614902862176e+00,7.841244506835934658e+00,9.992507266705201192e-05,3.332503082141061970e-05,1.000000163912772699e-04
4.765865308774698406e+01,3.214264807161735149e+01,6.283325805664062358e+01,7.996802085319191502e-04,2.666312542366391491e-04,8.000000379979610443e-04,5.948827603537331754e+00,4.009322812126825397e+00,7.837646484375007105e+00,9.991499559590334614e-05,3.332389702479112261e-05,9.999992325901983000e-05
5.360748069128431581e+01,3.615197088374417689e+01,7.067090454101563068e+01,8.995952041278224964e-04,2.999551512614302717e-04,8.999999612569808743e-04,5.946978871594851057e+00,4.007446901646680715e+00,7.834057617187482947e+00,9.990510662625400919e-05,3.332280985485512386e-05,1.000000163912773783e-04
5.955445956287916687e+01,4.015941778539085760e+01,7.850496215820311363e+01,9.995003107540765055e-04,3.332779611162853955e-04,9.999999776482582526e-04,5.945135335412494726e+00,4.005567722280076737e+00,7.830459594726562500e+00,9.989512659297180089e-05,3.332167620780199409e-05,1.000000163912772699e-04
6.549959489829166159e+01,4.416498550767093434e+01,8.633542175292967613e+01,1.099395437347048306e-03,3.665996373240873896e-04,1.099999994039535522e-03,5.943284780187028105e+00,4.003694436294416903e+00,7.826873779296875000e+00,9.988514855340403092e-05,3.332058918431525431e-05,1.000000163912772699e-04
7.144287967847868970e+01,4.816867994396535124e+01,9.416229553222655113e+01,1.199280585900452337e-03,3.999202265084026440e-04,1.200000010430812792e-03,5.937998679917384948e+00,4.000462313523996727e+00,7.819595336914076711e+00,9.987517250695308706e-05,3.331945568657665880e-05,1.000000163912772699e-04
7.738087835839607465e+01,5.216914225748934797e+01,1.019818908691406278e+02,1.299155758407405424e-03,4.332396821949793028e-04,1.300000026822090062e-03,5.930907582699063596e+00,3.996588673836967587e+00,7.810919189453116473e+00,9.986519845280017980e-05,3.331834553766088421e-05,1.000000163912774867e-04
8.331178594109513824e+01,5.616573093132631556e+01,1.097928100585937443e+02,1.399020956860205604e-03,4.665580277326401870e-04,1.400000043213367549e-03,5.923722307870619375e+00,3.992598598351150940e+00,7.801843261718744316e+00,9.985513339833408490e-05,3.331728200531015567e-05,9.999992325901972158e-05
8.923550824896575762e+01,6.015832952967746650e+01,1.175946533203124886e+02,1.498876090258539689e-03,4.998753097379503426e-04,1.499999966472387270e-03,5.918551934035264139e+00,3.989414185786081646e+00,7.795227050781264211e+00,9.984534931301090703e-05,3.331612545952788908e-05,1.000001095235348181e-04
9.515406018300102176e+01,6.414774371546354814e+01,1.253898803710937528e+02,1.598721439571550596e-03,5.331914351974782317e-04,1.600000075995922089e-03,5.911679970973636955e+00,3.985111854692320321e+00,7.786071777343735789e+00,9.983528824037877190e-05,3.331501553251257474e-05,1.000000163912772699e-04
1.010657401539746587e+02,6.813285557015586846e+01,1.331759521484374886e+02,1.698556727811929368e-03,5.665064507299908065e-04,1.700000092387199358e-03,5.907618255720038292e+00,3.981999966714028005e+00,7.780004882812505684e+00,9.982513622067449785e-05,3.331390567922734493e-05,9.999983012676239014e-05
1.069733584096946970e+02,7.211485553686989647e+01,1.409559570312499943e+02,1.798381864032603866e-03,5.998203564092181514e-04,1.799999922513961749e-03,5.901463641527797677e+00,3.977544120891252533e+00,7.771557617187482947e+00,9.981535806883657692e-05,3.331284243627598025e-05,1.000000163912772699e-04
1.128748220512224947e+02,7.609239965776114900e+01,1.487275146484374773e+02,1.898197222101440443e-03,6.331331988454941316e-04,1.899999938905239018e-03,5.893392591916239098e+00,3.971512039532811400e+00,7.758642578125034106e+00,9.980539595727186408e-05,3.331168619293304808e-05,1.000000163912774867e-04
1.187682146431387338e+02,8.006391169729396040e+01,1.564861572265625114e+02,1.998002618058712307e-03,6.664448850384271797e-04,1.999999955296516505e-03,5.884438021796498219e+00,3.964153942242788276e+00,7.743133544921875000e+00,9.979543583449714331e-05,3.331057656145975342e-05,1.000000163912770530e-04
1.246526526649352320e+02,8.402806563953674868e+01,1.642292907714843864e+02,2.097798053893209450e-03,6.997554615998869331e-04,2.099999971687793558e-03,5.874354901871555512e+00,3.957033294903851584e+00,7.730084228515636369e+00,9.978547769925192115e-05,3.330946700368694457e-05,1.000000163912774867e-04
