Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.361262646100575147e+01,1.546493929335976958e+01,1.214137339591979892e+00,1.999800121638574792e-04,1.999800121638574792e-04,-2.982831981972642805e-37
1.361262646100575147e+01,1.546493929335976958e+01,1.214137339591979892e+00,1.999800121638574792e-04,1.999800121638574792e-04,-2.982831981972642805e-37,6.803239198684918776e+00,7.729765749577893530e+00,6.059217214584351474e-01,9.997499944099476950e-05,9.997499944099476950e-05,-1.487665443672525734e-37
2.041586565969067024e+01,2.319470504293766311e+01,1.820059061050415039e+00,2.999550116048522487e-04,2.999550116048522487e-04,-4.470497425645168539e-37,6.802368966070382328e+00,7.728593779671097508e+00,6.055588722229003906e-01,9.996502871346707886e-05,9.996502871346707886e-05,-1.486626913354644490e-37
2.721823462576105257e+01,3.092329882260876062e+01,2.425617933273315430e+00,3.999200403183193276e-04,3.999200403183193276e-04,-5.957124338999813028e-37,6.801488902911675183e+00,7.727422519427765479e+00,6.051938533782958984e-01,9.995499016253158245e-05,9.995499016253158245e-05,-1.485577979796966103e-37
3.401972352867272775e+01,3.865072134203652610e+01,3.030811786651611328e+00,4.998750304808509100e-04,4.998750304808509100e-04,-7.442702318796779132e-37,6.800612751447260962e+00,7.726248921266723357e+00,6.048287391662601209e-01,9.994504669895497122e-05,9.994504669895497122e-05,-1.484530122436506815e-37
4.082033628011998871e+01,4.637697026330324945e+01,3.635640525817871449e+00,5.998200771798058812e-04,5.998200771798058812e-04,-8.927232441233285947e-37,6.799735928549800690e+00,7.725077560740871263e+00,6.044637680053703832e-01,9.993505868506125708e-05,9.993505868506125708e-05,-1.483482623808453057e-37
4.762007220866978940e+01,5.410204782404412072e+01,4.240104293823241832e+00,6.997551358648671383e-04,6.997551358648671383e-04,-1.041071506504173900e-36,6.798861489685428694e+00,7.723905386311074039e+00,6.040994644165040839e-01,9.992507266705201192e-05,9.992507266705201192e-05,-1.482436560110029775e-37
5.441893369835521810e+01,6.182595321035519476e+01,4.844203758239745916e+00,7.996802085319191502e-04,7.996802085319191502e-04,-1.189315162515176878e-36,6.797977212361118404e+00,7.722729337001524641e+00,6.037348747253421521e-01,9.991499559590334614e-05,9.991499559590334614e-05,-1.481391213876419225e-37
6.121691091071633650e+01,6.954868254735671940e+01,5.447938632965088068e+00,8.995952041278224964e-04,8.995952041278224964e-04,-1.337454283902818800e-36,6.797104493038375495e+00,7.721564704335847296e+00,6.033709526062009942e-01,9.990510662625400919e-05,9.990510662625400919e-05,-1.480346585107621406e-37
6.801401540375471200e+01,7.727024725169256669e+01,6.051309585571289062e+00,9.995003107540765055e-04,9.995003107540765055e-04,-1.485488942413580941e-36,6.796218879857491402e+00,7.720387034300429718e+00,6.030069351196294392e-01,9.989512659297180089e-05,9.989512659297180089e-05,-1.479301956338825259e-37
7.481023428361220340e+01,8.499063428599299641e+01,6.654316520690918502e+00,1.099395437347048306e-03,1.099395437347048306e-03,-1.633419138047463467e-36,6.795344816359090601e+00,7.719220771125222313e+00,6.026430130004873931e-01,9.988514855340403092e-05,9.988514855340403092e-05,-1.478260197429281710e-37
