Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.702075316106932235e+01,1.384027896334918672e+01,3.107600555419922017e+01,2.666304395466368403e-04,1.333245136466212346e-04,4.000000189989805222e-04
1.702075316106932235e+01,1.384027896334918672e+01,3.107600555419922017e+01,2.666304395466368403e-04,1.333245136466212346e-04,4.000000189989805222e-04,1.274836634420118386e+01,1.036256553857469065e+01,2.327627105712890199e+01,1.999261918537624332e-04,9.998170976860729477e-05,3.000000026077032523e-04
2.976911950527050621e+01,2.420284450192387737e+01,5.435227661132812216e+01,4.665566314003992735e-04,2.333062234152285294e-04,7.000000216066837744e-04,8.491090865197040927e+00,6.900102362547322343e+00,1.550377807617188353e+01,1.332619565569083593e-04,6.664892784620174231e-05,1.999999396502970999e-04
3.826021037046754714e+01,3.110294686447119972e+01,6.985605468750000568e+01,5.998185879573076328e-04,2.999551512614302717e-04,8.999999612569808743e-04,1.696342031334776834e+01,1.378037355391838759e+01,3.097462768554686363e+01,2.664705556450082911e-04,1.332845309335490311e-04,4.000000655651091879e-04
5.522363068381531548e+01,4.488332041838958730e+01,1.008306823730468693e+02,8.662891436023159239e-04,4.332396821949793028e-04,1.300000026822090062e-03,8.469234230445820799e+00,6.878875884549678688e+00,1.546714477539063637e+01,1.332086550928203786e-04,6.663562754297103988e-05,1.999999396502972083e-04
6.369286491426113628e+01,5.176219630293926599e+01,1.162978271484375057e+02,9.994977986951363025e-04,4.998753097379503426e-04,1.499999966472387270e-03,1.267285211752044916e+01,1.029645823009366268e+01,2.315679321289061932e+01,1.997798105450208309e-04,9.994504667126780876e-05,2.999999560415744781e-04
7.636571703178158543e+01,6.205865453303292867e+01,1.394546203613281250e+02,1.199277609240157133e-03,5.998203564092181514e-04,1.799999922513961749e-03,1.683084764367082187e+01,1.368175376395003440e+01,3.078305053710937500e+01,2.663108865969469712e-04,1.332445721943557263e-04,4.000000655651092963e-04
9.319656467545240730e+01,7.574040829698296307e+01,1.702376708984375000e+02,1.465588495837104105e-03,7.330649286035738777e-04,2.199999988079071045e-03,1.256214537130875897e+01,1.020746758814671296e+01,2.298314819335939774e+01,1.996866330473668315e-04,9.992179093262407684e-05,3.000000491738320264e-04
1.057587100467611663e+02,8.594787588512967602e+01,1.932208190917968977e+02,1.665275128884470936e-03,8.329867195361979545e-04,2.500000037252903071e-03,8.341197711630897516e+00,6.776180697999407698e+00,1.526956787109372726e+01,1.331022728319778900e-04,6.660894983419351264e-05,2.000000327825545397e-04
1.140999077583920638e+02,9.272405658312908372e+01,2.084903869628906250e+02,1.798377401716448826e-03,8.995956693703914672e-04,2.700000070035457611e-03,1.245825690837027366e+01,1.011962679718078562e+01,2.282897338867186932e+01,1.996201972386880182e-04,9.990519961912728512e-05,2.999998629093169299e-04
1.265581646667623374e+02,1.028436833803098693e+02,2.313193603515624943e+02,1.997997598955136844e-03,9.995008689895187523e-04,2.999999932944774541e-03,1.237547974877429624e+01,1.004446853261578099e+01,2.270405273437498295e+01,1.995805428240105504e-04,9.989512653698793751e-05,3.000000491738320264e-04
1.389336444155366337e+02,1.128881519129256503e+02,2.540234130859374773e+02,2.197578141779147395e-03,1.099395995526506690e-03,3.299999982118606567e-03,1.225138911246241946e+01,9.948284192068285847e+00,2.253692626953125000e+01,1.995405325603931412e-04,9.988514849765305417e-05,2.999998629093169299e-04
1.511850335279990531e+02,1.228364361049939362e+02,2.765603393554687273e+02,2.397118674339540536e-03,1.199281144024159744e-03,3.599999845027923497e-03,1.601715937498923381e+01,1.302487891297036526e+01,2.962269287109381821e+01,2.659921218554905931e-04,1.331647730550436590e-04,4.000000655651095131e-04
1.672021929029882870e+02,1.358613150179643014e+02,3.061830322265625455e+02,2.663110796195031129e-03,1.332445917079203403e-03,3.999999910593033010e-03,1.154336420177247646e+01,9.445903829623659931e+00,2.152447509765625000e+01,1.994476708063667829e-04,9.986187414604452868e-05,3.000002354383466893e-04
1.787455571047607634e+02,1.453072188475879614e+02,3.277075073242187955e+02,2.862558467001397912e-03,1.432307791225247932e-03,4.300000146031379700e-03,1.118647390763993599e+01,9.200460715053935701e+00,2.093479003906247726e+01,1.994078993651665112e-04,9.985199573747552231e-05,2.999998629093173635e-04
1.899320310124006994e+02,1.545076795626418971e+02,3.486422973632812727e+02,3.061966366366564423e-03,1.532159786962723454e-03,4.600000008940697063e-03,8.125201150068420475e+00,6.746860629812715615e+00,1.504362792968743179e+01,1.495297876388797069e-04,7.488233803024948142e-05,2.250000834465026855e-04
1.980572321624691199e+02,1.612545401924546127e+02,3.636859252929687045e+02,3.211496154005444130e-03,1.607042124992972935e-03,4.825000092387199749e-03,1.028877144831253077e+01,8.551553670200377155e+00,1.886091308593756821e+01,1.931458778305942744e-04,9.673285922651023508e-05,2.906791865825647872e-04
2.083460036107816507e+02,1.698060938626549898e+02,3.825468383789062727e+02,3.404642031836038404e-03,1.703774984219483171e-03,5.115679278969764536e-03,9.768775982891469312e+00,8.260065674955683335e+00,1.781040039062497726e+01,1.972521781658325389e-04,9.879921708507680318e-05,2.969175577163694554e-04
2.181147795936731200e+02,1.780661595376106732e+02,4.003572387695312500e+02,3.601894210001870943e-03,1.802574201304559974e-03,5.412596836686133991e-03,1.012376579547841970e+01,8.605824415094190272e+00,1.877038574218750000e+01,2.086669784189159119e-04,1.045272020775724325e-04,3.141634166240695608e-04
2.282385453891515397e+02,1.866719839527048634e+02,4.191276245117187500e+02,3.810561188420786855e-03,1.907101403382132406e-03,5.726760253310203552e-03,8.661825836980597160e+00,7.617678563908270917e+00,1.628226318359372726e+01,1.925400720065475850e-04,9.645846238262936745e-05,2.899415791034701956e-04
2.369003712261321368e+02,1.942896625166131344e+02,4.354098876953124773e+02,4.003101260427334440e-03,2.003559865764761774e-03,6.016701832413673748e-03,8.227889132330176380e+00,7.215020864241637355e+00,1.499489746093752274e+01,1.910050322287380753e-04,9.569841461377990438e-05,2.876844257116316014e-04
2.451282603584623132e+02,2.015046833808547717e+02,4.504047851562500000e+02,4.194106292656072515e-03,2.099258280378541678e-03,6.304386258125305349e-03,8.084297614688949807e+00,7.037169575640888297e+00,1.424838867187497726e+01,1.965624399274190984e-04,9.849252126921045902e-05,2.961128950119016820e-04
2.532125579731512630e+02,2.085418529564956600e+02,4.646531738281249773e+02,4.390668732583491614e-03,2.197750801647752137e-03,6.600499153137207031e-03,7.231551410450947515e+00,6.948398513639233443e+00,1.483930664062501137e+01,1.993090665207697398e-04,9.987845858762389728e-05,3.003098070621492213e-04
2.604441093836022105e+02,2.154902514701348935e+02,4.794924804687499886e+02,4.589977799104261354e-03,2.297629260235376034e-03,6.900808960199356253e-03,6.296124799527603955e+00,6.691288443361372629e+00,1.453474121093751137e+01,2.068392780652647187e-04,1.036627042441426276e-04,3.117196261882776778e-04
2.667402341831298145e+02,2.221815399134962661e+02,4.940272216796875000e+02,4.796817077169526072e-03,2.401291964479518662e-03,7.212528586387633930e-03,4.117159445845572918e+00,5.574100064455393522e+00,1.235153808593747726e+01,1.932814253803160492e-04,9.687735094009424647e-05,2.913445234298712994e-04
2.708573936289753874e+02,2.277556399779516596e+02,5.063787597656249773e+02,4.990098502549842122e-03,2.498169315419612908e-03,7.503873109817505230e-03,-8.716436935675915265e-01,3.674091958785993484e+00,8.613940429687545475e+00,1.979725884082225718e-04,9.923853930780520208e-05,2.984747290611265355e-04
2.699857499354077959e+02,2.314297319367376531e+02,5.149927001953125227e+02,5.188071090958064693e-03,2.597407854727418110e-03,7.802347838878631765e-03,-3.876889792849547689e+01,-1.715676428200629289e+01,-3.309367675781254547e+01,1.977696296390036787e-04,9.914658479060183688e-05,2.982281148433676629e-04
2.312168520069123190e+02,2.142729676547313602e+02,4.818990234374999773e+02,5.385840720597068372e-03,2.696554439518019947e-03,8.100575953721999428e-03,-2.372347502423457399e+01,-1.120669415632852406e+01,-1.723764648437497726e+01,2.004026113313819163e-04,1.004763441861899163e-04,3.022581338882456697e-04
2.074933769826777450e+02,2.030662734984028361e+02,4.646613769531250000e+02,5.586243331928450288e-03,2.797030783704209864e-03,8.402834087610245098e-03,-2.322176387845428280e+01,-1.155729651541889780e+01,-1.599240722656247726e+01,1.976912770999175034e-04,9.912698154099144204e-05,2.982281148433685303e-04
1.842716131042234622e+02,1.915089769829839383e+02,4.486689697265625227e+02,5.783934609028367792e-03,2.896157765245201306e-03,8.701062202453613628e-03,-2.262039614633334850e+01,-1.116203149438504738e+01,-1.469440917968751137e+01,2.003228561429162835e-04,1.004562917821540634e-04,3.022581338882439350e-04
1.616512169578901137e+02,1.803469454885988910e+02,4.339745605468750114e+02,5.984257465171284075e-03,2.996614057027355369e-03,9.003320336341857563e-03,-1.884600456785602773e+01,-9.154988003043399658e+00,-1.060842285156252274e+01,1.991461213757253143e-04,9.987632305357742324e-05,3.005437552928928030e-04
1.428052123900340860e+02,1.711919574855554913e+02,4.233661376953124886e+02,6.183403586547009390e-03,3.096490380080932792e-03,9.303864091634750366e-03,-1.793495573086110539e+01,-8.415724612469517751e+00,-9.696484375000011369e+00,1.963783950499637526e-04,9.849795921423789430e-05,2.964243292808525776e-04
1.248702566591729806e+02,1.627762328730859736e+02,4.136696533203124773e+02,6.379781981596973142e-03,3.194988339295170687e-03,9.600288420915602944e-03,-1.627453819930013879e+01,-7.053363638504862365e+00,-7.681835937499954525e+00,2.010869363055483444e-04,1.008696145395658952e-04,3.035925328731536865e-04
1.085957184598728418e+02,1.557228692345811112e+02,4.059878173828125227e+02,6.580868917902521487e-03,3.295857953834736582e-03,9.903880953788756630e-03,-1.276743474613572005e+01,-5.030964841715473312e+00,-4.942639160156261369e+00,1.972472271096594246e-04,9.895336044965768324e-05,2.978540956974033010e-04
9.582828371373712173e+01,1.506919043928656379e+02,4.010451782226562614e+02,6.778116145012180911e-03,3.394811314284394265e-03,1.020173504948615993e-02,-1.234516842829101790e+01,-4.568920892281568058e+00,-4.582202148437488631e+00,1.982374996417823540e-04,9.945957890579058477e-05,2.994090318679809570e-04
8.348311528544610383e+01,1.461229835005840698e+02,3.964629760742187727e+02,6.976353644653963265e-03,3.494270893190184850e-03,1.050114408135414089e-02,-1.360190975304590211e+01,-4.616364345840338501e+00,-5.295227050781250000e+00,2.016135448980856462e-04,1.011638539503948060e-04,3.045685589313507080e-04
6.988120553240020172e+01,1.415066191547437313e+02,3.911677490234375227e+02,7.177967189552048911e-03,3.595434747140579656e-03,1.080571264028549160e-02,-1.015946572212209276e+01,-2.523116083289266953e+00,-3.130383300781261369e+00,1.992284333693283491e-04,9.997706044887052709e-05,3.010265529155738140e-04
5.972173981027810896e+01,1.389835030714544644e+02,3.880373657226562614e+02,7.377195622921377260e-03,3.695411807589450183e-03,1.110673919320106541e-02,-7.868460018016612878e+00,-1.238612058841198404e+00,-1.479882812499965894e+00,2.056329005883355404e-04,1.032009814966455830e-04,3.107659518718722952e-04
5.185327979226149608e+01,1.377448910126132660e+02,3.865574829101562955e+02,7.582828523509712801e-03,3.798612789086095766e-03,1.141750514507293771e-02,-7.286863018249071899e+00,-1.030117623061329368e+00,-1.614611816406295475e+00,1.897773477746340920e-04,9.525330632005005876e-05,2.868600189685818064e-04
4.456641677401242418e+01,1.367147733895519366e+02,3.849428710937500000e+02,7.772605871284346893e-03,3.893866095406145825e-03,1.170436516404151951e-02,-6.652823991929146530e+00,-5.078738484797042929e-01,-9.551879882812386313e-01,1.976465086583976266e-04,9.921256234531918017e-05,2.988137304782857023e-04
3.791359278208327765e+01,1.362068995410722323e+02,3.839876831054687614e+02,7.970252379942744519e-03,3.993078657751465005e-03,1.200317889451980521e-02,-7.690267276103654126e+00,-7.789881591735365873e-01,-1.762329101562500000e+00,2.119320735963301644e-04,1.063943066426783698e-04,3.204770386219038536e-04
3.022332550597962353e+01,1.354279113818986957e+02,3.822253540039062614e+02,8.182184453539074684e-03,4.099472964394143375e-03,1.232365593314170907e-02,-5.328193624257991701e+00,6.671765051277134262e-02,-3.774047851562727374e-01,2.000347841751154432e-04,1.004319415723884182e-04,3.025479614734635780e-04
