Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.248815081737935095e+01,1.143393398538185579e+01,9.981676816940308061e-01,1.999800121638574792e-04,1.333241062473146973e-04,-2.194993735152189859e-37
1.248815081737935095e+01,1.143393398538185579e+01,9.981676816940308061e-01,1.999800121638574792e-04,1.333241062473146973e-04,-2.194993735152189859e-37,6.241808831564737758e+00,5.715312735429616708e+00,4.982987642288205787e-01,9.997499944099476950e-05,6.665539379159600257e-05,-1.095059549920738025e-37
1.872995964894408871e+01,1.714924672081147250e+01,1.496466445922851385e+00,2.999550116048522487e-04,1.999795000389106999e-04,-3.290053285072927884e-37,6.241168302579950478e+00,5.714587918637413111e+00,4.980489253997804067e-01,9.996502871346707886e-05,6.665093950772614040e-05,-1.094326480247304663e-37
2.497112795152403919e+01,2.286383463944888561e+01,1.994515371322631792e+00,3.999200403183193276e-04,2.666304395466368403e-04,-4.384379765320232547e-37,6.240521099030640784e+00,5.713861279015496564e+00,4.977973461151121715e-01,9.995499016253158245e-05,6.664652073144885841e-05,-1.093587132756751962e-37
3.121164905055467997e+01,2.857769591846438217e+01,2.492312717437743963e+00,4.998750304808509100e-04,3.332769602780856987e-04,-5.477966898076984509e-37,6.239873330011622699e+00,5.713138920118364439e+00,4.975454330444337714e-01,9.994504669895497122e-05,6.664205599510791356e-05,-1.092848502731011992e-37
3.745152238056630267e+01,3.429083483858274661e+01,2.989858150482177734e+00,5.998200771798058812e-04,3.999190162731936123e-04,-6.570815400807996501e-37,6.239223464798428154e+00,5.712410158759404055e+00,4.972942352294920099e-01,9.993505868506125708e-05,6.663761512720566124e-05,-1.092109155240459291e-37
4.369074584536473083e+01,4.000324499734215067e+01,3.487152385711669744e+00,6.997551358648671383e-04,4.665566314003992735e-04,-7.662924556048455792e-37,6.238579139441121413e+00,5.711684152935099235e+00,4.970426559448242188e-01,9.992507266705201192e-05,6.663317485134360616e-05,-1.091371601411940090e-37
4.992932498480585224e+01,4.571492915027724990e+01,3.984195041656493963e+00,7.996802085319191502e-04,5.331898062517428797e-04,-8.754296157460395881e-37,6.237928133137202735e+00,5.710957852263625512e+00,4.967911720275877130e-01,9.991499559590334614e-05,6.662878170556475309e-05,-1.090634765048235291e-37
5.616725311794305497e+01,5.142588700254087541e+01,4.480986213684081676e+00,8.995952041278224964e-04,5.998185879573076328e-04,-9.844930922508631172e-37,6.237282677782623352e+00,5.710231249830748368e+00,4.965404510498050428e-01,9.990510662625400919e-05,6.662429607150047780e-05,-1.089897211219716090e-37
6.240453579572567833e+01,5.713611825237162378e+01,4.977526664733886719e+00,9.995003107540765055e-04,6.664428840288081106e-04,-1.093482813372834726e-36,6.236633595955481724e+00,5.709507406280849295e+00,4.962890625000007105e-01,9.989512659297180089e-05,6.661985757060564020e-05,-1.089161092320824024e-37
6.864116939168116005e+01,6.284562565865247308e+01,5.473815727233887429e+00,1.099395437347048306e-03,7.330627415994137508e-04,-1.202398922604917129e-36,6.235983946501278297e+00,5.708783266100859066e+00,4.960385322570788347e-01,9.988514855340403092e-05,6.661541966061226231e-05,-1.088424973421933628e-37
7.487715333818243835e+01,6.855440892475333214e+01,5.969854259490966264e+00,1.199280585900452337e-03,7.996781612600260131e-04,-1.311241419947110491e-36,6.235339840870224748e+00,5.708058829290806102e+00,4.957871437072753906e-01,9.987517250695308706e-05,6.661098234228991083e-05,-1.087689571987855964e-37
8.111249317905266309e+01,7.426246775404413825e+01,6.465641403198241655e+00,1.299155758407405424e-03,8.662891436023159239e-04,-1.420010377145896088e-36,6.234682945322077785e+00,5.707327986638404127e+00,4.955368041992196382e-01,9.986519845280017980e-05,6.660654561463244614e-05,-1.086956322948219837e-37
8.734717612437474088e+01,7.996979574068254237e+01,6.961178207397461293e+00,1.399020956860205604e-03,9.328956892169483700e-04,-1.528706009440718071e-36,6.234037696955297747e+00,5.706602955754405571e+00,4.952861785888664770e-01,9.985513339833408490e-05,6.660210947818793244e-05,-1.086220204049327770e-37
9.358121382133003863e+01,8.567639869643694794e+01,7.456464385986327770e+00,1.498876090258539689e-03,9.994977986951363025e-04,-1.637328029845650848e-36,6.233391908899605482e+00,5.705883738266336991e+00,4.950361251831054688e-01,9.984534931301090703e-05,6.659767393283775802e-05,-1.085486955009689973e-37
9.981460573022964411e+01,9.138228243470328493e+01,7.951500511169433238e+00,1.598721439571550596e-03,1.066095472627974061e-03,-1.745876725346619846e-36,6.231712281260030295e+00,5.704950369248209086e+00,4.947383880615241480e-01,9.983528824037877190e-05,6.659333200475917904e-05,-1.084852716114349514e-37
1.060463180114896744e+02,9.708723280395149402e+01,8.446238899230957387e+00,1.698556727811929368e-03,1.132688804632733240e-03,-1.854361996958054797e-36,6.228900583341825836e+00,5.703802765168859423e+00,4.943069458007798289e-01,9.982513622067449785e-05,6.658880460742389387e-05,-1.083876963967670857e-37
1.122752185948315002e+02,1.027910355691203534e+02,8.940545845031737215e+00,1.798381864032603866e-03,1.199277609240157133e-03,-1.962749693354821883e-36,6.226265050286158953e+00,5.702612010005637444e+00,4.939790725708022023e-01,9.981535806883657692e-05,6.658437083376296008e-05,-1.083391957753589139e-37
1.185014836451176592e+02,1.084936475791259909e+02,9.434524917602539418e+00,1.898197222101440443e-03,1.265861980073920093e-03,-2.071088889130180797e-36,6.224509000684960824e+00,5.701598103394331929e+00,4.935674667358398438e-01,9.980539595727186408e-05,6.657993765072441235e-05,-1.082203836022041119e-37
