Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.118104553222655895e+00,2.461300746567739850e+01,1.125870552062988317e+01,0.000000000000000000e+00,3.999200403183193276e-04,1.333334017544984763e-04
7.118104553222655895e+00,2.461300746567739850e+01,1.125870552062988317e+01,0.000000000000000000e+00,3.999200403183193276e-04,1.333334017544984763e-04,5.333200073242187145e+00,1.844996159683687154e+01,8.432247543334961293e+00,0.000000000000000000e+00,2.998350955465478107e-04,1.000000396743416840e-04
1.245130462646484304e+01,4.306296906251427004e+01,1.969095306396484446e+01,0.000000000000000000e+00,6.997551358648671383e-04,2.333334414288401604e-04,3.553054809570312500e+00,1.229579339628038781e+01,5.616608428955078836e+00,0.000000000000000000e+00,1.998400682629553581e-04,6.666670087724925172e-05
1.600435943603515554e+01,5.535876245879465785e+01,2.530756149291992330e+01,0.000000000000000000e+00,8.995952041278224964e-04,3.000001423060894121e-04,7.100323486328125711e+00,2.458156068421587293e+01,1.122149124145507670e+01,0.000000000000000000e+00,3.995605542795829281e-04,1.333334017544984492e-04
2.310468292236328125e+01,7.994032314301053077e+01,3.652905273437500000e+01,0.000000000000000000e+00,1.299155758407405424e-03,4.333335440605878613e-04,3.547273254394532671e+00,1.228576655421937858e+01,5.604887390136717329e+00,0.000000000000000000e+00,1.997203318511342647e-04,6.666672416031358458e-05
2.665195617675781392e+01,9.222608969722990935e+01,4.213394012451171733e+01,0.000000000000000000e+00,1.498876090258539689e-03,5.000002682209014459e-04,5.317300415039060368e+00,1.842239011110630997e+01,8.400015258789061079e+00,0.000000000000000000e+00,2.995057737740641768e-04,1.000000163912773783e-04
3.196925659179687429e+01,1.106484798083362193e+02,5.053395538330077841e+01,0.000000000000000000e+00,1.798381864032603866e-03,6.000002846121788242e-04,7.083001708984372868e+00,2.455150546837592174e+01,1.118638153076172159e+01,0.000000000000000000e+00,3.992016675598575055e-04,1.333334017544985034e-04
3.905225830078124716e+01,1.351999852767121411e+02,6.172033691406250000e+01,0.000000000000000000e+00,2.197583531592461371e-03,7.333336863666773276e-04,5.307208251953127842e+00,1.840487099120284142e+01,8.379565429687502842e+00,0.000000000000000000e+00,2.992967041546517985e-04,1.000000629574060440e-04
4.435946655273437500e+01,1.536048562679149825e+02,7.009990234375000284e+01,0.000000000000000000e+00,2.496880235747113170e-03,8.333337493240833716e-04,3.535739135742190342e+00,1.226575084450064423e+01,5.581518554687491473e+00,0.000000000000000000e+00,1.994813818423663704e-04,6.666667759418481044e-05
4.789520568847656534e+01,1.658706071124156267e+02,7.568142089843749432e+01,0.000000000000000000e+00,2.696361617589479540e-03,9.000004269182681821e-04,5.299282836914059658e+00,1.839136523854685379e+01,8.363070678710940342e+00,0.000000000000000000e+00,2.991472953544262875e-04,1.000001095235347097e-04
5.319448852539062500e+01,1.842619723509624805e+02,8.404449157714843466e+01,0.000000000000000000e+00,2.995508912943905828e-03,1.000000536441802892e-03,5.287255859375001421e+00,1.836673445450819031e+01,8.328802490234366473e+00,0.000000000000000000e+00,2.990580186635464523e-04,1.000000163912774867e-04
5.848174438476562642e+01,2.026287068054706708e+02,9.237329406738280113e+01,0.000000000000000000e+00,3.294566931607452280e-03,1.100000552833080378e-03,5.276483154296876421e+00,1.833639945923687264e+01,8.293771362304710237e+00,0.000000000000000000e+00,2.989684241066288724e-04,1.000000163912772699e-04
6.375822753906250284e+01,2.209651062647075435e+02,1.006670654296875114e+02,0.000000000000000000e+00,3.593535355714081152e-03,1.200000569224357648e-03,7.013824462890625000e+00,2.439050670172460400e+01,1.100177612304685226e+01,0.000000000000000000e+00,3.984858247726521564e-04,1.333334483206271692e-04
7.077205200195312784e+01,2.453556129664321475e+02,1.116688415527343636e+02,0.000000000000000000e+00,3.992021180486733309e-03,1.333334017544984818e-03,5.240234375000000000e+00,1.823559841711045237e+01,8.203424072265647737e+00,0.000000000000000000e+00,2.987603820756752626e-04,1.000000163912772699e-04
7.601228637695312784e+01,2.635912113835425998e+02,1.198722656250000114e+02,0.000000000000000000e+00,4.290781562562408571e-03,1.433334033936262087e-03,5.216607666015619316e+00,1.817596025470726318e+01,8.156536865234357947e+00,0.000000000000000000e+00,2.986707801447240074e-04,1.000001095235348181e-04
8.122889404296874716e+01,2.817671716382498630e+02,1.280288024902343693e+02,0.000000000000000000e+00,4.589452342707132579e-03,1.533334143459796906e-03,5.181048583984377842e+00,1.807933582839501696e+01,8.088885498046892053e+00,0.000000000000000000e+00,2.985816025436712276e-04,1.000000163912772699e-04
8.640994262695312500e+01,2.998465074666448800e+02,1.361176879882812614e+02,0.000000000000000000e+00,4.888033945250803806e-03,1.633334159851074175e-03,5.118859863281244316e+00,1.788535925672078974e+01,7.967291259765602263e+00,0.000000000000000000e+00,2.984928487825156546e-04,1.000000163912772699e-04
9.152880249023436932e+01,3.177318667233656697e+02,1.440849792480468636e+02,0.000000000000000000e+00,5.186526794033319461e-03,1.733334176242351445e-03,3.349005126953130684e+00,1.170376634499177726e+01,5.181951904296909106e+00,0.000000000000000000e+00,1.989456216230922614e-04,6.666667759418491886e-05
9.487780761718750000e+01,3.294356330683574470e+02,1.492669311523437727e+02,0.000000000000000000e+00,5.385472415656411722e-03,1.800000853836536364e-03,6.541149902343747158e+00,2.274256030582262156e+01,1.000205688476557953e+01,0.000000000000000000e+00,3.977721741404019809e-04,1.333333551883698377e-04
1.014189575195312472e+02,3.521781933741800685e+02,1.592689880371093523e+02,0.000000000000000000e+00,5.783244589796813703e-03,1.933334209024906202e-03,3.212536621093747158e+00,1.103066473169718620e+01,4.841058349609397737e+00,0.000000000000000000e+00,1.988269544400183761e-04,6.666686385869958174e-05
1.046314941406249943e+02,3.632088581058772547e+02,1.641100463867187500e+02,0.000000000000000000e+00,5.982071544236832079e-03,2.000001072883605784e-03,6.367211914062508527e+00,2.153769001814816875e+01,9.419055175781238631e+00,0.000000000000000000e+00,3.975357218527590664e-04,1.333333551883698377e-04
1.109987060546875028e+02,3.847465481240254235e+02,1.735291015624999886e+02,0.000000000000000000e+00,6.379607266089591146e-03,2.133334428071975621e-03,3.660559082031241473e+00,1.199708230275513188e+01,5.241320800781267053e+00,0.000000000000000000e+00,2.283944732722675494e-04,7.662754505872743788e-05
1.146592651367187443e+02,3.967436304267805554e+02,1.787704223632812557e+02,0.000000000000000000e+00,6.608001739361858695e-03,2.209961973130703059e-03,4.285815429687502842e+00,1.403683022419573945e+01,6.109686279296880684e+00,0.000000000000000000e+00,2.693690391760757835e-04,9.039733558893195062e-05
1.189450805664062472e+02,4.107804606509762948e+02,1.848801086425781364e+02,0.000000000000000000e+00,6.877370778537934479e-03,2.300359308719635010e-03,4.759973144531258527e+00,1.521306971574102818e+01,6.628753662109375000e+00,0.000000000000000000e+00,2.978993546940856413e-04,1.000000163912774867e-04
1.237050537109375057e+02,4.259935303667173230e+02,1.915088623046875114e+02,0.000000000000000000e+00,7.175270133232020120e-03,2.400359325110912496e-03,4.772973632812494316e+00,1.500026648449431832e+01,6.553778076171852263e+00,0.000000000000000000e+00,2.978106370965976149e-04,1.000000163912770530e-04
1.284780273437500000e+02,4.409937968512116413e+02,1.980626403808593636e+02,0.000000000000000000e+00,7.473080770328617735e-03,2.500359341502189549e-03,4.714294433593750000e+00,1.521240693665259869e+01,6.623431396484363631e+00,0.000000000000000000e+00,2.977227116166608276e-04,1.000000163912774867e-04
1.331923217773437500e+02,4.562062037878642400e+02,2.046860717773437273e+02,0.000000000000000000e+00,7.770803481945278562e-03,2.600359357893467036e-03,4.690551757812500000e+00,1.526273311534072263e+01,6.643103027343784106e+00,0.000000000000000000e+00,2.976333601141783330e-04,1.000000163912770530e-04
1.378828735351562500e+02,4.714689369032049626e+02,2.113291748046875114e+02,0.000000000000000000e+00,8.068436842059456895e-03,2.700359374284744089e-03,4.673181152343744316e+00,1.531088080917749039e+01,6.664050292968738631e+00,0.000000000000000000e+00,2.975448008544420708e-04,1.000000163912774867e-04
1.425560546874999943e+02,4.867798177123824530e+02,2.179932250976562500e+02,0.000000000000000000e+00,8.365981642913898966e-03,2.800359390676021576e-03,4.684460449218761369e+00,1.523888616311268152e+01,6.680871582031272737e+00,0.000000000000000000e+00,2.974562942801659698e-04,1.000002026557921496e-04
1.472405151367187557e+02,5.020187038754951345e+02,2.246740966796875227e+02,0.000000000000000000e+00,8.663437937194064936e-03,2.900359593331813726e-03,4.605249023437494316e+00,1.511420139759741232e+01,6.529187011718732947e+00,0.000000000000000000e+00,2.973678403434664580e-04,1.000000163912774867e-04
1.518457641601562500e+02,5.171329052730925468e+02,2.312032836914062557e+02,0.000000000000000000e+00,8.960805777537531394e-03,3.000359609723091212e-03,4.556823730468750000e+00,1.511955190733385734e+01,6.486560058593738631e+00,0.000000000000000000e+00,2.972794389982814228e-04,1.000000163912770530e-04
1.564025878906250000e+02,5.322524571804264042e+02,2.376898437499999943e+02,0.000000000000000000e+00,9.258085216535812817e-03,3.100359626114368265e-03,4.838720703125005684e+00,1.575188493239238596e+01,6.838281249999994316e+00,0.000000000000000000e+00,3.139731872098174698e-04,1.056475564837457484e-04
1.612413085937500057e+02,5.480043421128187902e+02,2.445281249999999886e+02,0.000000000000000000e+00,9.572058403745630287e-03,3.206007182598114014e-03,4.736193847656238631e+00,1.491354180292512410e+01,6.647460937500000000e+00,0.000000000000000000e+00,3.038186077831891985e-04,1.022625714540482435e-04
1.659775024414062443e+02,5.629178839157439143e+02,2.511755859374999886e+02,0.000000000000000000e+00,9.875877011528819485e-03,3.308269754052162257e-03,4.630371093750000000e+00,1.455204872901640556e+01,8.094250488281261369e+00,0.000000000000000000e+00,2.757063764234034264e-04,9.282715618610373406e-05
1.706078735351562443e+02,5.774699326447603198e+02,2.592698364257812500e+02,0.000000000000000000e+00,1.015158338795222291e-02,3.401096910238265991e-03,4.395837402343744316e+00,1.218806717828010733e+01,4.315954589843727263e+00,0.000000000000000000e+00,2.954606648196203555e-04,9.950660169124594598e-05
1.750037109374999886e+02,5.896579998230404271e+02,2.635857910156249773e+02,0.000000000000000000e+00,1.044704405277184327e-02,3.500603511929511937e-03,4.660339355468750000e+00,1.385689746247135190e+01,6.351367187500045475e+00,0.000000000000000000e+00,2.976303825906953526e-04,1.002669334411623696e-04
1.796640502929687386e+02,6.035148972855117790e+02,2.699371582031250227e+02,0.000000000000000000e+00,1.074467443536253862e-02,3.600870445370674307e-03,4.483105468750011369e+00,1.342385646771776919e+01,5.952380371093681788e+00,0.000000000000000000e+00,2.963237679638082434e-04,9.985640645027160645e-05
1.841471557617187500e+02,6.169387537532295482e+02,2.758895385742187045e+02,0.000000000000000000e+00,1.104099820332634686e-02,3.700726851820945913e-03,4.291735839843738631e+00,1.320935220793398912e+01,5.390600585937534106e+00,0.000000000000000000e+00,2.971413395333188934e-04,1.001615077257152903e-04
1.884388916015624886e+02,6.301481059611635374e+02,2.812801391601562386e+02,0.000000000000000000e+00,1.133813954285966576e-02,3.800888359546661203e-03,-4.097731933593749432e+01,-1.111587899647892073e+02,-1.007214660644531250e+02,0.000000000000000000e+00,2.941551795359771682e-04,9.918473660945918355e-05
1.474615722656249943e+02,5.189893159963743301e+02,1.805586730957031136e+02,0.000000000000000000e+00,1.163229472239564292e-02,3.900073096156120387e-03,-3.490701904296874147e+01,-1.292073266733178798e+02,-6.585802612304686932e+01,0.000000000000000000e+00,3.184874905125811839e-04,1.074217259883878013e-04
1.125545532226562528e+02,3.897819893230564503e+02,1.147006469726562443e+02,0.000000000000000000e+00,1.195078221290822411e-02,4.007494822144508188e-03,-6.930908203125056843e-01,5.567512652062305278e-01,-2.047845458984369316e+00,0.000000000000000000e+00,3.586856677338500637e-04,1.210208982229234523e-04
1.118614624023437472e+02,3.903387405882626808e+02,1.126528015136718750e+02,0.000000000000000000e+00,1.230946788064207417e-02,4.128515720367431641e-03,-7.023681640624914735e-01,1.702098658852833069e-01,-1.405194091796872158e+00,0.000000000000000000e+00,2.962864984633207383e-04,1.000002026557925833e-04
1.111590942382812557e+02,3.905089504541479641e+02,1.112476074218750028e+02,0.000000000000000000e+00,1.260575437910539491e-02,4.228515923023224224e-03,-8.694580078125113687e-01,1.419953162205786157e+00,-1.428747558593755684e+00,0.000000000000000000e+00,2.961972677614031074e-04,9.999983012676239014e-05
1.102896362304687443e+02,3.919289036163537503e+02,1.098188598632812472e+02,0.000000000000000000e+00,1.290195164686679802e-02,4.328515753149986614e-03,-3.540087890624988631e+00,-1.056405595854300827e+00,-4.973553466796872158e+00,0.000000000000000000e+00,2.961110314962413226e-04,1.000002026557917159e-04
1.067495483398437557e+02,3.908724980204994495e+02,1.048453063964843750e+02,0.000000000000000000e+00,1.319806267836303934e-02,4.428515955805778330e-03,-5.491613769531255684e+00,-5.896897152433439260e+00,-7.451962280273434658e+00,0.000000000000000000e+00,2.960219055653523501e-04,1.000002026557925833e-04
1.012579345703125000e+02,3.849756008680660102e+02,9.739334411621094034e+01,0.000000000000000000e+00,1.349408458392839169e-02,4.528516158461570913e-03,-4.389294433593747158e+00,-9.791751911448045576e-01,-5.511904907226565342e+00,0.000000000000000000e+00,2.959357722368931298e-04,9.999983012676239014e-05
9.686864013671875284e+01,3.839964256769212056e+02,9.188143920898437500e+01,0.000000000000000000e+00,1.379002035616528482e-02,4.628515988588333303e-03,-3.888464355468755684e+00,-6.933938997720474617e-01,-5.025662231445309658e+00,0.000000000000000000e+00,2.958482201645372400e-04,1.000002026557917159e-04
9.298017578124999716e+01,3.833030317771491582e+02,8.685577697753906534e+01,0.000000000000000000e+00,1.408586857632982206e-02,4.728516191244125019e-03,-3.913586425781247158e+00,-2.538893173782469148e+00,-5.290145874023437500e+00,0.000000000000000000e+00,2.957592510424451177e-04,9.999983012676239014e-05
8.906658935546875000e+01,3.807641386033666890e+02,8.156563110351562784e+01,0.000000000000000000e+00,1.438162782737226718e-02,4.828516021370887409e-03,-3.745007324218747158e+00,-3.441256849790647721e+00,-5.225836181640616473e+00,0.000000000000000000e+00,2.956732717755584244e-04,1.000002026557925833e-04
8.532158203125000284e+01,3.773228817535760413e+02,7.633979492187501137e+01,0.000000000000000000e+00,1.467730109914782560e-02,4.928516224026679993e-03,-4.058825683593752842e+00,-4.906286249420702461e+00,-5.745913696289079553e+00,0.000000000000000000e+00,2.955844069610757269e-04,1.000002026557925833e-04
8.126275634765625000e+01,3.724165955041553389e+02,7.059388122558593182e+01,0.000000000000000000e+00,1.497288550610890133e-02,5.028516426682472576e-03,-4.514471435546880684e+00,-7.999261237012490255e+00,-6.040237426757812500e+00,0.000000000000000000e+00,2.954985301738197179e-04,9.999983012676239014e-05
7.674828491210936932e+01,3.644173342671428486e+02,6.455364379882811932e+01,0.000000000000000000e+00,1.526838403628272105e-02,5.128516256809234966e-03,-4.648828124999994316e+00,-9.138987481305946403e+00,-6.803720092773431816e+00,0.000000000000000000e+00,2.954112365869763362e-04,1.000002026557917159e-04
7.209945678710937500e+01,3.552783467858369022e+02,5.774992370605468750e+01,0.000000000000000000e+00,1.556379527286969738e-02,5.228516459465026682e-03,-9.854803466796873579e+00,-2.206971617381805117e+01,-2.123106384277343750e+01,0.000000000000000000e+00,2.953225278891878636e-04,9.999983012676239014e-05
6.224465332031250142e+01,3.332086306120188510e+02,3.651885986328125000e+01,0.000000000000000000e+00,1.585911780075888525e-02,5.328516289591789072e-03,-2.326960754394531250e+01,-1.323161152983379338e+02,-7.221414642333984091e+01,0.000000000000000000e+00,2.342643857019335862e-04,7.934570312499982653e-05
3.897504577636718892e+01,2.008925153136809172e+02,-3.569528656005859091e+01,0.000000000000000000e+00,1.609338218646081883e-02,5.407861992716788899e-03,3.712768554687073674e-02,-3.951695874276680343e+00,-7.351855468750002842e+00,0.000000000000000000e+00,3.380661358380748771e-04,1.145362854003909719e-04
3.901217346191405966e+01,1.969408194394042368e+02,-4.304714202880859375e+01,0.000000000000000000e+00,1.643144832229889371e-02,5.522398278117179871e-03,4.064636230468750000e-01,-3.128242568089433462e+00,-6.754771423339846592e+00,0.000000000000000000e+00,2.950664393114241224e-04,9.999983012676239014e-05
3.941863708496093466e+01,1.938125768713148034e+02,-4.980191345214844034e+01,0.000000000000000000e+00,1.672651476161031783e-02,5.622398108243942261e-03,4.353759765625042633e-01,-1.684433790954756205e+00,-5.463677978515619316e+00,0.000000000000000000e+00,2.949808657560087921e-04,1.000002026557925833e-04
3.985401306152343892e+01,1.921281430803600472e+02,-5.526559143066405966e+01,0.000000000000000000e+00,1.702149562736632663e-02,5.722398310899734844e-03,5.968719482421889211e-01,-9.435499669679359158e-01,-4.958898925781255684e+00,0.000000000000000000e+00,2.948924131690768002e-04,1.000002026557917159e-04
4.045088500976562784e+01,1.911845931133921113e+02,-6.022449035644531534e+01,0.000000000000000000e+00,1.731638804053540343e-02,5.822398513555526560e-03,6.231903076171860789e-01,-1.479231126257957385e+00,-5.157501220703125000e+00,0.000000000000000000e+00,2.658289924437548524e-04,9.016916155815159206e-05
4.107407531738281392e+01,1.897053619871341539e+02,-6.538199157714844034e+01,0.000000000000000000e+00,1.758221703297915828e-02,5.912567675113678152e-03,6.801116943359346578e-01,-1.669427735943145308e+00,-5.460171508789059658e+00,0.000000000000000000e+00,2.664302101761106822e-04,9.039714932441728773e-05
