Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.136372477473561382e+01,7.402852499642888162e+00,7.822216153144836426e-01,1.999800121638574792e-04,6.666447875155136660e-05,-1.407453684644945444e-37
1.136372477473561382e+01,7.402852499642888162e+00,7.822216153144836426e-01,1.999800121638574792e-04,6.666447875155136660e-05,-1.407453684644945444e-37,5.680218967221657422e+00,3.700524420711380102e+00,3.906135678291320357e-01,9.997499944099476950e-05,3.333057289245535239e-05,-7.023059481004228074e-38
1.704394374195727124e+01,1.110337692035426826e+01,1.172835183143615678e+00,2.999550116048522487e-04,9.999505164400671899e-05,-2.109759632745368251e-37,5.679735601736002337e+00,3.700102657277936302e+00,3.904514789581299272e-01,9.996502871346707886e-05,3.332946200261451561e-05,-7.018197760060158057e-38
2.272367934369327358e+01,1.480347957763220457e+01,1.563286662101745605e+00,3.999200403183193276e-04,1.333245136466212346e-04,-2.811579408751384057e-37,5.679254039168171175e+00,3.699680063944343900e+00,3.902879238128660333e-01,9.995499016253158245e-05,3.332835118637794171e-05,-7.013295681720321750e-38
2.840293338286144476e+01,1.850315964157654847e+01,1.953574585914611639e+00,4.998750304808509100e-04,1.666528648329991763e-04,-3.512908976923416232e-37,5.678767413824981958e+00,3.699258166792976255e+00,3.901245355606079990e-01,9.994504669895497122e-05,3.332724044440422929e-05,-7.008404365352684775e-38
3.408170079668642671e+01,2.220241780836952472e+01,2.343699121475219638e+00,5.998200771798058812e-04,1.999801052774034056e-04,-4.213749413458684709e-37,5.678283355173029179e+00,3.698836202506619486e+00,3.899611473083495206e-01,9.993505868506125708e-05,3.332611813782512377e-05,-7.003507667998952311e-38
3.975998415185945589e+01,2.590125401087614421e+01,2.733660268783569158e+00,6.997551358648671383e-04,2.333062234152285294e-04,-4.914100180258579940e-37,5.677801865490707200e+00,3.698415698576908994e+00,3.897978305816653943e-01,9.992507266705201192e-05,3.332503082141061970e-05,-6.998621732617423355e-38
4.543778601735016309e+01,2.959966970945305320e+01,3.123458099365234553e+00,7.996802085319191502e-04,2.666312542366391491e-04,-5.613962353520322276e-37,5.677313777729366961e+00,3.697990547664360861e+00,3.896345615386960226e-01,9.991499559590334614e-05,3.332389702479112261e-05,-6.993735797235886047e-38
5.111509979507953005e+01,3.329766025711741406e+01,3.513092660903930575e+00,8.995952041278224964e-04,2.999551512614302717e-04,-6.313335933243910880e-37,5.676828267617182178e+00,3.697568383852171792e+00,3.894714355468749112e-01,9.990510662625400919e-05,3.332280985485512386e-05,-6.988846274530293431e-38
5.679192806269671223e+01,3.699522864096958585e+01,3.902564096450805486e+00,9.995003107540765055e-04,3.332779611162853955e-04,-7.012220560696940223e-37,5.676345323161825718e+00,3.697149204447164550e+00,3.893084049224855292e-01,9.989512659297180089e-05,3.332167620780199409e-05,-6.983974688445035821e-38
