Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.286357836590586423e+01,1.186375660710301361e+01,1.096354980468749929e+01,1.999800121638574792e-04,1.333241062473146973e-04,1.333329943008720821e-04
1.286357836590586423e+01,1.186375660710301361e+01,1.096354980468749929e+01,1.999800121638574792e-04,1.333241062473146973e-04,1.333329943008720821e-04,6.428848556599264796e+00,5.929304763653412635e+00,5.476126861572264914e+00,9.997499944099476950e-05,6.665539379159600257e-05,6.666650297120215135e-05
1.929242692250512903e+01,1.779306137075642624e+01,1.643967666625976420e+01,2.999550116048522487e-04,1.999795000389106999e-04,1.999994972720742334e-04,6.427518807963796377e+00,5.927849905481249237e+00,5.473086547851565342e+00,9.996502871346707886e-05,6.665093950772614040e-05,6.666649132966993071e-05
2.571994573046892540e+01,2.372091127623767548e+01,2.191276321411132955e+01,3.999200403183193276e-04,2.666304395466368403e-04,2.666659886017441641e-04,6.426191326667112236e+00,5.926394599224838800e+00,5.470043182373046875e+00,9.995499016253158245e-05,6.664652073144885841e-05,6.666651461273431778e-05
3.214613705713603764e+01,2.964730587546251428e+01,2.738280639648437642e+01,4.998750304808509100e-04,3.332769602780856987e-04,3.333325032144784819e-04,6.424861538035706587e+00,5.924937316324530912e+00,5.467001342773436079e+00,9.994504669895497122e-05,6.664205599510791356e-05,6.666649132966998492e-05
3.857099859517174423e+01,3.557224319178704519e+01,3.284980773925781250e+01,5.998200771798058812e-04,3.999190162731936123e-04,3.999989945441484668e-04,6.423527910621537274e+00,5.923485691122714059e+00,5.463961791992190342e+00,9.993505868506125708e-05,6.663761512720566124e-05,6.666649132966993071e-05
4.499452650579328150e+01,4.149572888290975925e+01,3.831376953125000284e+01,6.997551358648671383e-04,4.665566314003992735e-04,4.666654858738183975e-04,6.422196552799512403e+00,5.922027511153217461e+00,5.460923767089838066e+00,9.992507266705201192e-05,6.663317485134360616e-05,6.666649132966993071e-05
5.141672305859279390e+01,4.741775639406297671e+01,4.377469329833984091e+01,7.996802085319191502e-04,5.331898062517428797e-04,5.333319772034883282e-04,6.420873569417437920e+00,5.920574991626139649e+00,5.457882690429691763e+00,9.991499559590334614e-05,6.662878170556475309e-05,6.666653789579870485e-05
5.783759662801023183e+01,5.333833138568911636e+01,4.923257598876953267e+01,8.995952041278224964e-04,5.998185879573076328e-04,5.999985150992870331e-04,6.419534541209245049e+00,5.919122019412938585e+00,5.454850769042970171e+00,9.990510662625400919e-05,6.662429607150047780e-05,6.666649132966993071e-05
6.425713116921947687e+01,5.925745340510205494e+01,5.468742675781250284e+01,9.995003107540765055e-04,6.664428840288081106e-04,6.666650064289569638e-04,6.418206943152696908e+00,5.917668601409744156e+00,5.451812744140625000e+00,9.989512659297180089e-05,6.661985757060564020e-05,6.666649132966993071e-05
