Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.835847148951482666e+01,6.735133317610387849e+01,7.172466125488281818e+01,5.998185879573076328e-04,8.995952041278224964e-04,8.999999612569808743e-04
4.835847148951482666e+01,6.735133317610387849e+01,7.172466125488281818e+01,5.998185879573076328e-04,8.995952041278224964e-04,8.999999612569808743e-04,4.279762682212181346e+01,5.967101325528918210e+01,6.337306213378906250e+01,5.328702166754256068e-04,7.989615236841068717e-04,8.000001311302184842e-04
9.115609831163664012e+01,1.270223464313930606e+02,1.350977233886718807e+02,1.132688804632733240e-03,1.698556727811929368e-03,1.700000092387199358e-03,4.228967114873324817e+01,5.916410248909983238e+01,6.245719604492185795e+01,5.325863242517376965e-04,7.983235079351838018e-04,7.999999448657037129e-04
1.334457694603698883e+02,1.861864489204928930e+02,1.975549194335937386e+02,1.665275128884470936e-03,2.496880235747113170e-03,2.500000037252903071e-03,4.100378991712872789e+01,5.763472834811079792e+01,6.042652587890626137e+01,5.323030128946764587e-04,7.976866958603391101e-04,7.999999448657034960e-04
1.744495593774986162e+02,2.438211772686036909e+02,2.579814453125000000e+02,2.197578141779147395e-03,3.294566931607452280e-03,3.299999982118606567e-03,3.355158299484978102e+01,4.765431303747149627e+01,4.882342529296875000e+01,4.655326544158837343e-04,6.974542488792810288e-04,6.999999284744264430e-04
2.080011423723483972e+02,2.914754903060751872e+02,3.068048706054687500e+02,2.663110796195031129e-03,3.992021180486733309e-03,3.999999910593033010e-03,3.879341743390156694e+01,5.567984950072798256e+01,5.212703857421877274e+01,5.982238996118938168e-04,8.960127647640704976e-04,8.999999612569805491e-04
2.467945598062499641e+02,3.471553398068031697e+02,3.589319091796875227e+02,3.261334695806924946e-03,4.888033945250803806e-03,4.899999871850013559e-03,2.715430766764367831e+01,4.036015734965099000e+01,3.608363037109370453e+01,4.650376337991739099e-04,6.963445205407804012e-04,7.000003010034566361e-04
2.739488674738936425e+02,3.875154971564541597e+02,3.950155395507812273e+02,3.726372329606098856e-03,5.584378465791584208e-03,5.600000172853470196e-03,2.921157338708326279e+01,4.944168494218831711e+01,4.130941162109377274e+01,5.975883590995153399e-04,8.945873950385839490e-04,8.999995887279503559e-04
3.031604408609769052e+02,4.369571820986424768e+02,4.363249511718750000e+02,4.323960688705614196e-03,6.478965860830168157e-03,6.499999761581420551e-03,-1.170737933194966160e+02,-1.306327916936862721e+02,-1.662747802734375000e+02,4.652460490715028263e-04,6.962879983151756130e-04,7.010579109191896266e-04
1.860866475414802892e+02,3.063243904049562047e+02,2.700501708984375000e+02,4.789206737777117022e-03,7.175253859145343770e-03,7.201057672500610178e-03,-2.727900890000051959e+01,-3.231539730202382543e+01,-2.199650878906248863e+01,5.877383060413571628e-04,8.793807406189063994e-04,8.861027657985692460e-04
1.588076386414797696e+02,2.740089931029323793e+02,2.480536621093750114e+02,5.376945043818474185e-03,8.054634599764250169e-03,8.087160438299179424e-03,-1.545210883613736996e+01,-3.304561984721541990e+01,-1.168981933593750000e+01,5.310430629795626772e-04,7.943317544130655550e-04,8.010737597942355764e-04
1.433555298053423996e+02,2.409633732557169594e+02,2.363638427734375114e+02,5.907988106798036862e-03,8.848966354177315724e-03,8.888234198093415001e-03,-1.964702496569088908e+00,-9.491655319175976047e+00,3.550695800781227263e+00,5.300501703461718561e-04,7.926379659017879220e-04,8.000001311302181589e-04
1.413908273087733107e+02,2.314717179365409834e+02,2.399145385742187386e+02,6.438038277144208718e-03,9.641604320079103646e-03,9.688234329223633159e-03,-3.083013843784897290e+00,-3.464274456531086344e+00,2.935192871093761369e+00,5.297689960544801208e-04,7.920101885239231448e-04,8.000001311302181589e-04
1.383078134649884134e+02,2.280074434800098970e+02,2.428497314453125000e+02,6.967807273198688839e-03,1.043361450860302679e-02,1.048823446035385132e-02,-1.042387382301237153e+01,-7.693322631797661870e+01,-2.275108642578123863e+01,4.943353310908988815e-04,7.388494055280813572e-04,7.468745112419131887e-04
1.278839396419760419e+02,1.510742171620332783e+02,2.200986450195312614e+02,7.462142604289587720e-03,1.117246391413110815e-02,1.123510897159576451e-02,2.072226943046018732e+00,-4.321643951602402467e+01,-4.534008789062511369e+00,5.292276176384847972e-04,7.907991386167222830e-04,8.000001311302181589e-04
1.299561665850220606e+02,1.078577776460092537e+02,2.155646362304687500e+02,7.991370221928072518e-03,1.196326305274783043e-02,1.203510910272598267e-02,4.244173065315408166e+00,-2.244551157593252810e+01,3.540112304687511369e+00,5.289469451727115551e-04,7.901742694525447364e-04,8.000001311302181589e-04
1.342003396503374688e+02,8.541226607007672555e+01,2.191047485351562614e+02,8.520317167100784073e-03,1.275343732220037517e-02,1.283510923385620082e-02,3.214111607797633496e+00,-1.739899590392180073e+01,4.993579101562488631e+00,5.286673082082870428e-04,7.895503870200670099e-04,8.000001311302181589e-04
1.374144512581351023e+02,6.801327016615492482e+01,2.240983276367187500e+02,9.048984475309071115e-03,1.354298770922044218e-02,1.363510936498641898e-02,-3.324598333288435015e+00,-2.260295203850403567e+01,-1.196423339843761369e+00,5.098163829668107827e-04,7.612028555929947760e-04,7.718756794929514803e-04
1.340898529248466673e+02,4.541031812765088915e+01,2.229019042968749886e+02,9.558800858275881898e-03,1.430419056481343695e-02,1.440698504447937046e-02,-1.500796523865672043e+02,-3.134068583422990883e+01,-1.059376770019531193e+02,5.643354848922765149e-04,8.423804596396182454e-04,8.548766374588002287e-04
