Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.320713762772221855e+01,1.297018127441406321e+01,6.892048950195311363e+01,5.998185879573076328e-04,0.000000000000000000e+00,8.999999612569808743e-04
3.320713762772221855e+01,1.297018127441406321e+01,6.892048950195311363e+01,5.998185879573076328e-04,0.000000000000000000e+00,8.999999612569808743e-04,2.941227958314895119e+01,1.142615051269531179e+01,6.112618408203127274e+01,5.328702166754256068e-04,0.000000000000000000e+00,8.000001311302184842e-04
6.261941721087116974e+01,2.439633178710937500e+01,1.300466735839843864e+02,1.132688804632733240e-03,0.000000000000000000e+00,1.700000092387199358e-03,2.920048741333902598e+01,1.127555541992187216e+01,6.086837158203124432e+01,5.325863242517376965e-04,0.000000000000000000e+00,7.999999448657037129e-04
9.181990462421019572e+01,3.567188720703124716e+01,1.909150451660156307e+02,1.665275128884470936e-03,0.000000000000000000e+00,2.500000037252903071e-03,2.888994649132855841e+01,1.103109130859375142e+01,6.043369750976563637e+01,5.323030128946764587e-04,0.000000000000000000e+00,7.999999448657034960e-04
1.207098511155387541e+02,4.670297851562499858e+01,2.513487426757812671e+02,2.197578141779147395e-03,0.000000000000000000e+00,3.299999982118606567e-03,2.489746979506193725e+01,9.366473388671877842e+00,5.237313232421874432e+01,4.655326544158837343e-04,0.000000000000000000e+00,6.999999284744264430e-04
1.456073209106006914e+02,5.606945190429687642e+01,3.037218750000000114e+02,2.663110796195031129e-03,0.000000000000000000e+00,3.999999910593033010e-03,3.033606248538472983e+01,1.108305053710937926e+01,6.494584960937498863e+01,5.982238996118938168e-04,0.000000000000000000e+00,8.999999612569805491e-04
1.759433833959854212e+02,6.715250244140625568e+01,3.686677246093750000e+02,3.261334695806924946e-03,0.000000000000000000e+00,4.899999871850013559e-03,2.337988958547785501e+01,8.141613769531247158e+00,5.042307128906247726e+01,5.053908737280661187e-04,0.000000000000000000e+00,7.607568055391315115e-04
1.993232729814632762e+02,7.529411621093750284e+01,4.190907958984374773e+02,3.766725569534991064e-03,0.000000000000000000e+00,5.660756677389145071e-03,1.984423998337121020e+01,6.581298828125000000e+00,4.433874511718750000e+01,4.943059007444148244e-04,0.000000000000000000e+00,7.444433867931365967e-04
2.191675129648344864e+02,8.187541503906250284e+01,4.634295410156249773e+02,4.261031470279405889e-03,0.000000000000000000e+00,6.405200064182281668e-03,1.868723392482291956e+01,6.043829345703116473e+00,4.465327148437506821e+01,5.288963743864932149e-04,0.000000000000000000e+00,7.969446480274198705e-04
2.378547468896574060e+02,8.791924438476561932e+01,5.080828125000000455e+02,4.789927844665899104e-03,0.000000000000000000e+00,7.202144712209701538e-03,1.256087408169707942e+01,3.874157714843761369e+00,3.910761718749995453e+01,5.316757010232799063e-04,0.000000000000000000e+00,8.015580475330356253e-04
2.504156209713544854e+02,9.179340209960938068e+01,5.471904296875000000e+02,5.321603545689179010e-03,0.000000000000000000e+00,8.003702759742737163e-03,-3.109859227743780252e+01,-1.782706298828125568e+01,-8.000805664062454525e+00,5.304165456012002039e-04,0.000000000000000000e+00,8.000843226909637451e-04
2.193170286939166829e+02,7.396633911132812500e+01,5.391896240234375455e+02,5.852020091290379214e-03,0.000000000000000000e+00,8.803787082433700908e-03,-4.543712948136754903e+01,-2.997207641601562500e+01,-2.973056640625003411e+01,5.299843281230207787e-04,0.000000000000000000e+00,7.998555898666385305e-04
1.738798992125491338e+02,4.399426269531250000e+01,5.094590576171875114e+02,6.382004419413399993e-03,0.000000000000000000e+00,9.603642672300339439e-03,-4.341321050057871389e+01,-2.864763793945312642e+01,-3.021191406250005684e+01,5.308974637103737113e-04,0.000000000000000000e+00,8.016593754291527485e-04
1.304666887119704199e+02,1.534662475585937536e+01,4.792471435546874545e+02,6.912901883123773704e-03,0.000000000000000000e+00,1.040530204772949219e-02,-3.903214003331882509e+01,-2.405492706298828409e+01,-2.379916992187497726e+01,5.297283213928855386e-04,0.000000000000000000e+00,8.003190159797668457e-04
9.143454867865159486e+01,-8.708302307128906961e+00,4.554479736328124773e+02,7.442630204516659242e-03,0.000000000000000000e+00,1.120562106370925903e-02,-3.491206526863204118e+01,-1.788266143798827912e+01,-2.145136718749995453e+01,5.353912811144612149e-04,0.000000000000000000e+00,8.093051612377173687e-04
5.652248341001955367e+01,-2.659096374511718608e+01,4.339966064453125227e+02,7.978021485631120457e-03,0.000000000000000000e+00,1.201492622494697640e-02,-2.181086523138349520e+01,-9.735705566406252842e+00,-1.695683593750004547e+01,5.250113049371316759e-04,0.000000000000000000e+00,7.940344512462615967e-04
3.471161817863605847e+01,-3.632666931152343892e+01,4.170397705078124773e+02,8.503032790568252133e-03,0.000000000000000000e+00,1.280896067619323800e-02,-1.471874621331017963e+01,-5.260018920898438921e+00,-1.371116943359368179e+01,5.291489933388314471e-04,0.000000000000000000e+00,8.007153868675228464e-04
1.999287196532587885e+01,-4.158668823242187784e+01,4.033286010742187955e+02,9.032181783907083580e-03,0.000000000000000000e+00,1.360967606306076084e-02,-9.405697314203131043e+00,3.237405395507813921e+00,-3.695280761718754547e+01,5.294373783166512332e-04,0.000000000000000000e+00,8.015766739845279348e-04
1.058717465112274780e+01,-3.834928283691406392e+01,3.663757934570312500e+02,9.561619162223734814e-03,0.000000000000000000e+00,1.441125273704528878e-02,-6.033169617509912541e+00,-3.116607666015625000e-01,-1.844061279296875000e+01,5.287766325571697373e-04,0.000000000000000000e+00,8.009985089302059519e-04
4.554005033612835263e+00,-3.866094360351562642e+01,3.479351806640625000e+02,1.009039579478090455e-02,0.000000000000000000e+00,1.521225124597549473e-02,-4.432211695568800458e+00,-3.271484375000000000e-01,-1.574671630859370453e+01,5.468920642178048963e-04,0.000000000000000000e+00,8.288860321044918406e-04
1.217933380440347491e-01,-3.898809204101562642e+01,3.321884643554687955e+02,1.063728785899870945e-02,0.000000000000000000e+00,1.604113727807998657e-02,-3.218761426918748114e+00,-6.728607177734389211e-01,-1.007658691406254547e+01,5.068405587060932638e-04,0.000000000000000000e+00,7.685884833335890343e-04
-3.096968088874713310e+00,-3.966095275878906534e+01,3.221118774414062500e+02,1.114412841770480271e-02,0.000000000000000000e+00,1.680972576141357561e-02,-2.314144646953582019e+00,-2.757598876953082367e-01,-1.001271972656252274e+01,5.392571040378733860e-04,0.000000000000000000e+00,8.181735873222344135e-04
-5.411112735828295328e+00,-3.993671264648437358e+01,3.120991577148437273e+02,1.168338552174267610e-02,0.000000000000000000e+00,1.762789934873581002e-02,-1.385681768250798029e+00,7.616577148437642109e-02,-8.499060058593727263e+00,5.389671985443697522e-04,0.000000000000000000e+00,8.181735873222344135e-04
-6.796794504079093358e+00,-3.986054687499999716e+01,3.036000976562500000e+02,1.222235272028704585e-02,0.000000000000000000e+00,1.844607293605804443e-02,-9.128330161044004853e-01,2.571472167968735789e-01,-8.959997558593727263e+00,5.386761337632037239e-04,0.000000000000000000e+00,8.181735873222344135e-04
-7.709627520183493843e+00,-3.960339965820312358e+01,2.946401000976562727e+02,1.276102885405024957e-02,0.000000000000000000e+00,1.926424652338027885e-02,2.710580209127400053e-02,5.682800292968721578e-01,-8.937829589843772737e+00,4.841647604928861481e-04,0.000000000000000000e+00,7.357537746429457237e-04
