Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.690253504060392231e+01,1.612724304199218750e+01,2.494384918212890767e+01,8.995952041278224964e-04,0.000000000000000000e+00,3.000001423060894121e-04
4.690253504060392231e+01,1.612724304199218750e+01,2.494384918212890767e+01,8.995952041278224964e-04,0.000000000000000000e+00,3.000001423060894121e-04,4.165141330252438934e+01,1.430452880859375142e+01,2.210965728759764914e+01,7.989615236841068717e-04,0.000000000000000000e+00,2.666668035089969527e-04
8.855394834312831165e+01,3.043177185058593892e+01,4.705350646972655682e+01,1.698556727811929368e-03,0.000000000000000000e+00,5.666669458150863647e-04,4.154559929964561604e+01,1.425813293457031250e+01,2.201393432617187784e+01,7.983235079351838018e-04,0.000000000000000000e+00,2.666668035089970069e-04
1.300995476427739277e+02,4.468990478515625142e+01,6.906744079589843466e+01,2.496880235747113170e-03,0.000000000000000000e+00,8.333337493240833716e-04,4.136956622624038005e+01,1.418667602539062500e+01,2.188255004882812216e+01,7.976866958603391101e-04,0.000000000000000000e+00,2.666668035089970069e-04
1.714691138690143077e+02,5.887658081054687642e+01,9.094999084472655682e+01,3.294566931607452280e-03,0.000000000000000000e+00,1.100000552833080378e-03,3.600606443282237024e+01,1.233340454101561789e+01,1.901446228027344887e+01,6.974542488792810288e-04,0.000000000000000000e+00,2.333334647119044390e-04
2.074751783018366780e+02,7.120998535156249432e+01,1.099644531250000057e+02,3.992021180486733309e-03,0.000000000000000000e+00,1.333334017544984818e-03,4.579647127035698873e+01,1.565744018554687500e+01,2.405884399414063068e+01,8.960127647640704976e-04,0.000000000000000000e+00,3.000001423060893579e-04
2.532716495721936667e+02,8.686742553710936932e+01,1.340232971191406364e+02,4.888033945250803806e-03,0.000000000000000000e+00,1.633334159851074175e-03,3.415129444205553000e+01,1.173056030273437500e+01,1.784379882812498863e+01,6.963445205407804012e-04,0.000000000000000000e+00,2.333333715796471076e-04
2.874229440142491967e+02,9.859798583984374432e+01,1.518670959472656250e+02,5.584378465791584208e-03,0.000000000000000000e+00,1.866667531430721283e-03,3.640268973831081212e+01,1.290843505859375284e+01,1.918147583007811363e+01,8.014385852729167398e-04,0.000000000000000000e+00,2.687502652406691638e-04
3.238256337525600088e+02,1.115064208984374972e+02,1.710485717773437386e+02,6.385817051064500947e-03,0.000000000000000000e+00,2.135417796671390447e-03,3.340505988557788442e+01,1.247620849609374716e+01,1.743105468750002274e+01,7.975900922677940305e-04,0.000000000000000000e+00,2.676732838153839111e-04
3.572306936381378932e+02,1.239826293945312443e+02,1.884796264648437614e+02,7.183407143332294978e-03,0.000000000000000000e+00,2.403091080486774358e-03,3.027565535829927512e+01,1.147531738281250568e+01,1.539562377929686932e+01,7.852538596880009880e-04,0.000000000000000000e+00,2.637419849634173134e-04
3.875063489964371684e+02,1.354579467773437500e+02,2.038752502441406307e+02,7.968661003020295966e-03,0.000000000000000000e+00,2.666833065450191671e-03,2.853163882310980171e+01,1.087304687500000000e+01,1.384970092773437500e+01,8.346432153181239377e-04,0.000000000000000000e+00,2.805575728416442004e-04
4.160379878195469701e+02,1.463309936523437500e+02,2.177249511718750057e+02,8.803304218338419904e-03,0.000000000000000000e+00,2.947390638291835872e-03,1.371678446022332309e+01,5.825585937499994316e+00,4.621563720703107947e+00,7.829052128469713573e-04,0.000000000000000000e+00,2.633789554238319397e-04
4.297547722797702932e+02,1.521565795898437443e+02,2.223465148925781136e+02,9.586209431185391261e-03,0.000000000000000000e+00,3.210769593715667811e-03,-1.554876013576074456e+01,-5.559191894531238631e+00,-1.574114990234375000e+01,7.606344023051783698e-04,0.000000000000000000e+00,2.560846507549284154e-04
4.142060121440095486e+02,1.465973876953125057e+02,2.066053649902343636e+02,1.034684383349056963e-02,0.000000000000000000e+00,3.466854244470596227e-03,-4.394416640745924951e+01,-2.014494628906250284e+01,-3.729970703124996589e+01,8.018475832055615982e-04,0.000000000000000000e+00,2.701707184314728651e-04
3.702618457365502991e+02,1.264524414062500028e+02,1.693056579589843977e+02,1.114869141669613123e-02,0.000000000000000000e+00,3.737024962902069092e-03,-9.985034590693476275e+01,-4.655677490234374716e+01,-7.711047668457032955e+01,7.873179568942956230e-04,0.000000000000000000e+00,2.654865384101867676e-04
2.704114998296155363e+02,7.989566650390625568e+01,9.219518127441406818e+01,1.193600937359042685e-02,0.000000000000000000e+00,4.002511501312255859e-03,-3.840692902593701774e+01,-1.705060424804688068e+01,-2.750864868164063637e+01,7.931317168636507764e-04,0.000000000000000000e+00,2.676576375961305446e-04
2.320045708036785186e+02,6.284506225585937500e+01,6.468653259277343182e+01,1.272914109045407763e-02,0.000000000000000000e+00,4.270169138908386404e-03,-1.960162407378598459e+01,-8.151464843749998579e+00,-1.836093597412109091e+01,7.895695627807737538e-04,0.000000000000000000e+00,2.666670829057690012e-04
2.124029467298925340e+02,5.469359741210937642e+01,4.632559661865234091e+01,1.351871065323485138e-02,0.000000000000000000e+00,4.536836221814155405e-03,-8.193357994882973117e+00,-3.446533203125000000e+00,-1.047510375976561647e+01,7.889466344993961711e-04,0.000000000000000000e+00,2.666667103767396754e-04
2.042095887350095609e+02,5.124706420898437642e+01,3.585049285888672443e+01,1.430765728773424755e-02,0.000000000000000000e+00,4.803502932190895081e-03,-6.969555181460833637e+00,-3.127105712890625000e+00,-8.388230133056648441e+00,7.883246883571698449e-04,0.000000000000000000e+00,2.666667103767396754e-04
1.972400335535487272e+02,4.811995849609375142e+01,2.746226272583007599e+01,1.509598197609141740e-02,0.000000000000000000e+00,5.070169642567634756e-03,-4.827947324967595932e+00,-2.296585083007812500e+00,-6.736653900146482243e+00,7.877037220338466150e-04,0.000000000000000000e+00,2.666667103767396754e-04
1.924120862285811313e+02,4.582337341308593892e+01,2.072560882568359375e+01,1.588368569812526401e-02,0.000000000000000000e+00,5.336836352944374431e-03,-4.371863151903340849e+00,-2.092761230468752842e+00,-5.404597091674805398e+00,7.870822677350439167e-04,0.000000000000000000e+00,2.666670829057690012e-04
1.880402230766777905e+02,4.373061218261718608e+01,1.532101173400878835e+01,1.667076796586030793e-02,0.000000000000000000e+00,5.603503435850143433e-03,-3.390797830034443905e+00,-1.591128540039058237e+00,-4.219219017028807528e+00,7.864647207484476432e-04,0.000000000000000000e+00,2.666667103767396754e-04
1.846494252466433466e+02,4.213948364257812784e+01,1.110179271697998082e+01,1.745723268660875557e-02,0.000000000000000000e+00,5.870170146226883108e-03,-2.537898471473255313e+00,-1.130676269531250000e+00,-3.165832901000976918e+00,7.858466800266424024e-04,0.000000000000000000e+00,2.666667103767396754e-04
1.821115267751700912e+02,4.100880737304687784e+01,7.935959815979003906e+00,1.824307936663539798e-02,0.000000000000000000e+00,6.136836856603622783e-03,-2.576054271074923463e+00,-9.764007568359431843e-01,-3.018688321113586426e+00,7.852296099131184093e-04,0.000000000000000000e+00,2.666667103767388081e-04
